"","sample","tissue","endometriosis","severity","p226273_at","p226274_at","CLCN5"
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.767678,5.791239,5.7794585
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.715836,4.099308,3.907572
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.712255,5.629326,4.1707905
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.502476,6.319787,6.4111315
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.782461,6.530963,6.656712
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.880696,7.736659,7.3086775
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",2.716871,7.145726,4.9312985
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.716871,7.892336,5.3046035
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.312851,8.273754,7.2933025
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.380402,8.325047,5.8527245
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.721215,7.307571,5.014393
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.820355,7.254102,6.0372285
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.460059,5.476403,3.968231
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.449254,6.116072,4.282663
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.58969,6.765672,4.677681
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.06187,7.509108,5.285489
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.716871,5.814742,4.2658065
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.890111,7.04046,6.4652855
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.942431,7.510277,6.726354
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.317838,7.742611,7.0302245
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.588381,6.232317,4.410349
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.914036,8.2798,7.096918
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.214479,7.868973,6.541726
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.883947,7.519812,5.2018795
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.445915,5.878267,5.162091
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.048935,7.028721,5.038828
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.264483,7.431879,5.848181
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.515479,7.890314,5.7028965
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.449254,5.439201,3.9442275
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.498188,7.240311,5.8692495
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.786838,5.819185,4.8030115
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.082808,7.367299,6.2250535
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.861132,7.014733,5.4379325
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.038263,7.480124,6.2591935
