"","sample","tissue","endometriosis","severity","p225298_at","p233177_s_at","PNKD"
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.440692,10.602092,11.021392
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.74303,10.34699,10.54501
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.533204,11.023864,10.278534
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.321276,10.961243,11.1412595
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.036047,10.438402,10.7372245
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.037424,12.106947,12.0721855
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.897346,9.769405,10.8333755
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.659893,9.198018,9.9289555
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.224953,10.148674,10.6868135
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.586344,9.539887,10.5631155
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.77163,10.016093,10.8938615
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.682061,9.646221,10.164141
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.555367,10.380981,10.968174
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.717622,10.851195,11.2844085
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.839963,10.095697,10.46783
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.034131,10.557578,10.7958545
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.524431,8.938152,10.2312915
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.084401,10.006693,10.545547
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.692321,8.815522,10.2539215
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.952527,10.42481,10.6886685
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.721459,8.145673,9.433566
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.087864,11.221013,10.6544385
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.893272,9.083278,10.488275
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.741396,9.509485,10.1254405
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.149636,10.167427,10.6585315
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.682705,8.380495,10.0316
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.907715,9.922321,10.915018
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.811253,11.153566,10.4824095
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.761676,10.147674,10.954675
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.291442,11.193543,11.7424925
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.72934,11.088678,11.409009
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.701068,9.933516,10.817292
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.534604,10.425458,10.980031
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.149145,9.790721,9.969933
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.810978,8.809425,9.8102015
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.024883,9.895912,10.4603975
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.18733,9.874916,10.531123
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.987475,9.944881,9.966178
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.930077,10.30507,10.1175735
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.532511,11.321323,11.426917
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.208632,11.67657,11.442601
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.142774,10.397965,10.2703695
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.857444,9.922098,9.889771
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.813418,8.473412,9.143415
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.139244,10.363541,10.2513925
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.670939,8.569251,9.620095
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.762213,10.005952,10.3840825
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.476822,6.644012,8.060417
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.954086,7.797025,8.8755555
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.262977,6.983575,8.123276
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.484282,6.966927,7.7256045
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.146565,7.609083,8.877824
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.279086,7.441472,8.360279
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.451071,6.819293,8.135182
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.784403,8.425964,9.1051835
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.092665,7.292149,8.692407
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.583372,7.299697,8.4415345
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.093151,9.221833,9.657492
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.107898,7.333423,8.2206605
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.409837,9.151885,9.780861
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.729213,6.994739,8.361976
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.833281,6.6977,8.2654905
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.402077,9.724223,10.06315
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.349672,9.353672,9.851672
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.122919,8.688583,9.905751
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.710181,10.699405,10.704793
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.224917,9.218442,10.2216795
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.519297,11.296835,10.908066
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.560755,9.119756,9.8402555
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.053153,9.45118,10.2521665
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.037922,10.933924,10.985923
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.63456,9.08039,10.357475
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.087495,10.74209,10.4147925
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.641813,10.225042,10.4334275
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.377899,10.819248,11.0985735
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.924891,9.037924,9.4814075
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.949846,10.428131,10.6889885
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.628452,10.606245,10.6173485
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.325383,10.629544,10.9774635
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.39529,11.18369,11.28949
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.675291,9.232024,9.9536575
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.6302,8.638265,9.1342325
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.492395,10.683406,10.5879005
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.206241,9.531469,10.368855
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.993179,10.33015,10.6616645
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.470196,10.25856,10.364378
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.177364,8.701519,9.9394415
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.031783,9.755374,9.8935785
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.635211,8.590117,9.612664
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.681482,9.994673,9.8380775
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.094977,10.216975,10.655976
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.103385,11.3277,11.2155425
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.802907,11.470878,11.1368925
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.340497,8.947582,8.6440395
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.006789,8.630176,8.3184825
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.972389,8.632403,8.302396
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.837378,8.406505,8.6219415
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.824394,7.397078,7.610736
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.385635,6.002332,7.1939835
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.735974,7.682704,8.209339
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.340523,6.597044,7.9687835
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.336037,7.938083,8.63706
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.259772,7.368757,8.3142645
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.4899,9.349922,9.419911
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.508365,7.248867,7.878616
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.384055,8.163255,8.773655
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.740776,8.535609,8.1381925
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.996261,9.374697,9.185479
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.823691,9.457562,9.1406265
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.043745,6.598815,7.82128
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.693981,9.168809,8.431395
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.180317,7.242259,8.211288
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.56191,6.374009,7.4679595
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.021949,6.223672,7.6228105
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.767427,9.589033,9.67823
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.501153,7.122742,7.8119475
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.737189,9.10799,9.4225895
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.614544,7.685418,8.149981
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.280975,8.923634,8.6023045
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.050065,8.516287,8.783176
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.031408,6.472301,7.7518545
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.839471,7.20948,8.0244755
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.619876,8.485725,7.5528005
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.923498,6.24377,7.583634
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.110732,9.227005,8.6688685
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.148664,6.672133,7.9103985
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.720029,5.597486,7.1587575
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.132197,6.457509,7.794853
