"","sample","tissue","endometriosis","severity","p1552347_at","p1554767_s_at","p219767_s_at","CRYZL1"
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.331371,5.479183,5.625684,6.14541266666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.590639,5.479183,4.819398,5.62974
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.278102,5.509656,5.013519,5.60042566666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.451545,5.551641,4.592,5.865062
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.590241,5.480625,4.373147,5.48133766666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.721108,5.509656,4.35478,5.52851466666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.697905,5.840431,6.282109,6.27348166666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.54983,5.480625,5.044739,6.02506466666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.502626,5.479183,5.023274,6.00169433333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.261131,5.479183,4.616566,5.78562666666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.943945,5.576734,5.929942,6.150207
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.380613,5.509656,3.974886,5.288385
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.121738,5.509656,4.35478,5.32872466666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.458218,6.268814,7.219483,6.98217166666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.72348,5.509656,5.528487,5.58720766666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.837392,5.734957,5.109826,6.22739166666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.654865,5.987755,6.525098,6.72257266666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.705767,5.479183,5.606445,5.930465
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.713788,5.480625,5.013519,6.06931066666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.329074,5.479183,5.492198,6.10015166666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.256505,5.479183,4.357023,5.364237
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.314043,4.457624,4.888001,5.21988933333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.838006,5.479183,6.087356,6.46818166666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.827271,5.71203,4.843587,5.794296
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.25886,5.840431,6.632674,6.57732166666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.417376,4.87205,5.013519,5.434315
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.920387,5.479183,4.402068,5.600546
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.347311,5.479183,5.013519,5.946671
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.145244,5.479183,4.644046,5.75615766666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.197273,5.931649,5.013519,6.04748033333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.160591,5.479183,4.841304,5.827026
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.373653,5.513065,5.824025,6.23691433333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.564782,5.931649,6.395613,6.63068133333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.760173,5.509656,6.360639,6.54348933333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.865724,5.932838,7.507738,7.1021
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.587243,5.479183,5.897063,6.321163
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.00668,6.015724,6.606315,6.54290633333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.12165,7.216658,7.111948,7.15008533333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.608624,5.840431,6.553928,6.667661
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.456606,5.509656,6.011672,6.325978
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.475235,5.895487,6.875246,6.41532266666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.757096,5.755495,6.718573,6.74372133333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.735018,6.182778,7.06773,6.661842
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.359998,7.035744,7.625674,7.67380533333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.582925,5.837923,6.137874,6.519574
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.825252,5.484778,6.775782,6.028604
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.347651,7.458442,8.248384,7.68482566666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.528212,7.274488,7.764164,7.18895466666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.231934,6.861198,7.663289,7.25214033333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.867319,7.047672,7.871014,7.26200166666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.152202,7.264263,7.947948,7.45480433333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.05555,7.234789,7.910669,7.400336
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.167308,7.017775,7.773801,7.319628
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.740369,7.290777,7.808581,7.279909
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.581282,6.545486,7.722113,6.949627
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.102633,7.766878,8.091563,7.65369133333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.702613,6.529547,7.351787,6.52798233333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.333977,7.138253,7.725434,7.065888
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.776345,5.479183,6.961188,6.405572
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.311369,6.931446,7.725802,6.989539
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.519255,7.695688,8.056699,7.42388066666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.272826,5.642466,6.393218,6.43617
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.094886,5.931649,6.967343,6.664626
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.093896,6.526168,7.262769,6.96094433333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.480004,5.840431,5.70885,6.00976166666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.04898,5.609366,4.388124,5.68215666666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.007154,5.931649,4.813631,5.917478
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.774851,6.10628,6.754386,6.54517233333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.958918,5.840431,5.868055,6.222468
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.332898,5.931649,6.140013,6.46818666666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.32376,5.480625,5.013519,5.93930133333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.975755,5.479183,4.908164,5.78770066666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.06133,5.627464,6.176819,6.28853766666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.797232,5.479183,5.61222,6.29621166666667
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.350804,5.840431,6.199914,6.46371633333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.116456,5.509656,5.789194,6.13843533333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.843779,5.509656,5.262214,6.20521633333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.890051,5.550034,5.578848,6.67297766666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.527062,5.480625,5.013519,6.00706866666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.73577,5.625441,6.404426,6.58854566666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.736534,6.230903,7.173107,7.046848
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.576749,5.509656,5.926831,6.33774533333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.237128,5.479183,5.115501,5.610604
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.388851,5.545197,5.524187,6.152745
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.699847,5.71714,6.121117,6.51270133333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.695453,5.886625,6.719007,6.76702833333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.430176,4.680267,4.939826,5.683423
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.876606,5.645259,6.468517,6.66346066666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.137264,5.542288,5.971553,6.217035
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.121738,4.675142,5.667479,5.48811966666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.687234,6.063303,6.254367,6.66830133333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.656513,5.838247,6.751235,6.748665
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.60261,6.797137,6.903938,7.10122833333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.900584,7.02948,6.400922,7.11032866666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.735931,6.417874,6.199948,7.11791766666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.659009,6.276265,6.025524,6.65359933333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.430483,6.964924,6.942654,7.112687
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.052893,5.931649,6.344231,6.44292433333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.83628,5.911863,6.43144,6.72652766666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.459605,6.015772,7.197612,7.22432966666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.577318,5.931649,7.208992,7.23931966666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.39091,6.200223,7.043191,6.878108
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.470833,6.182041,7.297215,6.983363
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.225351,5.931649,7.436926,6.864642
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.833117,6.909495,7.354867,7.36582633333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.806658,6.145901,7.188672,7.047077
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.511061,5.931649,7.116063,6.85292433333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.302117,6.260446,7.004323,6.85562866666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.859256,6.247639,7.453538,7.52014433333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.044197,5.783221,6.627846,6.485088
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.82347,7.357827,7.572632,7.25130966666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.987555,6.839603,7.039097,7.28875166666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.296781,7.128065,7.331425,7.25209033333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.634436,6.264564,7.29271,7.06390333333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.45329,5.931649,7.038032,6.807657
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.996958,6.423554,7.214108,7.21154
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.905057,5.518576,6.852725,6.758786
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.049167,6.469342,6.956489,6.82499933333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.278455,5.931649,7.115063,6.77505566666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.304126,6.846461,7.52624,7.225609
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.795836,6.280591,7.229905,7.10211066666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.374686,5.509656,5.843019,6.24245366666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.284911,7.174752,7.538514,7.33272566666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.162011,6.170565,6.507143,6.61323966666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.537144,6.567654,7.465025,7.189941
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.059891,6.897798,7.275654,7.077781
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.235795,6.500046,7.015211,6.91701733333333
