"","sample","tissue","endometriosis","severity","p220775_s_at","p230176_at","UEVLD"
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.539713,4.759985,5.149849
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.51547,6.949367,5.7324185
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.059253,6.720998,5.8901255
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.740333,7.105172,6.4227525
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.174245,8.31977,7.2470075
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.772261,7.423051,6.597656
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.10764,7.993658,7.550649
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.777465,8.693542,8.2355035
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.49796,7.442287,6.4701235
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.949296,7.225714,6.587505
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.811482,7.426957,7.1192195
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.572726,8.625225,7.5989755
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.324163,8.852617,7.58839
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.56116,8.851017,8.2060885
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.652336,6.721449,5.6868925
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.132818,6.995592,6.564205
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.734155,9.553461,9.143808
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.395488,9.092471,8.7439795
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.06132,9.169243,8.6152815
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.414375,9.226644,8.8205095
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.973771,9.031336,8.5025535
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.163428,9.367715,8.7655715
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.434467,8.913241,8.673854
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.313714,9.313168,8.813441
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.60383,9.5979,9.100865
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.097746,9.52158,8.809663
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.061239,9.444536,9.2528875
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.770846,9.538866,9.154856
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.819685,9.111905,8.465795
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.618953,9.284336,8.9516445
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.873345,9.425142,9.1492435
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.137154,6.970134,6.553644
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.185639,7.906685,7.546162
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.686463,8.061606,7.3740345
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.470454,7.650033,7.0602435
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.880791,6.534783,5.707787
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.671608,7.094758,6.383183
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.290569,7.936662,7.1136155
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.880791,6.67287,5.7768305
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.430872,7.488362,6.959617
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.765258,6.63146,6.198359
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.67744,6.792712,6.235076
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.464409,8.043166,7.2537875
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.739465,6.979722,6.3595935
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.920927,6.979722,6.4503245
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.588027,7.449261,6.518644
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.439539,7.483514,6.4615265
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.622718,6.687,6.154859
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.446059,6.771308,6.1086835
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.022318,7.11765,6.569984
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.001714,8.121203,7.5614585
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.532623,7.92082,7.2267215
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.67744,6.771308,6.224374
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.336337,7.732526,7.0344315
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.388505,7.443122,6.9158135
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.885206,7.554964,6.220085
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.692013,7.247682,6.4698475
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.709327,7.71727,6.7132985
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.209978,7.397664,6.803821
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.795799,6.88509,6.3404445
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.67744,7.213693,6.4455665
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.947167,8.08908,7.0181235
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.401001,9.512006,8.4565035
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.9389,9.176919,8.5579095
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.038026,8.894732,7.966379
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.39151,8.890218,8.140864
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.552671,8.398947,7.975809
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.879278,7.854234,7.366756
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.18131,8.361321,7.2713155
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.30486,9.304867,7.8048635
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.57445,9.577497,8.5759735
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.485718,8.698576,7.592147
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.726856,9.52191,8.624383
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.278715,9.001631,8.140173
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.959285,9.246051,8.602668
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.110458,9.167584,8.139021
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.676242,9.548036,8.612139
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.164365,9.384151,8.274258
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.121224,9.3394,8.230312
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.315262,8.88,8.097631
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.321366,9.292174,8.80677
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.346677,8.998827,8.172752
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.758211,8.722599,7.740405
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.577452,9.426461,8.5019565
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.647127,8.888821,7.767974
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.698395,9.286523,8.492459
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.424832,8.243971,7.3344015
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.341364,9.383912,8.862638
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.898857,9.670791,8.784824
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.554939,9.046568,8.3007535
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.181629,8.936227,8.058928
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.080831,8.490122,7.7854765
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.410346,8.974055,8.1922005
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.875774,9.572892,8.724333
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.530683,8.990336,8.2605095
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.315923,9.120104,8.2180135
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.952588,8.890084,7.921336
