"","sample","tissue","endometriosis","severity","p223192_at","p221432_s_at","SLC25A28"
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.404239,9.261502,9.8328705
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.751792,7.462358,8.107075
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.9296,8.481301,9.2054505
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.08648,8.35003,9.218255
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.371688,7.785405,8.5785465
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.657591,7.724773,8.691182
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.671884,8.926173,9.7990285
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.097487,6.867597,7.982542
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.574477,8.848594,9.2115355
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.855253,7.621558,8.7384055
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.2293,7.443775,8.3365375
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.006913,8.674178,9.3405455
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.898612,7.928847,8.9137295
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.729068,9.155678,9.942373
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.793723,7.632387,8.713055
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.142768,8.659777,9.4012725
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.381755,8.716309,9.549032
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.148056,8.32968,9.238868
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.575868,9.309005,9.9424365
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.239949,8.720655,9.480302
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.459135,7.977343,8.718239
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.760731,8.178242,8.9694865
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.919038,7.158232,8.038635
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.140793,8.520231,9.330512
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.716584,8.3518,9.034192
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.093605,7.969298,8.5314515
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.779223,8.037837,8.90853
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.866564,8.485588,9.176076
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.236005,8.368527,8.802266
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.502296,7.98442,8.743358
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.613866,7.527138,8.070502
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.036319,7.621558,8.3289385
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.5371,8.256223,8.8966615
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.931694,8.715178,9.323436
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.021005,6.422894,7.2219495
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.428947,7.013049,7.720998
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.61028,7.796256,8.203268
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.972554,6.990601,7.4815775
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.373489,7.252177,7.812833
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.652999,7.696349,8.174674
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.185866,7.609031,7.8974485
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.267593,7.421185,7.844389
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.546175,7.703002,8.1245885
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.085484,6.825846,7.455665
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.681673,7.646772,8.1642225
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.865666,6.871586,7.368626
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.20739,7.580496,8.393943
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.069929,6.871031,7.47048
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.20756,7.236636,7.722098
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.460821,8.219821,8.840321
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.120383,7.727015,8.423699
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.046904,7.877515,8.4622095
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.911404,8.647049,9.2792265
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.801063,8.380744,9.0909035
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.735254,8.693165,9.2142095
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.182524,8.282997,8.7327605
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.894251,8.560725,9.227488
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.411394,8.272727,8.8420605
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.76738,7.901686,8.834533
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.213493,7.834972,8.5242325
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.408344,7.544943,8.4766435
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.087189,7.968177,9.027683
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.058315,7.609533,8.333924
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.616408,7.980271,8.7983395
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.647165,7.85227,8.7497175
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.106417,8.676635,9.391526
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.142979,6.236111,8.189545
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.135731,7.977034,8.5563825
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.439712,8.043697,8.7417045
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.400905,7.621558,8.5112315
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.02057,8.649709,9.3351395
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.749075,7.886019,8.817547
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.308491,7.699881,8.504186
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.154457,7.621558,8.3880075
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.337242,8.140392,8.738817
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.339404,7.61073,8.475067
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.623873,8.107975,8.865924
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.803452,7.70745,8.755451
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.283539,7.850235,8.566887
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.546131,8.113045,8.829588
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.318196,6.736075,7.5271355
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.780433,7.621558,8.2009955
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.640552,7.222964,7.931758
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.139441,7.028127,7.583784
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.175221,6.833128,7.5041745
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.514886,6.592371,7.5536285
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.588321,6.7235,7.6559105
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.064944,7.403033,8.2339885
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.552674,7.383854,7.968264
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.452282,6.602927,7.5276045
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.806012,7.422763,8.1143875
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.268205,6.839053,7.553629
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.328065,6.581649,7.454857
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.053481,6.592371,7.322926
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.879684,7.474714,8.177199
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.433819,7.196697,7.815258
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.511723,6.904964,7.7083435
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.063353,6.592371,7.327862
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.886491,6.503085,7.194788
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.005736,6.294319,7.1500275
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.054847,6.519635,7.287241
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.645371,7.433645,8.039508
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.262197,6.592371,7.427284
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.292801,6.592371,7.442586
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.238731,6.385649,7.31219
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.238381,6.543365,7.390873
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.38406,6.958536,7.671298
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.103513,6.636016,7.3697645
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.344898,6.706409,7.5256535
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.824533,6.236111,7.030322
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.99129,6.312273,7.1517815
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.679609,6.913017,7.796313
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.823701,6.3485,7.0861005
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.810461,6.236111,7.023286
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.751242,6.331649,7.0414455
