"","sample","tissue","endometriosis","severity","p218633_x_at","p222697_s_at","ABHD10"
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.224981,6.582957,7.403969
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.254856,6.152497,6.2036765
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.399103,4.905487,5.652295
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.776789,6.16549,6.9711395
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.575323,5.053515,5.814419
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.824726,4.24654,4.535633
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.050306,4.907966,5.979136
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.842021,5.030478,5.4362495
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.501662,5.257465,5.3795635
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.395714,3.689408,5.542561
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.993424,3.905491,4.9494575
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.618161,5.993943,6.806052
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.381734,5.457922,5.919828
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.787058,4.098872,4.942965
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.664835,3.318429,4.991632
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.478425,4.718666,5.0985455
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.206099,5.263053,5.234576
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.997027,3.247736,4.6223815
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.954653,4.903722,5.9291875
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.879115,6.612704,7.2459095
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.895443,5.362941,6.629192
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.43915,6.185855,7.3125025
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.139014,5.053515,6.0962645
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.649186,5.95854,6.803863
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.935067,7.226956,7.5810115
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.703494,5.646754,6.675124
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.922323,6.152497,6.53741
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.147268,6.751102,7.449185
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.654519,5.861367,6.757943
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.42364,6.406821,6.9152305
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.423647,7.165592,7.7946195
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.45201,5.775783,6.6138965
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.734513,6.882131,7.308322
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.584877,8.197404,8.3911405
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.697184,7.64856,8.172872
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.978906,7.632324,8.305615
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.669853,7.778747,8.2243
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.881561,7.728335,8.304948
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.68637,7.79945,8.24291
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.334482,7.881622,8.108052
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.615025,7.5798,8.0974125
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.822169,7.261349,8.041759
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.64499,7.931898,8.288444
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.907098,7.10668,7.506889
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.949822,8.143735,8.5467785
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.823741,6.152497,7.488119
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.460746,8.735229,9.0979875
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.05131,8.356366,8.703838
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.659494,6.357051,6.5082725
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.195382,6.218558,7.20697
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.045791,6.636952,7.3413715
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.913116,5.566247,6.2396815
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.099982,5.053515,6.0767485
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.571268,5.218346,5.894807
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.601009,7.053372,7.3271905
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.09664,6.08965,6.593145
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.371654,5.203392,6.287523
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.242799,3.625466,4.4341325
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.020946,4.930541,5.4757435
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.748457,5.874993,6.811725
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.790384,4.626243,5.7083135
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.721125,6.152497,6.936811
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.950102,6.075872,6.512987
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.182195,4.852673,5.517434
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.924961,3.247736,4.5863485
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.440411,6.038941,6.739676
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.84672,6.152497,6.9996085
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.193874,6.512606,7.35324
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.163593,5.206479,6.185036
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.774122,4.492753,5.6334375
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.765307,5.053515,5.909411
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.236202,5.008268,6.122235
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.036508,6.152497,7.0945025
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.641928,4.896251,5.2690895
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.412837,6.152497,7.282667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.334879,5.702855,6.518867
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.989097,5.262832,6.1259645
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.606254,5.168196,6.387225
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.033255,6.152497,7.092876
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.323143,6.543452,6.9332975
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.26719,6.404975,6.8360825
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.596892,6.101061,6.3489765
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.634143,6.409481,6.521812
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.924101,7.577325,7.750713
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.928355,6.488837,7.208596
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.955248,5.765778,6.860513
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.330848,6.152497,7.2416725
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.367514,6.476127,7.4218205
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.365438,6.190032,7.277735
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.609327,6.81668,7.7130035
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.082578,6.152497,7.1175375
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.770666,6.637691,7.7041785
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.997137,6.152497,7.074817
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.811051,6.152497,6.981774
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.687084,6.112737,6.8999105
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.457387,6.289672,7.3735295
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.584502,6.066792,6.825647
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.922551,7.865949,8.39425
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.111264,6.559933,7.3355985
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.723779,7.023491,7.873635
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.056507,6.564201,7.310354
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.24587,6.350478,7.298174
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.453845,6.756997,7.605421
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.70864,5.89064,6.79964
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.559395,6.37567,6.9675325
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.79895,5.724488,6.761719
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.301316,6.812658,7.556987
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.552487,7.031925,7.792206
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.189954,6.152497,6.6712255
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.379917,6.899308,7.6396125
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.588274,5.9023,6.745287
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.487537,7.306713,7.897125
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.778503,6.555705,7.667104
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.35311,6.746349,7.5497295
