"","sample","tissue","endometriosis","severity","p209201_x_at","p211919_s_at","p217028_at","CXCR4"
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.398484,8.069996,10.334152,8.60087733333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.137414,7.487599,10.661716,8.09557633333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.528674,7.275704,10.713781,8.17271966666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.828236,6.245755,10.679892,7.58462766666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.266892,8.706146,10.929804,9.30094733333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.950777,6.39929,10.491672,7.613913
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.907089,8.382771,11.40845,9.23277
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.232083,10.102489,12.06471,10.4664273333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.785346,5.955129,9.787007,7.17582733333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.891125,6.893671,9.747577,7.510791
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.601346,10.121334,13.142163,10.9549476666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.895739,7.119517,9.824691,7.946649
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.378267,7.751099,10.873176,8.667514
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.292359,8.762122,11.455846,9.50344233333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.189906,8.778684,10.818829,9.262473
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.929321,6.375837,9.316913,7.207357
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.621849,9.20677,11.098492,9.64237033333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.721162,7.389342,10.287851,8.132785
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.612378,9.975815,12.952678,10.846957
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.221106,7.579741,10.440672,8.41383966666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.715952,9.343335,11.45036,9.836549
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.743859,10.291036,12.136264,10.7237196666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.328536,7.16701,9.46104,7.65219533333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.472744,8.433651,10.767409,8.891268
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.680232,9.377505,11.103766,9.720501
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.145763,8.692628,11.083798,9.30739633333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.953458,8.440606,11.478256,9.29077333333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.397107,9.953045,12.008333,10.4528283333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.071338,7.824329,10.067115,8.32092733333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.947337,7.670132,9.693514,8.103661
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.477137,8.064872,10.792834,8.778281
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.519976,8.996106,11.622536,9.71287266666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.88269,7.508062,10.08977,8.160174
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.911578,9.344728,11.788764,10.0150233333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.331277,6.949121,9.871907,7.717435
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.825504,9.424757,11.729352,9.99320433333333
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.47854,8.383313,10.530457,8.79743666666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.468621,10.015737,12.292092,10.59215
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.689249,8.073574,10.670731,8.81118466666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.184287,8.695642,11.430884,9.43693766666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.420689,9.886951,12.030981,10.446207
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.24793,8.111847,10.518056,8.62594433333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.081185,4.409966,9.105722,6.19895766666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.672306,8.356421,10.977261,9.001996
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.778462,8.205502,10.916366,8.96677666666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.916634,8.716693,10.830441,9.15458933333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.090208,8.55894,10.692758,9.11396866666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.301435,7.919753,10.254424,8.49187066666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.634471,8.166687,10.590685,8.797281
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.210203,7.126574,10.032219,7.78966533333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.591904,8.472038,10.643339,8.902427
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.664758,7.547677,10.436709,8.21638133333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.678332,8.147162,10.444398,8.75663066666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.039334,6.499954,8.945612,7.16163333333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.081185,5.809873,9.922875,6.93797766666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.172426,9.667173,11.93059,10.2567296666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.924382,10.536244,12.67414,11.044922
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.835366,8.265236,10.854772,8.98512466666667
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.444077,7.373318,10.325407,8.04760066666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.729514,8.695781,11.036665,9.15398666666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.181354,8.718571,11.371639,9.42385466666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.923233,8.533942,11.843404,9.43352633333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.039334,6.053633,11.896722,7.996563
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.289441,7.941829,10.622342,8.61787066666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.694436,8.324291,10.932554,8.98376033333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.017138,7.461972,10.703094,8.394068
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.039334,6.688466,9.507227,7.41167566666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.515309,7.312295,9.772176,7.86659333333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.411407,9.720877,12.255566,10.4626166666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.761625,8.230946,10.706848,8.89980633333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.677309,8.630328,11.500501,9.26937933333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.234449,7.720654,10.563894,8.50633233333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.233664,8.812,11.705331,9.583665
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.390446,7.27314,10.025444,7.89634333333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.632939,9.298091,11.688289,9.87310633333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.795575,9.173788,11.748055,9.905806
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.192472,9.859685,12.429995,10.4940506666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.141412,8.828358,11.098829,9.35619966666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.639522,10.3857,12.288214,10.7711453333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.414023,9.148191,11.008594,9.52360266666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.547003,8.320351,10.913556,8.92697
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.019653,7.434546,8.78664,7.74694633333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.467006,6.603866,9.88603,7.65230066666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.254238,5.955129,9.761077,6.990148
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.848185,6.981673,9.88811,7.572656
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.794375,8.416623,11.333013,9.181337
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.081185,5.420881,8.559083,6.35371633333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.660769,8.498702,11.584741,9.24807066666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.777836,7.672275,11.152414,8.534175
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.189217,7.810789,11.293468,8.76449133333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.512293,10.125806,12.690626,10.7762416666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.034423,8.746178,11.366901,9.38250066666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.111826,7.846404,10.867,8.60841
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.580966,11.067514,14.074701,11.907727
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.746369,9.309366,11.900571,9.98543533333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.682148,7.16847,10.934708,8.26177533333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.279838,7.793355,11.009674,8.694289
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.350107,10.708502,13.581054,11.5465543333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.80464,9.291701,12.575409,10.2239166666667
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.524232,6.23556,8.899839,6.88654366666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.442177,8.998444,12.019823,9.820148
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.295825,8.995913,11.58003,9.62392266666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.681991,8.343644,11.158304,9.061313
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.341509,7.085987,10.199523,7.875673
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.655722,8.30148,11.304968,9.08739
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.185283,11.594593,14.243849,12.3412416666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.17015,7.77831,10.899281,8.61591366666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.885998,9.453325,12.178378,10.172567
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.350204,7.159286,10.346815,7.95210166666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.643261,7.196234,10.425936,8.088477
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.037669,8.058987,10.932747,8.67646766666667
