"","sample","tissue","endometriosis","severity","p1558142_at","p229036_at","p230779_at","p238468_at","TNRC6B"
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.347536,7.219907,7.747302,7.04466,7.83985125
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.581169,7.137025,7.519084,6.466899,7.67604425
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.384621,6.881261,6.104939,4.586716,6.73938425
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.359873,7.127558,6.720565,4.491835,6.92495775
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.701455,7.433168,6.5342,4.54707,7.05397325
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.091748,6.353435,4.240531,3.718751,5.85111625
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.315268,8.070988,7.226111,4.372903,7.4963175
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.893604,6.935929,6.567682,4.69393,6.77278625
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.191228,7.033966,5.963395,3.793672,6.74556525
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.697501,6.791338,6.104939,4.378935,6.74317825
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.103462,7.070568,6.405305,5.316235,6.9738925
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.089293,8.99737,8.993782,5.016554,8.27424975
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.542678,7.219907,6.467618,3.911032,6.78530875
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.949264,6.985433,6.789824,4.484122,6.80216075
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.065055,7.379398,6.104939,3.245517,6.44872725
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.388877,6.766042,5.963018,3.982998,6.52523375
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.005438,7.434029,6.143171,3.793672,6.5940775
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.435526,7.435093,7.383892,4.423956,7.16961675
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.104349,8.557791,8.547828,3.804091,8.00351475
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.699648,7.721485,6.646187,3.324531,6.84796275
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.8062,7.494813,7.403064,5.327636,7.50792825
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.138288,7.219907,6.5505,5.366892,7.06889675
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.152224,7.290029,6.104939,3.423147,6.49258475
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.244361,7.357994,7.241865,4.501412,7.086408
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.202756,7.389636,6.28255,4.430251,6.82629825
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.45372,7.473049,7.545246,4.949043,7.3552645
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.914282,5.788298,5.115379,2.709161,5.88178
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.471936,8.047274,6.104939,3.793672,6.85445525
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.800669,7.863323,6.558802,4.603484,7.2065695
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.1097,6.410346,5.574381,4.039484,6.03347775
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.387162,7.215699,4.509703,4.114487,6.05676275
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.520119,7.743233,7.288595,4.716468,7.56710375
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.375627,7.308941,6.569201,4.69393,6.98692475
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.377532,5.788389,5.285022,4.926501,6.344361
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.12562,4.574301,3.852928,4.614859,5.541927
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.30158,5.788389,4.165777,5.100684,6.0891075
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.471775,5.117855,3.852928,3.947652,5.3475525
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.331162,5.94245,4.037618,5.478612,6.1974605
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.241067,6.212384,3.655567,4.795606,5.976156
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.630476,5.815049,4.591722,5.891902,6.48228725
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",10.422708,7.917863,8.754266,6.303846,8.34967075
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.065564,7.548214,7.884639,6.247187,7.936401
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",10.270912,7.95373,9.289925,7.402759,8.7293315
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.461644,7.301694,8.156393,5.78097,7.67517525
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.812974,7.429978,8.225575,6.530538,7.99976625
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.811984,7.518603,8.346187,6.744201,8.10524375
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.272286,8.160216,8.552272,6.934496,8.4798175
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.104785,6.865853,7.005562,4.781027,6.93930675
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.50532,7.219907,7.244634,6.10171,7.51789275
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.341806,7.78051,8.084716,5.673897,7.97023225
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.940905,7.972625,8.874316,6.803717,8.39789075
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.277121,7.750889,8.868863,7.418778,8.57891275
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.795461,8.378899,9.058349,7.379099,8.902952
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.619683,8.045787,9.12994,7.419997,8.80385175
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.607536,8.006729,8.866138,6.524916,8.50132975
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.370233,7.880115,9.359245,7.72203,8.83290575
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.990412,7.811657,8.157851,6.414805,8.09368125
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.74392,7.378482,6.726666,4.69393,7.1357495
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.165108,6.795218,7.091075,5.232611,7.071003
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.404163,7.555958,7.922072,6.43419,7.82909575
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.11915,7.97279,8.85577,7.615366,8.640769
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.610827,7.222809,7.580723,5.842201,7.56414
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.712518,6.625449,6.244851,4.62105,6.550967
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.235295,7.766463,8.59058,7.604402,8.549185
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.706662,7.214723,8.029193,6.539248,7.8724565
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.28993,7.788026,8.711218,7.068022,8.464299
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.160668,7.987264,9.219745,7.413387,8.695266
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.046216,7.854088,8.865918,6.661693,8.35697875
