"","sample","tissue","endometriosis","severity","p225951_s_at","p226830_x_at","LINC01578"
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.565358,3.319371,7.4423645
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.017015,5.352344,8.6846795
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.005626,4.680948,8.343287
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.085372,3.834672,7.960022
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.374805,4.50704,7.9409225
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.60188,5.042077,8.3219785
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.462391,5.467267,8.464829
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.95297,3.085901,7.5194355
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.235435,3.955638,7.5955365
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.938797,4.326841,8.132819
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.896805,4.824406,8.3606055
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.004876,4.553996,8.279436
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.064981,3.900893,7.982937
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.598421,2.900679,7.24955
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.364264,6.377491,9.3708775
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.512075,5.293322,8.9026985
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.359462,5.048342,8.703902
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.425,5.692372,9.058686
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.560055,5.16899,8.8645225
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.650277,5.605645,9.127961
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.13074,5.307709,8.7192245
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.548383,5.621274,9.0848285
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.61646,5.434099,9.0252795
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.122525,5.442518,8.7825215
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.245884,5.355726,8.800805
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.104523,4.797343,8.450933
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.58596,3.212144,7.399052
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.994086,4.998831,8.4964585
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.387417,5.550458,8.9689375
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.501978,2.442477,6.9722275
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.454654,4.114128,7.784391
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.31012,4.275847,7.7929835
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.636231,3.236002,7.4361165
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.501416,4.132298,7.816857
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.116542,3.713948,7.415245
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.748284,2.844303,7.2962935
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.838507,2.938742,7.3886245
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.962467,3.644362,7.3034145
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.63902,5.356803,8.9979115
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.224165,4.177812,7.7009885
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.762118,4.926647,8.3443825
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.426567,4.516787,7.971677
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.305894,4.363315,7.8346045
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.247259,4.50704,7.8771495
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.75754,5.218656,8.488098
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.463017,4.268536,7.8657765
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.351427,2.829334,7.0903805
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.209252,4.018392,7.613822
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.560433,4.940313,8.250373
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.970381,4.510476,7.7404285
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.406009,4.028595,7.717302
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.322332,4.127848,7.72509
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.441252,4.573113,8.0071825
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.307869,3.1521,7.2299845
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.08411,4.549348,8.316729
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.290111,4.507256,7.8986835
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.431344,2.955382,7.193363
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.114868,2.762197,6.9385325
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.805202,2.541474,7.173338
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.490018,4.514811,8.0024145
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.702213,4.50704,8.1046265
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.121994,3.633802,7.877898
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.185821,2.849652,7.5177365
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.083767,2.342998,7.2133825
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.371343,2.342998,6.8571705
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.963793,2.342998,6.6533955
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.949505,3.200805,7.075155
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",12.06952,4.196521,8.1330205
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.906907,4.100049,8.003478
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",12.093777,5.223367,8.658572
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.89159,4.409871,8.1507305
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.283267,4.593427,8.438347
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.226216,5.136168,8.681192
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.407387,5.034025,8.720706
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.725848,5.203076,8.964462
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.097538,4.955207,8.5263725
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.893203,4.603879,8.248541
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.529531,5.047309,8.78842
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.413494,5.92423,9.168862
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.096601,5.278515,8.687558
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.875253,4.948393,8.411823
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.686195,5.200365,8.94328
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.862655,4.8834,8.3730275
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.881874,4.928074,8.404974
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.512249,4.863811,8.68803
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.937449,5.271361,8.604405
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.639216,4.918857,8.7790365
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.913506,5.593951,8.7537285
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.894649,4.686904,8.2907765
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.918519,6.103248,9.5108835
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.977005,5.239236,8.6081205
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.2072,5.387484,8.797342
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.989391,5.341636,8.6655135
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.862945,4.50704,8.1849925
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.839415,5.207569,8.523492
