"","sample","tissue","endometriosis","severity","p240344_x_at","p231840_x_at","LYRM7"
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.564984,4.576936,5.57096
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.443471,5.680506,6.0619885
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.415876,5.042538,5.729207
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.841138,6.255014,6.548076
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.590413,5.332087,5.96125
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.841795,5.54449,6.1931425
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.79128,5.680768,6.236024
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.443471,5.680506,6.0619885
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.099575,5.680768,5.8901715
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.443471,4.576936,5.5102035
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.809248,5.680506,5.744877
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.11732,5.332087,6.2247035
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.235139,6.148843,7.191991
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.219178,4.576936,5.398057
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.443471,5.680768,6.0621195
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.937628,5.680506,6.309067
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.163446,5.462832,5.813139
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.667003,5.680506,6.6737545
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.494708,5.796298,6.145503
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.16264,5.082718,5.122679
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.443471,5.255022,5.8492465
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.223716,5.696621,6.4601685
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.723194,5.204995,5.4640945
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.311649,5.680768,6.4962085
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.503421,4.647993,5.075707
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.684039,4.64304,5.1635395
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.704883,5.624322,5.6646025
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.443471,5.680506,6.0619885
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.522493,4.923753,5.723123
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.644508,5.332087,5.4882975
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.657801,5.680506,5.6691535
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.247166,5.989688,6.618427
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.702036,5.675159,5.6885975
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.926022,6.070533,6.9982775
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.443471,5.680506,6.0619885
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.507286,5.67067,6.088978
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.666527,6.8026,7.2345635
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.254045,5.680768,6.4674065
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.915842,5.680506,6.298174
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.531067,5.335673,5.93337
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.454126,5.345316,6.399721
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.622655,4.576936,5.5997955
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.08541,6.681817,7.3836135
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.264181,5.625779,6.44498
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.637977,5.068677,5.853327
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.961102,7.214119,7.5876105
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.886847,7.586866,8.2368565
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.277273,6.925174,7.6012235
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.523184,6.261697,6.8924405
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.382027,7.215972,7.7989995
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.675102,7.100392,7.887747
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.208942,6.354227,7.2815845
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.803377,7.895038,8.3492075
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.110284,7.161293,7.6357885
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.234955,7.503671,7.869313
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.515354,7.331293,7.9233235
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.892735,7.179182,7.5359585
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.455809,7.189335,7.822572
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.571866,7.536131,8.0539985
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.257345,7.004055,7.6307
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.861734,5.445598,6.153666
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.926709,5.552357,6.239533
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.027588,5.680768,6.354178
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.794761,5.680506,6.2376335
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.319804,5.680768,5.500286
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.443471,5.368932,5.9062015
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.140955,5.338697,6.239826
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.443471,5.332087,5.887779
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.238389,5.680768,5.9595785
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.654441,5.680506,5.6674735
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.939588,4.576936,4.758262
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.11808,5.560416,6.339248
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.942872,5.680768,6.31182
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.216439,5.332087,5.774263
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.517911,5.680506,6.0992085
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.791808,5.680506,5.736157
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.478678,7.255188,7.866933
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.255336,5.680768,6.968052
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.054349,6.220171,6.63726
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.378083,6.517487,6.947785
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.252812,5.862208,6.55751
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.800027,5.680506,6.2402665
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.554981,5.680506,6.1177435
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.080817,5.680506,6.3806615
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.443471,5.680768,6.0621195
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.057459,5.680506,5.8689825
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.099098,5.880204,6.489651
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.013557,5.632871,5.823214
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.327681,4.886216,5.6069485
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.708698,5.947899,6.8282985
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.03162,7.121931,7.0767755
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.604562,5.680768,7.142665
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.085155,5.556985,6.82107
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.04008,5.680506,6.860293
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.792314,5.680506,6.73641
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.632447,5.680506,6.6564765
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.799217,5.680506,6.7398615
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.61206,5.332087,6.9720735
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.756723,5.698626,7.2276745
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.121847,6.226127,7.173987
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.359589,5.792862,7.0762255
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.587061,6.189186,7.3881235
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.862902,5.680768,6.771835
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.064629,6.370528,7.2175785
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.881125,5.680506,6.2808155
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.846178,6.005262,6.92572
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.283423,6.612901,7.448162
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.591383,7.00263,7.7970065
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.478226,4.910786,5.694506
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.978275,7.898481,8.438378
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.16079,6.380117,7.7704535
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.479492,6.519745,7.4996185
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.090807,7.218027,8.154417
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.614255,5.383315,6.498785
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.078252,7.30817,8.193211
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.470068,5.910977,6.6905225
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.504504,5.777996,6.64125
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.063204,5.983768,7.023486
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.41506,6.380754,7.397907
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.198333,6.318771,7.258552
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.654441,4.576936,5.1156885
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.466847,5.950318,7.2085825
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.885932,6.008345,6.9471385
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.406631,6.282682,7.3446565
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.192376,5.612453,6.9024145
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.240672,5.97957,7.110121
