"","sample","tissue","endometriosis","severity","p1558426_x_at","p217529_at","p218812_s_at","p231406_at","ORAI2"
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.820463,9.031131,8.566616,10.254615,9.41820625
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.232355,8.162772,8.100947,9.393327,8.72235025
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.635164,9.830128,9.9358,10.275834,10.1692315
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.044518,8.876252,9.052203,9.030188,9.25079025
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.683686,7.570102,7.775166,8.454175,8.12078225
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.48847,9.22318,8.892473,10.451431,9.7638885
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.147429,8.853422,8.630709,9.97191,9.4008675
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.439279,8.445692,8.752606,8.519404,8.78924525
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.903994,8.355168,8.174002,9.375084,8.702062
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.272967,9.365625,9.811733,9.932991,9.845829
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.716403,8.862995,9.713409,9.28331,9.39402925
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.214646,8.668536,8.299839,9.175094,8.83952875
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.353522,8.806244,8.914131,10.029702,9.27589975
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.993333,9.09625,9.052336,9.496717,9.409659
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.407736,9.480899,9.044474,10.963662,9.97419275
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.743472,8.549094,8.261674,9.617778,9.0430045
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.33442,9.907004,9.325332,10.812185,10.09473525
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.391019,8.678701,8.078835,9.174447,8.8307505
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.853469,8.685244,8.82376,10.446177,9.4521625
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.363647,9.171179,8.663267,10.780842,9.74473375
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.838594,6.97644,7.084736,8.207904,7.7769185
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.870787,8.761081,8.682422,9.878804,9.2982735
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.659312,8.888878,8.242318,9.741468,9.132994
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.00173,8.701977,8.535034,9.664642,9.22584575
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.846903,9.176172,8.587312,10.262641,9.468257
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.697829,9.994877,9.727687,10.921148,10.33538525
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.293032,9.218569,9.368128,9.787489,9.6668045
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.084313,8.14602,8.723016,9.457827,9.102794
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.911892,9.119169,9.039088,9.06439,9.28363475
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.356813,8.307984,7.9971,9.335236,8.74928325
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.286771,8.024934,8.336309,8.985662,8.658419
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.747162,8.689666,8.177419,9.757262,9.09287725
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.497856,7.194768,6.208353,8.433749,7.5836815
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.599895,7.968857,8.494715,9.137596,8.80026575
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.112049,7.911583,7.997946,9.142351,8.54098225
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.679065,7.555546,6.966405,8.821204,8.005555
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.28179,9.265548,9.022429,10.424314,9.74852025
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.994877,9.104649,8.516755,10.240136,9.46410425
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.103659,8.279097,7.60887,9.663246,8.663718
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.051472,8.238042,7.874998,9.595883,8.69009875
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.79372,7.79965,7.018757,9.443865,8.263998
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.917702,8.715362,7.809878,9.264222,8.676791
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.336235,7.24747,7.088079,8.476019,7.78695075
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.230336,8.152507,8.376072,9.236371,8.7488215
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.171047,7.74198,6.595075,8.407265,7.72884175
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.228181,7.860685,6.72366,8.745722,7.889562
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.03285,7.279012,6.614633,7.707658,7.40853825
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.43004,7.569923,6.829206,8.301717,7.5327215
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.848404,9.317172,8.691177,9.882786,9.18488475
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.758436,7.583849,7.061027,8.013967,7.60431975
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.035046,7.530741,6.945403,7.912961,7.60603775
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.53095,7.147254,6.792657,7.79054,7.31535025
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.221517,8.97516,8.610855,9.785962,9.1483735
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.907704,7.320379,6.740699,8.19395,7.540683
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.109182,7.703596,7.684877,8.271857,7.942378
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.995521,7.86598,7.023408,8.653178,7.88452175
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.624923,10.413059,10.026813,11.163976,10.55719275
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.586742,7.33372,6.731684,8.010442,7.415647
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.75055,7.303017,6.546029,7.99073,7.3975815
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.560884,8.341977,8.30264,9.855977,9.0153695
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.144854,8.675154,8.337525,9.630774,8.94707675
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.007623,7.61279,8.160692,8.572697,8.3384505
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.682433,8.053362,8.417597,9.782489,8.98397025
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.118048,8.346333,8.675676,8.939977,8.7700085
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.940632,8.866037,9.21719,9.787506,9.45284125
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.231555,7.713108,7.807595,9.147269,8.47488175
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.790541,8.01276,8.197482,9.623811,8.9061485
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.73453,9.837529,9.969851,11.091048,10.4082395
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.091763,8.914906,8.654133,9.48539,9.286548
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.026686,9.094415,9.524154,10.412942,9.76454925
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.971623,8.034107,7.880146,8.975575,8.46536275
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.359411,9.522354,9.226834,10.000649,9.777312
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.536811,8.866389,8.38531,10.183481,9.24299775
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.811421,8.843407,8.356582,10.229532,9.3102355
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.80916,8.795011,8.268328,9.615682,9.12204525
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.002487,8.550851,7.919996,8.717168,8.7976255
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.175015,7.058442,7.593222,9.254482,8.27029025
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.832233,8.911673,8.813365,9.618702,9.29399325
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.078671,8.15698,7.70322,8.390004,8.33221875
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.646749,8.164206,8.027863,9.59819,8.859252
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.058465,9.112251,9.354656,10.000877,9.63156225
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.109952,10.006979,9.713876,10.184126,10.00373325
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.446917,8.442085,8.320527,9.464681,8.9185525
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.689385,7.483749,6.889346,9.128675,8.04778875
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.775477,8.74204,8.466895,10.113057,9.27436725
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.328958,8.006041,7.681763,9.027337,8.51102475
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.610451,8.675339,9.121439,9.619943,9.256793
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.387867,7.95262,9.014548,9.223381,8.894604
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.584914,8.305236,7.90897,9.508245,8.82684125
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.708934,9.192021,8.358886,9.424508,9.17108725
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.159832,5.083051,7.794172,5.754282,7.19783425
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.25531,7.340075,8.914941,8.4759,8.7465565
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.385368,5.830039,7.621335,6.842362,7.419776
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.805576,5.300584,7.264411,6.587568,6.98953475
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.302434,4.052686,7.281968,6.454808,7.022974
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.230453,4.657924,6.78756,6.86869,7.13615675
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.0046,4.842474,7.413356,7.377529,7.40948975
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.443263,6.53681,5.039254,7.714148,6.93336875
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.451356,8.807183,7.900994,9.668819,8.957088
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.020387,7.480032,6.161259,7.861072,7.3806875
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.723886,9.710069,9.023893,10.300158,9.6895015
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.046329,7.259994,6.223958,7.912533,7.3607035
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.230591,8.657882,7.873397,8.749217,8.62777175
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.693493,7.561866,7.296315,7.726956,7.8196575
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.351136,7.44147,6.454321,7.649972,7.47422475
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.666343,7.760532,7.923381,8.383477,8.18343325
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.827426,7.571101,6.874201,7.863651,7.78409475
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.364233,8.031802,6.643492,8.697721,7.934312
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.807779,6.978944,6.031626,7.644695,7.115761
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.666105,7.62005,6.904714,7.906864,7.77443325
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.510083,7.131978,6.32835,7.570021,7.385108
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.536562,6.893671,5.620809,7.030834,6.770469
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.856058,7.059566,6.394036,8.134537,7.36104925
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.485626,9.520112,8.395384,9.705464,9.2766465
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.138732,7.061834,5.641267,6.955008,6.94921025
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.470126,7.593408,6.892513,8.344005,7.825013
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.982401,8.369961,7.748884,8.810636,8.4779705
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.398676,7.575538,6.655506,8.34606,7.743945
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.856656,6.340371,5.981402,7.263225,6.8604135
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.437742,7.57321,6.494622,8.171065,7.66915975
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.470641,7.437612,6.821159,8.1746,7.726003
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.908246,7.699703,7.325026,8.378381,8.077839
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.575238,7.203424,6.278606,8.228835,7.57152575
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.326624,7.118123,6.590384,7.814365,7.462374
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.535852,7.44685,6.900962,7.916843,7.70012675
