"","sample","tissue","endometriosis","severity","p210253_at","p209448_at","p207180_s_at","HTATIP2"
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.939586,6.079878,4.940045,5.65316966666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.501773,6.777998,3.600443,4.96007133333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.412686,7.824505,5.546213,5.92780133333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.302239,8.249328,5.525983,7.02585
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.501773,6.207535,3.624852,4.77805333333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.11942,6.952247,5.920669,5.664112
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.373994,6.976811,5.120945,5.82391666666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.124519,5.585999,6.016971,5.24249633333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.124519,5.481929,6.017017,5.20782166666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.696066,8.550387,5.932395,6.39294933333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.609005,9.504327,7.050956,7.72142933333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.501773,6.391479,3.600443,4.83123166666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.351964,8.791231,6.141357,6.76151733333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.742586,6.785488,5.326654,5.61824266666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.136168,9.077443,6.017017,7.076876
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.939862,7.743573,4.304817,5.66275066666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.337167,8.085016,6.139586,6.52058966666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.91027,7.695658,6.017017,6.874315
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.530648,9.57149,6.740061,7.280733
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.938808,8.752135,6.446799,7.045914
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.630481,7.157308,3.384465,5.057418
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.08841,6.027211,4.865551,5.32705733333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.809202,8.339805,6.017017,7.05534133333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.373222,8.991704,6.261523,7.20881633333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.517671,7.130634,6.017017,6.55510733333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.640422,6.772911,3.746811,5.38671466666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.392605,8.4252,6.017017,6.61160733333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.073552,7.774093,5.737997,6.52854733333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.904757,6.907931,5.176278,5.66298866666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.317651,6.908265,4.690287,5.305401
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.114078,8.364457,5.797037,6.42519066666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.705594,7.702911,5.176501,5.86166866666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.581417,10.505295,7.916765,8.001159
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.577156,10.244921,7.79346,7.53851233333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.172416,8.524433,6.017017,6.57128866666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.083004,8.207249,5.375202,6.55515166666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.766598,10.087897,7.751868,7.86878766666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.549,9.896408,7.387103,7.610837
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.690417,9.607462,7.441625,7.57983466666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.868973,8.821809,6.65993,7.116904
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.025659,6.577646,4.437782,5.01369566666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.080119,7.368148,6.017017,5.82176133333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.190434,8.524582,6.031094,6.58203666666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.124519,9.127475,6.473216,6.57507
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.124519,8.364065,5.742653,6.077079
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.127508,9.095236,6.730862,6.651202
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.518116,9.340016,7.001904,7.28667866666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.308628,8.193426,6.017017,6.17302366666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.501773,8.645651,6.14642,6.43128133333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.553135,8.833127,6.4039,6.59672066666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.936151,10.66378,8.171441,8.59045733333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.538399,8.955975,6.593017,6.695797
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.828368,10.482364,8.368465,7.89306566666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.924947,9.280448,6.773044,6.992813
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.043568,9.814152,6.785447,7.54772233333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.04051,9.04342,7.011564,7.03183133333333
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.269106,8.877475,6.83526,6.66061366666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.128432,8.92288,6.148919,6.400077
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.243342,10.554507,8.183133,8.326994
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.139674,8.053681,5.058616,5.750657
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.531713,9.548423,7.138284,7.40614
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.732192,6.651166,6.017017,5.46679166666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.437108,8.938448,6.76092,7.045492
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.494356,7.861035,5.347794,5.90106166666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.124519,7.411349,4.958365,5.49807766666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.836347,9.076311,6.747876,6.88684466666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.689639,6.015902,3.578319,4.76128666666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.05795,8.116196,5.973131,6.38242566666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.903634,9.597091,7.104254,7.20165966666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.26183,9.720009,6.920469,7.63410266666667
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.480555,8.036311,5.915902,6.144256
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.474653,9.449612,6.629143,7.18446933333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.508407,9.22097,6.017017,6.91546466666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.272414,6.685445,3.600443,4.85276733333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.31393,7.757331,5.640143,6.23713466666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.825585,7.782638,5.781404,5.79654233333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.252922,7.885012,5.807497,5.98181033333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.886805,9.579096,6.539478,7.001793
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.501773,6.907627,3.60789,5.00576333333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.607262,9.226194,6.282595,7.03868366666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.980261,9.350405,6.735476,7.02204733333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.124519,7.592108,5.08213,5.59958566666667
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.169655,7.888099,5.458002,6.17191866666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.257638,7.885011,5.495961,5.87953666666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.115694,8.093946,5.609781,6.27314033333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.56738,7.447698,4.452501,5.489193
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.327733,7.590333,4.583442,5.50050266666667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.461361,8.392567,6.017017,6.290315
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.882231,10.055118,7.022016,7.31978833333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.340953,10.340772,7.904012,7.528579
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.253146,9.626378,7.31824,6.732588
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.124519,9.555427,7.626999,7.102315
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.339876,7.136046,5.21507,4.89699733333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.580623,6.802791,6.017017,5.46681033333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.42583,7.386586,4.641695,4.818037
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",3.865234,7.653055,3.991931,5.17007333333333
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.405657,7.782463,4.623125,5.270415
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.005354,7.95963,4.816594,5.59385933333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.93476,9.463149,7.04859,7.48216633333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.411641,8.13777,5.588778,6.046063
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.640996,9.762816,6.854521,7.75277766666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.802834,9.195967,6.635192,6.87799766666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.161716,10.160874,7.819567,7.71405233333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.028992,9.801453,7.14499,7.325145
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.749905,7.755634,5.266312,5.590617
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.183854,8.260628,5.972486,6.13898933333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.947515,8.572292,6.032004,6.183937
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.567587,7.882838,5.258095,5.56950666666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.215963,7.906973,5.420266,5.847734
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.411907,8.550648,5.859229,6.273928
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.994749,9.186044,6.598201,6.592998
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.690776,8.468302,6.017017,6.39203166666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.904294,8.0448,4.862242,5.937112
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.610806,10.304436,7.616036,7.84375933333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.845908,9.835429,7.386993,7.68944333333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.124519,8.009789,5.611566,5.91529133333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.352022,7.694814,5.11427,5.72036866666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.154579,8.752261,6.017017,6.64128566666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.876643,8.289721,5.855866,6.00741
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.859121,10.455258,7.860924,8.05843433333333
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.849111,8.167463,5.017468,5.678014
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.216762,8.522041,5.208914,5.98257233333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.45091,8.793621,6.065934,6.43682166666667
