"","sample","tissue","endometriosis","severity","p201907_x_at","p201908_at","DVL3"
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.725926,9.800386,7.763156
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.337184,9.995581,7.6663825
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.544528,10.142811,8.3436695
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.945919,10.007641,7.97678
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.23713,9.862227,7.5496785
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.148729,9.221693,7.685211
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.435232,8.918743,7.6769875
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.542769,9.875183,7.708976
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.052451,9.55445,7.3034505
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.073067,9.813357,7.943212
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.546173,9.331491,7.438832
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.634078,10.130908,7.882493
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.099418,9.901706,8.000562
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.440226,9.498687,7.9694565
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.068411,9.366714,6.7175625
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.302248,9.918018,7.610133
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.077701,9.59253,7.3351155
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.723551,9.767041,7.245296
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.175707,9.475824,7.3257655
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.43699,9.248173,7.8425815
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.843498,9.676104,7.259801
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.472032,10.604416,8.538224
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.95613,9.291403,7.1237665
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.939498,9.593546,7.266522
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.886516,9.961713,7.9241145
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.766363,8.900004,6.8331835
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.782722,9.518883,7.6508025
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.920452,9.466235,7.6933435
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.380099,9.26362,7.3218595
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.980869,8.463124,7.2219965
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.518219,9.233496,7.8758575
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.783048,9.017823,6.9004355
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.020932,9.394327,7.2076295
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.837156,9.916718,7.876937
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.394015,10.050811,7.722413
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.453149,9.050321,6.751735
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.073942,9.552868,7.813405
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.363923,9.820821,7.592372
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.298248,9.363386,6.830817
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.511028,9.92773,7.719379
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.573164,9.399937,7.4865505
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.323412,9.834828,7.57912
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.75431,9.894272,7.324291
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.75431,9.57752,7.165915
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.649204,9.377052,7.013128
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.178468,10.487372,7.83292
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.939198,10.069571,8.0043845
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.518857,9.129423,6.32414
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.642979,8.927781,6.28538
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.795417,9.448438,6.6219275
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.295788,8.98327,6.639529
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.046699,8.970746,6.5087225
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.068411,9.413117,6.740764
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.068411,9.326206,6.6973085
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.09103,8.871482,6.481256
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.450103,8.791422,6.1207625
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.015382,8.840836,6.428109
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.645005,8.653303,6.649154
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.216549,8.921214,6.5688815
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.046596,8.408907,6.7277515
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.068411,8.904066,6.4862385
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.073742,8.649615,6.3616785
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.223569,10.21404,7.7188045
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.418095,9.588991,7.503543
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.771736,9.574693,7.1732145
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.452052,9.968011,7.7100315
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.213644,10.101135,8.1573895
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.287716,10.013968,7.650842
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.988228,9.885384,7.436806
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.827018,10.302007,8.0645125
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.027532,10.024191,8.0258615
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.058552,8.513306,7.285929
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.497828,10.720394,8.609111
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.743981,9.317225,7.030603
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.601381,8.985541,7.293461
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.68362,10.245556,7.964588
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.75431,9.446274,7.100292
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.851065,9.558416,7.7047405
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.010587,8.923336,7.4669615
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.817473,9.612477,7.214975
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.802061,10.166867,7.484464
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.71794,9.418745,7.0683425
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.87498,9.762162,7.318571
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.532747,10.220773,8.37676
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.75431,9.60154,7.177925
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.775387,9.879057,7.827222
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.421928,10.094388,7.758158
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.916051,10.158805,8.037428
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.936409,9.706518,7.3214635
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.757753,10.621331,8.189542
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.200357,9.700081,7.950219
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.969631,9.986076,7.9778535
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.9054,10.185244,7.545322
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.068411,9.233705,6.651058
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.305609,8.981146,6.6433775
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.068411,9.134064,6.6012375
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.422975,9.139471,6.781223
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.33974,9.600664,6.970202
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.057463,9.186441,6.621952
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.266325,9.792087,7.029206
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.71794,10.359953,7.5389465
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.192975,9.735642,6.9643085
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.068411,9.328808,6.6986095
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.75431,9.481962,7.118136
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.289719,9.900766,7.0952425
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.113588,8.884783,6.4991855
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.554873,9.655377,7.105125
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.536761,9.725083,7.130922
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.609697,9.299195,6.954446
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.298928,10.020536,7.159732
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.71794,9.864198,7.291069
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.068411,8.83407,6.4512405
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.071399,9.323444,6.6974215
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.110043,8.955625,6.532834
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.338945,9.754902,7.0469235
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.218944,9.855298,7.037121
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.544076,9.451334,6.997705
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.459966,9.775314,7.11764
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.302045,8.801552,6.5517985
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.362214,9.351351,6.8567825
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.244179,9.307349,6.775764
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.190871,9.687966,6.9394185
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.987884,9.873317,7.4306005
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.952762,9.090446,6.521604
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.309432,8.965726,6.637579
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.195467,9.237328,6.7163975
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.26947,8.995687,6.6325785
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.14408,9.315244,6.729662
