"","sample","tissue","endometriosis","severity","p1569402_at","p228327_x_at","MEIS3"
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.196898,6.916734,7.056816
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.561509,8.348765,7.455137
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.262394,5.747623,5.5050085
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.590275,6.021018,6.3056465
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.225887,7.446429,7.336158
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.008093,7.310273,6.659183
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.556265,6.01212,5.7841925
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.399751,8.666369,8.03306
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.590725,8.12409,7.3574075
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.761603,4.861466,4.8115345
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.076294,5.359557,5.2179255
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.831415,7.513949,7.172682
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.939303,5.359557,5.14943
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.562619,6.562228,6.0624235
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.583905,7.294391,6.939148
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.17177,6.573693,6.8727315
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.476044,8.070293,7.2731685
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.983717,5.359557,5.671637
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.106817,6.077061,6.091939
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.810897,6.896007,6.353452
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.228547,6.439094,5.8338205
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.174802,7.263916,6.719359
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.474303,7.04901,7.2616565
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.679505,6.896009,6.787757
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.162451,7.156421,6.659436
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.039234,7.289773,6.6645035
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.616492,6.709594,6.163043
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.073324,6.212041,6.1426825
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.068525,5.359557,4.714041
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.907528,6.818546,6.863037
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.206883,5.343825,4.275354
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.791659,6.49028,6.1409695
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.962867,5.566282,5.2645745
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.604868,5.432482,5.018675
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.752853,4.861466,4.8071595
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.658399,6.311564,5.9849815
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.177687,6.199883,5.188785
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.138222,5.359557,5.2488895
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.201374,5.804881,5.5031275
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.609194,4.890519,4.7498565
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.0792,7.447604,7.263402
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.683826,7.053434,5.86863
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.654494,4.861466,4.25798
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.256678,5.343825,4.3002515
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.660171,4.87612,4.7681455
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.661745,5.761758,5.2117515
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.783317,4.918329,4.350823
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.788795,5.190253,4.989524
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.728541,4.861466,4.7950035
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.059867,5.178854,4.6193605
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.902469,4.861466,4.3819675
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.521702,4.813775,4.1677385
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.462442,5.359557,4.4109995
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.116846,5.412699,4.2647725
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.314453,5.666609,4.990531
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.116846,5.343825,4.2303355
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.116846,5.199504,4.158175
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.724866,6.000877,5.8628715
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.937504,5.595461,5.2664825
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.383433,6.510277,5.446855
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.604152,5.343825,4.9739885
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.308981,7.981354,7.6451675
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.093204,6.716973,6.4050885
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.162474,6.912295,6.0373845
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.138066,6.980796,6.559431
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.468206,5.274065,5.3711355
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.320717,7.597774,7.4592455
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.765561,8.603636,7.6845985
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.229885,5.360284,5.2950845
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.598006,6.389788,6.493897
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.495489,7.225691,6.86059
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.436567,6.016642,5.7266045
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.155797,5.634262,5.8950295
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.607976,7.276873,7.4424245
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.285642,7.421643,6.3536425
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.638792,6.365499,6.0021455
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.70955,5.359557,5.5345535
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.300055,6.778465,6.53926
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.519912,7.72973,7.124821
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.856285,5.475066,5.6656755
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.72635,5.860658,5.793504
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.972649,7.004612,6.4886305
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.745348,7.605419,7.6753835
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.232238,5.652795,5.4425165
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.405896,7.600549,7.0032225
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.441355,6.894817,6.168086
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.05513,5.982956,6.019043
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.49816,5.343825,5.4209925
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.334695,4.861466,4.5980805
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.191881,4.861466,4.5266735
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.867753,5.359557,5.113655
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.0694,5.359557,4.7144785
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.818976,5.262638,4.540807
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.388508,5.899612,5.64406
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.853991,5.79181,4.8229005
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.203859,7.319911,6.761885
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.649363,5.435193,5.542278
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.090569,5.154375,5.122472
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.114017,4.789231,4.451624
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.56452,5.683924,5.624222
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.87224,4.657437,4.7648385
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.867753,4.747549,4.807651
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.961696,4.657437,4.8095665
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.904152,4.861466,4.882809
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.400491,5.667266,5.5338785
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.651098,5.552693,5.6018955
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.43801,4.657437,4.0477235
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.867753,4.659237,4.763495
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.397901,4.658221,4.528061
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.867753,5.351097,5.109425
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.717122,5.862378,5.78975
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.893648,4.657437,4.7755425
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.844259,5.366109,5.605184
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.867753,5.075828,4.9717905
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.160712,4.83035,4.995531
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.463692,4.861466,4.662579
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.592992,5.27087,4.931931
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.494964,5.343825,5.4193945
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.501099,5.011729,4.756414
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.207544,5.060051,5.1337975
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.468537,5.100355,4.784446
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.812734,4.861466,4.8371
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.459036,4.973921,4.7164785
