"","sample","tissue","endometriosis","severity","p216262_s_at","p218724_s_at","TGIF2"
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.414064,7.108396,6.76123
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.797744,7.779985,8.2888645
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.000663,8.662114,8.8313885
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.894532,8.991174,8.942853
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.990402,8.784541,8.8874715
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.721249,8.090386,7.9058175
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.25711,5.608829,5.9329695
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.154338,7.278164,7.216251
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.31968,9.5186,8.91914
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.254173,5.223247,5.73871
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.329035,8.628021,8.478528
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.417452,6.714061,6.5657565
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.403525,9.34639,8.8749575
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.006963,6.696115,7.351539
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.101801,7.92389,7.5128455
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.700972,6.001746,6.351359
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.911406,7.189341,7.0503735
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.383223,8.094773,7.738998
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.562786,7.830116,8.196451
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.089408,7.302378,7.195893
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.040389,6.728438,6.3844135
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.435603,7.714309,7.074956
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.838731,7.230095,7.034413
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.773013,5.722162,6.2475875
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.404027,6.798678,7.6013525
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.302443,9.03696,8.6697015
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.07345,8.416955,8.7452025
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.216516,6.25969,6.238103
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.285478,7.062209,7.1738435
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.086698,6.068196,6.077447
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.078595,4.470641,5.274618
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.395951,4.944751,5.670351
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.861787,6.284926,6.5733565
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.659998,4.167407,5.4137025
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.763755,6.008889,6.386322
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.324847,7.763226,7.5440365
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.50685,6.648353,6.5776015
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.417515,8.206355,8.311935
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.196096,8.050968,8.123532
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.697694,7.6198,7.658747
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.404585,7.199981,7.302283
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.373698,6.300363,6.8370305
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.827576,6.788862,7.308219
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.999627,4.955076,5.4773515
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.555014,6.855441,7.2052275
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.977155,6.47433,7.2257425
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.834031,6.443513,6.638772
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.066667,4.614383,5.340525
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.841539,7.824511,7.833025
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.742794,7.147304,6.945049
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.105259,7.616923,7.861091
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.071883,5.86407,5.9679765
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.75994,7.574369,7.6671545
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.033467,7.806335,7.919901
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.501503,7.913423,7.707463
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.457257,5.240239,5.348748
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.98983,6.801226,6.895528
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.19495,6.372406,6.283678
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.051462,9.01684,8.534151
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.692196,7.25779,6.974993
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.907771,7.708721,7.808246
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.724444,8.416156,8.5703
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.215264,6.147062,6.181163
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.785378,10.139399,9.4623885
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.804253,8.035323,7.919788
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.967025,7.234506,7.1007655
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.345085,6.668056,6.5065705
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.149564,7.716634,7.933099
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.213796,6.094765,6.1542805
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.158477,8.143785,7.651131
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.13886,7.882734,7.510797
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.793658,6.701631,6.7476445
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.563458,8.08634,7.824899
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.396273,8.511991,8.454132
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.346774,6.460791,6.4037825
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.343319,8.559853,8.451586
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.717769,7.258392,6.9880805
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.621511,6.641315,6.631413
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.41744,5.653554,7.035497
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.680877,9.014127,8.847502
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.000044,7.709928,7.854986
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.431451,7.889141,8.160296
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.314707,7.965559,8.140133
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.76997,7.263313,7.0166415
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.054554,6.801342,6.927948
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.456558,5.302412,5.379485
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.064538,3.899118,4.481828
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.814496,6.072902,5.943699
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.213796,5.166766,5.690281
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.539509,7.300518,7.4200135
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.405646,6.035424,6.720535
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.844323,6.472882,7.1586025
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.742758,4.409237,5.5759975
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.483963,4.283564,5.3837635
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.983831,7.728799,7.356315
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.039339,3.182549,4.110944
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.649799,6.004437,6.827118
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.710529,5.789279,5.249904
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.908601,5.849201,6.878901
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.073513,4.53536,5.3044365
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.964145,3.916246,4.9401955
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.089829,4.905547,5.997688
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.100275,4.798017,5.449146
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.034812,7.77909,7.406951
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.317198,7.925067,7.6211325
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.498914,8.265353,7.8821335
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.365579,4.098562,5.2320705
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.133447,7.096123,7.114785
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.007039,4.092529,4.549784
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.958088,5.183255,6.0706715
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.122595,5.798464,5.9605295
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.877682,5.158813,5.5182475
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.888496,7.354608,7.621552
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.737445,6.126679,6.932062
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.940704,4.719677,5.3301905
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.783244,8.222621,8.0029325
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.213796,5.462954,5.838375
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.870223,7.757926,7.8140745
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.556169,8.063265,7.809717
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.343115,7.467329,7.405222
