"","sample","tissue","endometriosis","severity","p205221_at","p214308_s_at","p214307_at","HGD"
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.142232,7.568466,5.633284,7.11466066666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.20122,7.075425,5.503394,6.59334633333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.839667,8.330614,7.713045,8.294442
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.485335,5.907527,4.400964,4.93127533333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.645204,6.360575,3.93128,5.64568633333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.131792,10.16904,9.534901,10.2785776666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.380204,5.805007,3.144589,4.7766
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.386276,6.131415,4.351602,5.62309766666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.319318,6.01489,3.265317,5.19984166666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.143401,5.898274,3.265317,4.435664
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.78934,6.68177,4.778168,6.08309266666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.307796,11.169292,10.033784,10.8369573333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.422485,7.733496,6.224894,7.46029166666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.140616,3.116385,4.778168,4.34505633333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.689768,11.229078,10.343023,11.0872896666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.437211,5.186125,4.484418,5.035918
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.0886,7.304106,5.67944,7.02404866666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.709929,4.940591,4.524311,5.058277
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.446109,6.065692,3.460616,4.65747233333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.597589,8.22024,8.288756,8.702195
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.39982,7.796864,6.02843,7.40837133333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.885013,7.457183,5.794687,7.04562766666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.990835,4.988196,4.423651,5.13422733333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.499596,5.383718,4.218812,5.034042
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.152431,5.901415,5.053074,5.70230666666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.427631,9.723355,8.894578,9.68185466666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.199404,7.808672,8.056137,8.02140433333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.883951,7.760378,6.998553,7.54762733333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.903934,7.719204,4.498583,6.70724033333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.838816,6.273094,5.208207,6.10670566666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.879864,6.912479,4.349096,6.04714633333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.482222,5.763814,3.963528,5.06985466666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.81566,9.954119,9.761777,10.1771853333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.431642,5.716722,4.758632,5.63566533333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.846911,8.902289,7.33422,8.69447333333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.491986,8.943185,6.060318,8.165163
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.483056,11.134878,10.297004,10.971646
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.424983,8.786165,8.497241,8.90279633333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.706536,9.132049,7.178278,8.67228766666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.593168,8.405483,6.825815,8.274822
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.627067,7.179213,5.398493,6.73492433333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.435677,10.079206,9.124695,9.87985933333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.915322,3.116385,2.888156,3.306621
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.516233,6.417436,4.763498,5.89905566666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.763181,7.468152,5.571097,6.93414333333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.724286,8.888287,7.267913,8.62682866666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.921731,7.583948,5.950464,7.15204766666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.226233,6.884918,4.778168,6.29643966666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.660855,12.705261,11.336972,12.2343626666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.998061,8.381716,6.606992,7.99558966666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.466511,7.203883,4.93946,6.536618
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.890861,10.572641,9.283508,10.2490033333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.634223,12.319249,10.913873,11.9557816666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.6959,8.503043,6.06778,7.75557433333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.416252,10.185378,7.670435,9.42402166666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.588628,8.183212,6.199082,7.656974
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.875556,12.257602,10.994095,12.0424176666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.326961,7.736235,5.471014,7.17807
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.146736,7.781821,5.453255,7.12727066666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.70427,6.633407,5.096626,6.478101
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.99961,11.071944,10.181299,11.0842843333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.324935,7.085581,4.778168,6.396228
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.512881,8.225138,5.83473,7.52424966666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.978957,4.180951,3.265317,3.80840833333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.145076,7.757349,5.518442,7.140289
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.472821,6.633308,4.670331,5.92548666666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.069966,6.000021,4.110897,5.393628
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.530056,11.132012,10.368705,11.0102576666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.877531,3.116385,4.498583,4.16416633333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.988138,4.913365,3.914287,4.27193
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.157157,9.391281,7.667697,9.072045
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.509406,9.519496,8.30248,9.443794
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.273487,5.90924,4.541725,5.57481733333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.721126,7.80068,5.631754,7.38452
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.04335,7.315369,5.737893,7.032204
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.243673,7.736235,6.354662,7.44485666666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.818287,7.792596,8.507511,8.372798
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.873551,6.745375,4.778168,6.13236466666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.978916,5.921653,3.841581,5.24738333333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.903583,7.897691,7.015427,7.93890033333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.839818,5.619289,4.724536,5.06121433333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.507308,9.880634,8.939306,9.77574933333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.750451,8.007917,5.953476,7.57061466666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.448828,5.965332,4.394721,5.60296033333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.436973,3.635067,3.265317,4.11245233333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.014538,5.83367,4.778168,5.87545866666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.861514,6.399672,5.211331,6.15750566666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.078036,6.601717,4.70889,6.12954766666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.443439,8.890409,8.412468,8.91543866666667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.621293,10.160179,9.37034,10.050604
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.813281,9.823857,6.941486,8.85954133333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.561789,11.581912,9.219913,10.7878713333333
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.371752,8.240908,4.684628,6.76576266666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.133501,9.252925,5.965834,8.11742
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.868809,6.512995,3.479036,5.28694666666667
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.446255,7.517995,3.265317,5.40985566666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.33362,6.643049,4.498583,5.825084
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.705971,8.795349,8.196325,8.899215
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.263618,7.574258,5.086087,6.97465433333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.69615,8.789771,7.57575,8.68722366666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.307866,12.88123,11.986301,12.7251323333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.09132,6.578998,3.953016,5.87444466666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.389818,11.716551,11.199701,11.76869
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.667964,6.450689,4.141233,5.75329533333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.784206,9.237363,6.745127,8.58889866666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.257405,9.75113,7.336325,9.11495333333333
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.908734,6.272359,4.763498,5.98153033333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.619842,5.802163,4.778168,5.733391
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.898681,8.472013,7.269781,8.21349166666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.684178,7.760224,6.018456,7.48761933333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.199647,6.465348,4.482369,6.04912133333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.622952,10.276757,9.002501,9.96740333333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.500856,5.701389,3.626236,5.27616033333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.759357,12.555526,10.889853,12.0682453333333
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.296996,8.380554,6.459223,8.045591
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.557818,8.992133,7.163729,8.57122666666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.208294,11.923469,10.330909,11.4875573333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.04871,6.630059,4.778168,6.15231233333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.941124,6.6337,3.940163,5.838329
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.898463,4.968889,3.265317,4.71088966666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.246152,6.94535,4.674401,6.28863433333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.169769,8.338482,6.537639,8.01529666666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.717728,6.161567,4.763498,5.880931
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.810171,7.005854,4.778168,6.53139766666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.398804,6.626964,4.778168,6.26797866666667
