"","sample","tissue","endometriosis","severity","p1556037_s_at","p230135_at","HHIP"
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.678012,2.517432,3.597722
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.862801,2.236067,2.549434
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.13952,2.236067,3.1877935
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.539951,2.244243,2.392097
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.839293,5.790242,6.3147675
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.065579,2.273224,2.6694015
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.062357,7.199324,7.6308405
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.796864,3.169552,4.483208
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.655381,5.326482,5.9909315
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.747112,4.329136,5.038124
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.789473,5.587761,6.188617
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.650126,5.398655,6.0243905
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.895956,2.236067,2.5660115
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.869593,5.33019,6.0998915
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.266347,4.450353,5.35835
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.137566,5.55483,5.846198
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.380586,2.236067,2.3083265
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.565515,5.204735,5.885125
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.691638,2.236067,2.4638525
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.148334,4.875649,5.5119915
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.393741,2.236067,2.314904
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.977518,5.117085,6.0473015
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.352686,4.576377,5.4645315
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.638847,2.236067,2.437457
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.380586,2.245138,2.312862
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.812589,4.43232,5.1224545
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.88634,2.556271,2.7213055
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.5969,5.322729,6.4598145
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.831852,2.236963,2.5344075
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.33393,3.639703,4.9868165
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.713666,2.253697,3.9836815
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.380586,2.245138,2.312862
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.678012,2.559439,3.6187255
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.782353,2.559439,4.670896
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.652559,2.559439,2.605999
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.380586,2.245138,2.312862
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.739065,4.673376,5.7062205
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.678012,2.236067,3.4570395
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.864883,2.559439,2.712161
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.753593,2.809953,3.781773
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.891136,3.841305,4.3662205
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.42947,5.294273,5.8618715
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.696462,2.559439,3.6279505
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.785094,2.245138,2.515116
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.993549,2.802215,4.397882
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.621897,2.236067,2.428982
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.380586,2.236067,2.3083265
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.983727,4.133921,5.058824
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.678012,2.573072,3.625542
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.723486,5.744891,6.2341885
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.232127,2.898961,4.065544
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.686262,2.559439,3.6228505
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.467317,2.559439,3.513378
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.686314,3.44588,4.566097
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.618541,2.559439,2.58899
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.380586,2.347099,2.3638425
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.706043,2.466982,2.5865125
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.380586,2.559439,2.4700125
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.797025,4.498553,4.647789
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.678012,5.61574,5.146876
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.076892,2.559439,3.8181655
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",2.675256,2.527663,2.6014595
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.380586,2.236067,2.3083265
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",2.702603,2.559439,2.631021
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.394987,2.236067,2.315527
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.683482,5.385609,5.0345455
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.380587,2.263548,2.3220675
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.649408,2.984396,3.316902
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.380586,2.236067,2.3083265
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.380586,2.245138,2.312862
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.75117,7.167904,6.959537
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.654026,4.844915,5.2494705
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.506576,5.71412,6.110348
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.04062,4.191897,4.6162585
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.233419,5.193505,5.213462
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.085069,6.548796,6.3169325
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.819814,4.781586,4.8007
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.380586,2.236067,2.3083265
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.515446,5.884648,5.700047
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.411205,2.385809,2.398507
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.253274,2.236067,2.2446705
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.524894,4.808969,5.1669315
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.893234,6.88092,6.387077
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.933475,2.559439,3.746457
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.833898,3.144392,3.989145
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.613847,2.236067,2.424957
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.144821,3.931113,4.537967
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.443266,3.966853,4.7050595
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.107388,4.101042,4.604215
