"","sample","tissue","endometriosis","severity","p1557331_at","p220113_x_at","p233341_s_at","POLR1B"
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.065004,5.87385,5.412223,5.450359
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.907999,5.654787,5.754136,5.438974
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.36169,5.51433,5.053474,4.64316466666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.128102,6.124646,5.005001,4.752583
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.129131,4.602511,5.231278,4.65430666666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.993364,5.776071,5.518654,5.09602966666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.204715,6.419802,5.269728,5.29808166666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.296837,5.671151,5.300639,5.42287566666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.644452,6.111558,6.56671,5.44090666666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.984258,5.1994,6.187986,5.12388133333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.501728,5.590153,6.137257,5.743046
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.929515,5.827325,6.295482,6.01744066666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.658321,5.903168,6.683249,6.08157933333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.540987,4.850095,5.756386,5.38248933333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.02426,5.912975,5.815493,5.58424266666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.778666,5.903168,6.685193,6.12234233333333
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.946768,5.858224,6.574761,6.12658433333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.030123,5.233311,6.36054,5.874658
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.497969,4.955404,6.593387,5.68225333333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.257185,5.04191,6.657145,5.98541333333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.119499,4.618505,6.773307,5.83710366666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.544673,5.51589,6.626144,6.22890233333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.745698,6.800074,4.519984,5.355252
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.010394,5.794918,6.596607,6.133973
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.070856,5.246243,6.403992,5.90703033333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.602377,5.731834,5.532936,5.289049
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.720475,5.543303,5.137505,4.80042766666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.123204,5.361871,6.017295,5.50079
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.110289,5.433699,4.724396,4.756128
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.110266,6.304316,6.891771,5.76878433333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.876735,5.951079,4.98665,4.93815466666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.433689,5.688036,6.064539,5.39542133333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.110266,5.739601,5.085853,4.97857333333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.522108,5.887572,5.184421,4.86470033333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.074119,7.699881,6.930221,6.23474033333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.052644,6.076513,5.228391,4.78584933333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.098894,5.861211,6.458756,5.47295366666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.931598,6.853439,6.086495,5.29051066666667
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.110266,6.354265,5.644656,5.369729
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.383509,6.113298,5.604842,5.033883
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.02596,6.795712,5.341429,5.38770033333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.215252,8.558391,6.302932,6.025525
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.591031,7.229575,5.806751,5.54245233333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.474797,6.69067,6.116028,5.76049833333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.765066,6.464763,6.213918,5.81458233333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.983565,6.814102,6.027953,5.60854
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.110266,6.427213,5.852775,5.463418
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.110266,6.538895,5.974692,5.54128433333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.231081,6.611511,5.781941,5.541511
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.746231,5.954329,5.418005,5.372855
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.133051,7.209018,5.467221,5.26976333333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.112391,6.481563,6.394746,5.6629
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.110266,5.421618,4.943647,4.825177
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.834892,5.14993,4.863383,4.61606833333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.110266,6.50611,5.676064,5.43081333333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.134734,5.946202,5.399657,5.16019766666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.478544,8.030497,4.280979,5.59667333333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.134734,7.267553,3.291849,4.89804533333333
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.498955,7.458553,4.124379,5.69396233333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.134734,6.527552,3.488088,4.71679133333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.633812,7.704832,4.772778,6.03714066666667
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.397171,7.824049,3.488088,5.236436
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.814398,7.745298,3.61957,5.39308866666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.134734,7.49533,5.582726,5.73759666666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.69705,7.015149,5.702253,6.13815066666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.262141,6.534546,5.89637,5.89768566666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.030577,6.586099,4.856116,5.49093066666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.419062,6.809514,5.994226,6.07426733333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.424296,6.741999,4.806776,5.324357
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.805814,7.277858,5.359197,5.81428966666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.077744,6.866259,5.480068,5.80802366666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.108881,6.555063,5.148209,5.604051
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.954108,7.717017,5.743324,6.13814966666667
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.105521,6.928628,5.238338,5.42416233333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.129381,6.26569,6.326506,6.24052566666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.642839,6.94161,5.919654,6.16803433333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.3477,7.128176,6.132591,6.20282233333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.439703,6.568779,5.509882,5.83945466666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.867608,6.52323,5.238338,5.54305866666667
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.383301,7.024528,4.524043,5.310624
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.134734,6.91341,4.67868,5.24227466666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.662954,6.197898,5.191336,5.35072933333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.454083,6.752444,4.246707,5.151078
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.397228,6.868937,5.892513,6.05289266666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.469892,6.782464,6.24779,6.16671533333333
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.192408,6.770064,5.190663,5.38437833333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.69714,6.415948,5.612052,5.90838
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.203677,6.391073,4.663115,5.085955
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.373189,6.503969,6.402036,6.09306466666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.84397,6.975596,5.857209,6.22559166666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.826657,7.272661,5.866296,6.32187133333333
