"","sample","tissue","endometriosis","severity","p225118_at","p228443_s_at","KMT5A"
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.006435,7.64629,7.3263625
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.345928,7.287225,6.3165765
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.914139,6.680583,6.297361
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.828406,6.437783,6.6330945
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.338891,6.329861,6.334376
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.282015,6.859636,6.5708255
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.873025,8.055127,7.464076
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.400042,7.114942,6.757492
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.967931,6.031767,5.999849
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.502835,7.202871,6.852853
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.413973,7.613281,7.013627
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.836097,7.330522,6.5833095
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.506869,6.83439,6.6706295
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.800625,7.787209,7.293917
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.400042,6.911708,6.655875
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.372769,7.247457,6.810113
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.659975,6.905597,6.782786
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.372769,7.042942,6.7078555
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.278862,6.315637,6.2972495
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.372769,7.552654,6.9627115
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.400042,7.26135,6.830696
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.372769,7.651627,7.012198
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.895007,6.864271,6.379639
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.093926,7.828316,7.461121
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.419901,7.429799,6.92485
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.201832,7.155185,6.6785085
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.323077,6.972487,6.647782
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.013383,7.566731,7.290057
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.5133,7.884662,7.198981
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.400042,7.806138,7.10309
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.684678,7.3806,7.032639
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.638814,7.192938,6.915876
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.488362,6.477786,5.983074
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.839357,7.243511,7.041434
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.797312,7.112292,6.954802
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.793977,6.497587,6.145782
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.711082,7.555706,7.133394
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.05813,6.611897,6.8350135
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.699155,6.282575,6.490865
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.222,6.159064,6.190532
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.835144,5.931446,6.383295
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.453149,6.666467,6.559808
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.485144,6.190958,6.338051
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.9408,6.415274,6.678037
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.449088,6.441119,6.4451035
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.542727,7.026116,6.7844215
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.023315,5.996471,6.509893
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.376022,6.490332,6.433177
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.446869,5.783536,6.6152025
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.512828,7.161058,7.336943
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.736531,6.415274,7.0759025
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.536326,7.760737,7.1485315
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.372769,6.77887,6.5758195
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.103162,6.794711,6.4489365
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.400042,8.108789,7.2544155
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.591942,7.145751,6.8688465
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.400042,6.412121,6.4060815
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.513216,7.090368,6.801792
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.752046,8.049412,7.400729
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.762643,7.363861,7.063252
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.175779,6.79296,6.4843695
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.400042,6.955865,6.6779535
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.865924,6.79613,6.831027
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.362625,6.904432,6.6335285
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.400042,6.515089,6.4575655
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.400042,7.566002,6.983022
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.576699,6.792701,6.6847
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.372769,6.091494,6.2321315
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.725115,8.156108,7.4406115
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.5577,6.764985,6.6613425
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.672147,6.339965,6.506056
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.813614,6.96901,6.891312
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.531274,7.113888,6.822581
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.400042,6.976642,6.688342
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.454554,7.10549,6.780022
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.575117,7.723678,7.1493975
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.632134,6.972397,6.8022655
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.560428,7.295712,6.92807
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.776983,6.499906,6.1384445
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.440554,6.361442,6.400998
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.710014,7.010006,6.86001
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.90286,7.514455,7.2086575
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.567283,7.575336,6.5713095
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.021172,8.063798,6.542485
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.816666,7.903157,6.8599115
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.986415,8.887226,7.4368205
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.772501,7.936787,6.854644
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.768763,8.559889,7.164326
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.024091,8.17135,6.5977205
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.260432,4.775684,6.018058
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.360469,5.204369,6.282419
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.526999,6.187988,6.3574935
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.227477,5.214465,6.220971
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.377387,4.865781,5.621584
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.372769,6.415274,6.3940215
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.372769,4.781939,5.577354
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.218305,4.90059,6.0594475
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.093797,5.744725,6.419261
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.118817,4.703499,5.911158
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.376656,4.858023,5.6173395
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.51073,6.696605,6.6036675
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.947169,6.190395,6.068782
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.275684,6.393843,6.3347635
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.709547,4.514192,6.1118695
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.667653,5.530308,5.5989805
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.12164,5.755333,6.4384865
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.94029,4.721401,5.8308455
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.400042,6.1179,6.258971
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.022223,4.773751,5.897987
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.400042,6.424721,6.4123815
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.193279,4.892004,6.0426415
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.372769,4.9194,5.6460845
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.799668,6.415274,6.607471
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.400042,5.758527,6.0792845
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.693347,6.415274,6.5543105
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.372769,6.430261,6.401515
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.374298,6.197022,6.28566
