"","sample","tissue","endometriosis","severity","p216843_x_at","p214526_x_at","p217485_x_at","p214756_x_at","PMS2P1"
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.964528,7.829722,7.637729,7.768988,7.80024175
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.402991,7.187002,7.26006,7.160049,7.2525255
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.108155,7.875871,7.799143,7.913295,7.924116
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.109861,7.825843,7.827856,7.662149,7.85642725
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.803085,7.640064,7.670866,7.372769,7.621696
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.10129,7.682075,7.658253,7.746865,7.79712075
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.995316,7.835673,7.569008,7.633172,7.75829225
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.968981,7.574051,7.804034,7.739666,7.771683
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.26391,7.750349,8.374242,8.119157,8.1269145
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.907803,8.004173,7.762771,8.492766,8.04187825
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.503108,8.235551,8.293195,8.25225,8.321026
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.077682,7.875438,7.903662,7.834735,7.92287925
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.28061,7.840769,7.907058,7.78267,7.95277675
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.451305,8.247703,7.919456,8.179657,8.19953025
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.789555,8.697436,8.582883,8.523678,8.648388
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.704828,8.80647,8.70383,8.767732,8.745715
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.645944,8.69135,9.040481,8.871365,8.812285
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.979234,9.032514,9.008039,9.081654,9.02536025
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.839587,8.893455,9.01862,9.11791,8.967393
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.927428,8.64593,8.647008,8.742211,8.74064425
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.176962,8.938674,9.173988,8.911362,9.0502465
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.185571,9.175875,9.10245,9.000563,9.11611475
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.955766,8.769116,8.876534,8.794195,8.84890275
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.404496,8.37509,8.565509,8.570713,8.478952
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.613516,8.509927,8.548158,8.497726,8.54233175
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.251167,8.254073,8.552786,8.323812,8.3454595
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.544245,8.45266,8.323085,8.380014,8.425001
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.118719,9.055968,9.150138,8.921624,9.06161225
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.653491,8.45266,8.505629,8.519462,8.5328105
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.667866,8.53098,8.341947,8.455741,8.4991335
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.726857,8.648662,8.970638,8.829228,8.79384625
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.087107,8.829301,8.795092,8.766123,8.86940575
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.525007,8.124463,8.228738,8.081157,8.23984125
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.413867,8.260121,8.233806,8.104817,8.25315275
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.817215,8.603947,8.863696,8.745663,8.75763025
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.78884,8.824626,8.89947,8.754322,8.8168145
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.629032,8.306746,8.400616,8.410319,8.43667825
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.645944,8.45266,8.654456,8.888791,8.66046275
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.240791,8.104722,8.443935,8.478704,8.317038
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.713384,8.45266,8.358844,8.623528,8.537104
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.456111,8.501214,8.489764,8.424558,8.46791175
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.645944,8.45266,8.883829,8.546947,8.632345
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.143112,9.130156,8.971584,8.919966,9.0412045
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.281349,9.073498,9.186117,8.95883,9.1249485
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.37588,8.45266,8.360807,8.257278,8.36165625
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.057922,8.685329,8.949613,8.553597,8.81161525
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.645944,8.45266,8.605179,8.46857,8.54308825
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.645944,8.463643,8.691378,8.740486,8.63536275
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.789338,8.607366,8.904485,8.714439,8.753907
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.052261,8.45266,9.251953,8.794657,8.63788275
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.277846,8.349345,8.372315,8.482086,8.370398
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.498291,8.45266,8.462895,8.484092,8.4744845
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.893182,7.26162,7.696479,7.810394,7.66541875
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.054748,8.58571,8.624622,8.608705,8.71844625
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.804699,9.599483,9.162344,9.19043,9.439239
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.185283,7.904047,7.95114,7.824482,7.966238
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.564684,8.235746,8.174847,8.201919,8.294299
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.092729,7.935015,7.739069,7.464942,7.80793875
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.955816,7.770275,7.858211,7.593675,7.79449425
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.385285,8.325929,8.284662,8.2084,8.301069
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.223435,8.102581,8.172694,8.097494,8.149051
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.848425,7.327758,7.266093,7.163641,7.40147925
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.614769,8.344317,7.719326,8.224827,8.22580975
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.905808,8.45266,8.37472,8.278883,8.50301775
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.013994,8.538776,8.356725,8.173264,8.52068975
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.645944,8.531183,8.494262,8.642027,8.578354
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.440846,8.000853,8.189785,7.977674,8.1522895
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.876862,8.607943,8.529969,8.431162,8.611484
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.953616,7.874724,7.965842,7.704508,7.8746725
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.218201,8.059998,8.054794,7.97385,8.07671075
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.75037,8.58563,8.645253,8.761274,8.68563175
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.749052,8.45266,8.535999,8.55348,8.57279775
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.676845,8.478263,8.63228,8.568328,8.588929
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.410982,7.210796,7.18888,7.532663,7.33583025
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.645944,8.318332,8.205739,7.800504,8.24262975
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.521253,8.325151,8.415968,8.250252,8.378156
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.839008,8.43487,8.311125,8.346739,8.4829355
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.940296,8.45266,8.416749,8.256131,8.516459
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.109646,8.485179,8.339637,8.626878,8.640335
