"","sample","tissue","endometriosis","severity","p224781_s_at","p225751_at","p224780_at","RBM17"
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.948836,6.246173,6.734253,7.309754
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.993774,6.74671,7.586168,7.77555066666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.554175,5.695247,6.971629,7.407017
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.863722,6.265541,8.052985,8.06074933333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.653899,6.240759,8.303168,8.39927533333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.978471,5.752141,7.527918,7.75284333333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.928116,5.85235,7.004515,7.26166033333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.486445,5.9402,6.999113,7.47525266666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.077139,5.9402,7.505486,7.84094166666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.7643,5.418736,7.863403,7.68214633333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.052266,7.411108,7.001041,7.82147166666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.304734,5.9402,8.086277,8.11040366666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.992943,5.10017,7.439089,7.510734
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.521862,5.975957,7.497299,7.66503933333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.675601,5.872229,7.537986,7.695272
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.117556,5.243431,8.248959,7.869982
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.194155,6.047848,7.077334,7.77311233333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.905077,5.788121,7.421043,7.704747
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.756182,6.13684,8.176673,8.356565
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.695161,6.003058,8.469038,8.38908566666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.049634,6.464297,9.157632,8.890521
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.261427,6.564251,8.275422,8.36703333333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.796675,6.842973,8.393689,8.677779
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",11.264648,5.419842,9.345415,8.676635
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.289765,5.42024,9.66099,8.79033166666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",11.268192,6.535175,9.527019,9.11012866666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.7334,5.393248,8.619003,8.24855033333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.505798,5.994411,9.136058,8.87875566666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.107586,6.105209,8.735041,8.64927866666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.402988,5.454288,8.868728,8.57533466666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.412109,5.364444,8.807692,8.52808166666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.725288,5.418736,7.947915,8.03064633333333
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.553309,5.447459,9.474238,8.825002
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.280416,5.844743,8.286745,8.47063466666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.413519,7.046401,8.958886,9.139602
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.10737,7.269587,9.123541,9.16683266666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.334691,7.61164,9.294907,9.413746
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.452462,5.428656,8.738534,8.539884
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.262422,6.708836,8.689415,8.886891
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.7932,5.614288,8.384229,8.26390566666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.200384,5.398614,8.547251,8.382083
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.117249,7.007508,7.879834,8.668197
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.972853,5.675618,8.822205,8.49022533333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.703858,7.563688,9.016557,9.42803433333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.653729,5.752141,9.113667,8.83984566666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.677753,5.418736,7.812902,8.30313033333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.621926,7.38321,8.95649,9.320542
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.004357,6.851452,7.933106,8.596305
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.43407,7.125822,9.00494,9.18827733333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.620137,7.143168,9.093197,9.28550066666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.386545,7.840606,9.467972,9.565041
