"","sample","tissue","endometriosis","severity","p219639_x_at","p232683_s_at","p234710_s_at","PARP6"
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.253313,6.184873,3.982977,5.80705433333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.598034,6.610322,3.841915,6.016757
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.889085,7.186668,4.206794,6.42751566666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.119694,7.278317,4.271042,6.556351
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.424715,6.786776,4.272671,6.16138733333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.143801,6.681434,3.995239,6.27349133333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.056647,7.500433,4.272671,6.609917
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.170708,6.609821,4.272671,6.35106666666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.830975,6.973974,4.442542,6.41583033333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.181487,7.832733,4.606968,6.87372933333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.503595,8.191512,5.126109,7.27373866666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.504979,8.263322,6.120236,7.62951233333333
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.724539,8.857883,5.477258,7.68656
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.683001,8.295454,4.562059,7.18017133333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.875328,8.818192,5.189451,7.627657
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.009689,8.295022,4.87944,7.394717
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.971724,8.776659,5.363225,7.70386933333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.927302,9.46998,4.945546,8.114276
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.643274,9.601551,5.235076,8.159967
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.079392,8.726609,5.083263,7.62975466666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.248387,9.06266,5.743051,8.01803266666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.330589,9.149434,5.846034,8.10868566666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.721011,8.339036,4.530538,7.19686166666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.698272,9.848762,6.39212,8.64638466666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.368646,9.260657,6.022314,8.21720566666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.930869,8.551871,5.281815,7.588185
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.712903,9.619421,6.371826,8.56805
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.164443,9.004981,5.375339,7.84825433333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.178555,7.467417,4.272671,6.63954766666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.927826,8.646523,4.530538,7.36829566666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.864989,8.268811,4.531916,7.22190533333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.224361,9.162931,5.747156,8.044816
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.696094,9.305068,6.314762,8.43864133333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.056458,8.831633,5.094255,7.660782
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.261018,9.149442,5.994328,8.13492933333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.178555,7.951123,4.530538,6.88673866666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.078198,8.907332,5.548581,7.84470366666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.800395,8.587715,4.681303,7.356471
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.173419,9.04196,5.910993,8.042124
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.784997,9.432851,5.658286,8.29204466666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.781506,8.413471,4.959518,7.38483166666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.939211,8.771892,5.564603,7.75856866666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.607741,8.182831,4.506626,7.099066
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.551815,7.877014,4.272671,6.9005
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.770514,8.390994,4.530538,7.230682
