"","sample","tissue","endometriosis","severity","p204752_x_at","p215773_x_at","PARP2"
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.137161,7.088717,7.112939
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.965589,7.047895,7.006742
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.371755,5.376543,5.374149
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.761394,6.7285,6.744947
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.659867,6.422023,6.540945
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.766667,5.860082,5.8133745
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.239467,6.369255,6.304361
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.562201,6.275,6.4186005
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.971275,7.047895,7.009585
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.087481,7.047895,7.067688
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.535178,5.472648,5.503913
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.888152,6.247474,6.067813
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.540434,5.456171,5.4983025
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.43916,6.799316,6.619238
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.669448,5.782324,5.725886
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.135601,6.511864,6.3237325
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.742059,6.707615,6.724837
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.349108,7.172971,7.2610395
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.394056,7.70318,7.548618
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.80258,6.63693,6.719755
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.252246,7.172971,7.2126085
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.274516,7.211988,7.243252
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.245077,7.172971,7.209024
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.722267,6.723664,6.7229655
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.298648,7.172971,7.2358095
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.129044,7.04786,7.088452
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.259643,7.172971,7.216307
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.644655,7.750916,7.6977855
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.266018,7.172971,7.2194945
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.70238,7.657229,7.6798045
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.823969,8.721163,8.772566
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.218946,8.01686,8.117903
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.776511,8.500364,8.6384375
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.129544,8.045804,8.087674
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.439621,7.348621,7.394121
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.759283,8.624574,8.6919285
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.578072,8.579624,8.578848
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.592634,8.435652,8.514143
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.368943,7.503245,7.436094
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.997704,8.127575,8.0626395
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.552299,7.407545,7.479922
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.669998,8.526844,8.598421
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.597802,7.609912,7.603857
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.784345,8.851003,8.817674
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.703657,8.71911,8.7113835
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.914945,6.92395,6.9194475
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.232725,7.24808,7.2404025
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.248404,8.113083,8.1807435
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.800577,7.043867,6.922222
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.596521,6.736844,6.6666825
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.346196,6.395779,6.3709875
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.173519,8.111384,8.1424515
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.642144,7.669558,7.655851
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.042553,6.91699,6.9797715
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.403972,5.919298,5.661635
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.640503,6.838741,6.739622
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.42682,6.644145,6.5354825
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.621858,6.116924,6.369391
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.22471,7.170838,7.197774
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.924066,6.464868,6.694467
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.957857,5.988789,5.973323
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.212919,6.015991,6.114455
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.407275,6.904829,7.156052
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.445174,7.386903,7.4160385
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.746827,7.83474,7.7907835
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.821437,6.673379,6.747408
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.520306,6.362848,6.441577
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.436224,6.393996,6.41511
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.552147,6.577367,6.564757
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.938321,7.632055,7.785188
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.135306,5.056462,5.095884
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.734424,7.480448,7.607436
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.93383,6.851392,6.892611
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.93805,6.587729,6.7628895
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.929654,6.549502,6.739578
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.287151,7.325151,7.306151
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.087481,7.047895,7.067688
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.94148,6.780266,6.860873
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.458073,7.047895,6.752984
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.232725,7.441078,7.3369015
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.221592,8.211141,8.2163665
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.401004,7.642418,8.021711
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.670419,8.28946,8.4799395
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.329266,7.330232,7.329749
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.272844,7.419103,7.3459735
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.830701,7.912053,7.871377
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.528681,7.181142,7.3549115
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.810416,7.609219,7.7098175
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.656353,7.371955,7.514154
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.448879,7.374625,7.411752
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.228686,7.182582,7.205634
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.893543,7.047895,6.970719
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.671432,7.651587,7.6615095
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.232725,7.214716,7.2237205
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.127862,8.024806,8.076334
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.739678,7.723239,7.7314585
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.142675,7.864117,8.003396
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.058957,8.14946,8.1042085
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.625839,7.692554,7.6591965
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.122054,7.164111,7.1430825
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.147937,6.928295,7.038116
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.02847,6.987233,7.0078515
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.195527,7.077729,7.136628
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.177488,8.10891,8.143199
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.036822,7.891656,7.964239
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.630629,6.981713,6.806171
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.008924,8.200296,8.10461
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.087481,7.172971,7.130226
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.342856,8.293188,8.318022
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.084734,8.035178,8.059956
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.083067,7.899029,7.991048
