"","sample","tissue","endometriosis","severity","p242748_at","p201247_at","p201248_s_at","SREBF2"
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.663295,7.508409,5.787276,6.65299333333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.843253,7.457725,5.747316,6.016098
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.927888,8.169132,6.068749,6.721923
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.292747,7.678917,6.145467,6.372377
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.817317,8.190436,6.527179,6.84497733333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.168214,8.152903,6.03005,6.78372233333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.201215,8.994607,6.589256,7.26169266666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.061256,9.123836,7.091827,7.758973
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.775407,9.529843,7.630198,7.97848266666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.405302,7.719073,5.799997,6.308124
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.584571,8.496579,6.245913,6.77568766666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.512343,8.633221,6.630567,7.25871033333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.465218,8.15933,5.796916,6.140488
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.799531,8.248472,5.796916,6.28163966666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.953055,8.438898,6.348941,6.91363133333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.597883,8.051312,5.728362,6.12585233333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.143921,7.557474,5.691653,5.79768266666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.274428,9.144125,6.308217,6.90892333333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.923677,8.895115,6.800223,6.873005
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.24691,7.659175,5.279394,6.06182633333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.148901,7.890908,5.694218,6.24467566666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.584001,6.796111,5.691653,5.69058833333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.933671,8.683048,6.191154,6.60262433333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.790513,8.89859,6.332133,7.00707866666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.00159,7.948655,5.827536,6.59259366666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.639495,7.010593,5.3049,5.31832933333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.967589,7.68731,5.231626,5.62884166666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.207966,7.264713,5.447873,5.640184
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.682507,6.808757,4.874792,5.12201866666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.287405,8.141847,5.869169,6.09947366666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.840482,7.030321,5.368187,5.41299666666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.229223,7.087725,5.691653,5.66953366666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.887949,8.424963,6.397106,6.23667266666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.132631,7.869841,5.796916,5.93312933333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.664723,6.942884,4.906059,5.171222
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.290544,7.370535,5.511929,5.724336
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.843371,6.565926,4.110275,4.83985733333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.035338,8.929075,5.91388,6.959431
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.89533,7.212582,5.128092,5.41200133333333
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.419596,7.003734,4.647859,5.02372966666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.210465,6.89421,5.168446,5.757707
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.092887,8.499755,6.283566,6.62540266666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.630812,7.780874,5.601405,6.00436366666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.089088,8.210575,5.571772,6.29047833333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.77164,9.253503,6.960721,7.32862133333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.257809,8.188251,6.006094,6.48405133333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.303502,8.287555,6.477009,6.356022
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.425395,8.621003,6.296958,6.78111866666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.918765,9.48647,6.684754,7.36332966666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.235602,8.189562,5.48081,6.63532466666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.945304,8.36268,6.369852,6.892612
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.310579,8.298664,5.691653,6.433632
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.044202,8.702383,6.878162,7.208249
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.535878,7.8814,5.796916,6.40473133333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.17687,7.216628,5.588915,5.99413766666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.646926,8.530418,6.054736,7.07736
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.32178,9.689993,7.781946,7.93123966666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.833027,9.081056,7.576252,8.163445
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.480677,8.403703,6.510766,6.798382
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.260511,7.711,6.282775,6.41809533333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.13695,7.775609,5.622771,6.17844333333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.587645,8.943843,6.929893,7.15379366666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.667909,9.263826,6.163481,7.03173866666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.321151,8.276921,5.691653,6.42990833333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.956527,7.75667,5.621958,6.11171833333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.355761,7.586477,5.659195,6.533811
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.019702,7.908528,6.046547,6.32492566666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.58967,7.809782,5.493294,6.297582
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.990409,8.975065,5.979536,6.64833666666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.57036,9.008625,7.40539,7.328125
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.76513,9.080623,7.48538,7.11037766666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.759136,8.105385,5.625321,6.496614
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.84931,9.148861,7.576489,7.85822
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.548994,8.164512,6.014277,6.57592766666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.737228,7.606178,5.796916,6.38010733333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.553314,7.565181,6.109346,6.40928033333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.571343,8.80968,6.839533,7.406852
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.653015,8.548372,6.908322,7.03656966666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.359897,8.064541,5.700097,6.04151166666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.172799,7.891907,5.445407,5.83670433333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.992271,7.688936,5.17337,5.95152566666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.742495,9.290317,6.536228,6.85634666666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.903881,6.966563,4.215072,5.02850533333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.098617,7.820036,5.68697,6.20187433333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.716779,7.1499,4.727554,5.531411
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.819403,8.126514,5.368222,6.104713
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.99758,7.708039,5.492429,6.066016
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.276051,7.66802,5.691653,5.87857466666667
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.73861,7.195722,5.469071,5.80113433333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.854702,7.947129,5.306056,6.03596233333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.140253,7.341308,5.691653,6.057738
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.384954,6.739119,4.661807,5.26196
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.359897,9.31389,6.543665,6.73915066666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.028005,6.455417,4.030923,5.17144833333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.174466,8.793461,6.305013,6.75764666666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.970717,7.608314,5.781908,6.120313
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.629257,6.742208,5.209794,5.52708633333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.230239,8.584235,5.7874,6.533958
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.013783,6.608812,5.314296,5.64563033333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.929082,7.678104,5.691653,6.099613
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.250945,7.351298,6.061489,6.221244
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.517683,6.685598,5.147437,5.45023933333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.145353,6.608587,5.150576,5.63483866666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.744887,6.919781,4.609201,5.424623
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.780644,7.219328,5.102991,6.034321
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.729106,7.407991,5.622033,6.25304333333333
