"","sample","tissue","endometriosis","severity","p203952_at","p217550_at","p231927_at","ATF6"
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.214636,7.205964,6.527889,7.316163
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.140068,7.198448,7.521951,7.62015566666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.337044,6.219763,7.539108,7.365305
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.393148,5.693316,5.618944,6.235136
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.006468,5.864315,5.837694,6.56949233333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.654502,4.740569,5.959954,6.11834166666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.135448,5.200591,5.198614,5.84488433333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.036233,5.787396,4.525873,5.78316733333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.174649,5.177328,4.240453,5.53081
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.187609,5.177328,5.665784,6.01024033333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.393148,4.032006,4.740049,5.388401
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.393148,5.699208,4.899946,5.997434
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.564091,7.017397,4.898838,6.16010866666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.113232,5.177328,2.765318,5.018626
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.562711,5.834202,5.88887,6.42859433333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.393148,5.787396,4.563529,5.914691
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.393148,5.785438,4.833186,6.003924
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.393148,5.229273,4.898838,5.84041966666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.940376,6.858625,5.441529,6.41351
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.452872,6.377174,4.898838,6.24296133333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.027211,5.771096,2.565148,5.12115166666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.966408,5.701452,5.439786,6.035882
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.858199,5.472221,5.245118,6.191846
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.393148,5.90951,5.532045,6.27823433333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.940376,5.787396,4.714687,5.814153
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.488381,5.787396,4.640508,5.972095
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.211295,5.701452,5.615443,6.17606333333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.940376,5.266328,4.901405,5.702703
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.037181,5.476401,4.898838,5.80414
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.784691,6.065093,4.951777,6.267187
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.393148,4.639413,5.001223,5.677928
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.049331,5.360411,4.898838,5.76952666666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.223074,5.701452,5.220276,6.04826733333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.407014,5.668912,5.470415,6.18211366666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.393148,6.271142,6.990482,6.884924
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.393148,5.701452,6.338641,6.477747
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.949521,6.064056,5.945649,6.319742
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.393148,5.747505,6.422743,6.521132
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.393148,6.472036,6.541102,6.80209533333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.469041,5.787396,5.781695,6.346044
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.484937,6.627315,5.891746,6.66799933333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.060117,5.701452,6.79303,6.51819966666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.608804,4.533206,6.584262,6.24209066666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.393148,7.182007,6.496082,7.02374566666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.562059,6.077044,6.548127,6.72907666666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.743244,6.408935,7.109417,7.08719866666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.557368,6.763342,6.542482,6.95439733333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.9687,5.125415,7.027204,6.70710633333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.393148,4.403388,6.789122,6.19521933333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.838568,5.229134,6.817698,6.62846666666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.908209,5.096726,6.9972,6.66737833333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.393148,6.652482,6.577118,6.87424933333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.828645,7.915134,7.64224,7.79533966666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.393148,7.193165,6.839297,7.14187
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.696395,7.557312,7.052577,7.435428
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.393148,4.875874,7.544618,6.60454666666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.948651,7.078254,7.107874,7.37825966666667
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.82492,5.701452,6.758195,6.76152233333333
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.714988,5.458342,6.231998,6.46844266666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.480204,7.303922,6.612296,7.465474
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.604326,5.701452,6.154793,6.486857
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.169322,6.422302,6.970849,7.187491
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.634095,5.15381,6.955877,6.58126066666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.001969,5.177328,6.325548,6.501615
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.647238,6.452472,6.826109,6.975273
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.572795,6.976276,6.750997,7.10002266666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.393148,8.103393,6.822643,7.439728
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.03591,7.472961,6.802075,7.436982
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.485662,7.457519,7.021351,7.32151066666667
