"","sample","tissue","endometriosis","severity","p204333_s_at","p204332_s_at","p216064_s_at","AGA"
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.626364,8.195522,5.160823,6.660903
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.192022,8.098448,5.088738,6.459736
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.702091,8.609536,6.107154,7.13959366666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.539424,8.062096,4.96829,6.52327
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.356282,9.560995,7.210028,8.042435
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.700202,9.038415,6.348304,7.69564033333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.028259,8.195206,4.828555,6.68400666666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.000176,8.607868,6.082029,7.23002433333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.278169,8.903811,6.024446,7.73547533333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.585046,8.624309,5.775741,7.32836533333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.169558,8.918569,6.088449,7.72552533333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.112181,9.278996,7.237791,8.209656
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.427513,8.333003,5.117187,6.95923433333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.280451,9.000922,6.427205,7.90285933333333
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.588419,8.946223,6.213738,7.58279333333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.985471,8.912392,6.897987,7.93195
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.338426,9.294926,6.675268,8.10287333333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.259011,8.846933,6.68863,7.93152466666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.745869,9.123628,7.123214,7.99757033333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.155455,9.195411,7.230539,8.19380166666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.670845,9.002825,5.101224,7.258298
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.979375,8.703062,6.608362,7.76359966666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.227669,8.757585,6.222004,7.73575266666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.531482,7.929493,4.249506,5.90349366666667
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.762297,8.800456,6.185682,7.24947833333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.816965,8.557794,5.715282,7.363347
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.767855,7.792404,4.767687,6.10931533333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.098938,6.661998,3.638478,5.133138
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.452072,7.034092,3.934807,5.14032366666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.15679,7.843721,4.974764,6.658425
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.376489,7.513079,4.390398,5.75998866666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.682061,7.902122,5.122005,6.56872933333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.215561,6.409762,2.826396,4.48390633333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.403345,6.865734,3.422825,5.23063466666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.948,8.198287,5.235657,6.79398133333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.925062,7.622884,3.752579,5.76684166666667
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.587795,8.046518,5.112065,6.582126
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.467123,7.90986,4.041177,5.47272
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.388368,7.281607,3.86744,5.17913833333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.504597,5.874827,2.236067,3.538497
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.376489,7.323375,3.059926,5.25326333333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.622554,7.90443,4.407292,6.31142533333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.55234,8.410434,5.676339,7.21303766666667
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.533695,8.49114,4.986452,6.670429
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.171666,6.280258,3.071428,4.84111733333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.414826,7.848967,3.676064,5.97995233333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.568091,8.014162,4.707425,6.42989266666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.872481,8.146571,4.77541,6.598154
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.335386,6.922012,3.008217,5.08853833333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.889994,8.045665,4.978702,6.63812033333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.902336,7.981618,4.547762,6.47723866666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.47981,7.669794,3.825944,5.658516
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.638297,7.68896,4.043432,5.79022966666667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.423133,8.326789,5.262801,6.67090766666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.059289,7.868463,5.814667,6.91413966666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.555613,8.208354,5.171873,6.64528
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.822374,6.891789,4.198812,5.304325
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.462976,7.547492,4.964183,5.99155033333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.252246,7.064591,4.429985,5.91560733333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.877092,7.820282,5.686828,6.794734
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.628051,7.763738,4.954467,6.448752
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.748504,7.654104,4.77541,6.726006
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.221578,7.709741,4.664957,6.532092
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.176633,8.07855,5.404891,6.88669133333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.68823,8.503466,5.324034,7.17191
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.309509,8.634701,5.754142,7.56611733333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.64987,9.271396,6.319498,7.74692133333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.878164,8.231571,5.204063,7.10459933333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.952269,7.89379,4.94446,6.59683966666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.264337,8.508495,6.571642,7.448158
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.715361,7.725302,4.305841,6.582168
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.024432,8.320164,4.937784,6.76079333333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.345629,9.243367,7.485727,8.358241
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.511375,8.615323,5.140534,7.08907733333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.230023,8.934083,6.336165,7.83342366666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.357005,7.887522,4.984382,6.74296966666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.424892,8.497266,5.276965,7.06637433333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.773672,8.51152,5.87129,7.385494
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.010673,8.427785,4.955981,7.13147966666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.718213,8.397792,5.010628,6.70887766666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.624524,8.364662,5.803115,7.26410033333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.789037,8.751027,6.204167,7.58141033333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.290045,8.056368,5.705918,7.350777
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.57394,7.232161,3.638478,5.48152633333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.59982,8.778355,6.046117,7.474764
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.932119,8.486866,5.837299,7.085428
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.203934,8.637276,5.292319,7.04450966666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.790799,8.977989,5.947289,7.57202566666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.012509,8.694694,6.315467,7.67422333333333
