"","sample","tissue","endometriosis","severity","p225542_at","p225529_at","ACAP3"
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.730108,9.368448,9.049278
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.649507,9.140709,8.895108
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.292717,5.626302,5.4595095
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.584585,7.453107,7.018846
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.202924,8.475719,7.8393215
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.416777,7.093221,6.754999
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.748347,7.441705,7.095026
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.592939,8.420039,8.006489
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.686551,7.416872,7.0517115
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.351132,9.090395,8.7207635
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.336054,6.944856,6.640455
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.295639,8.354204,7.8249215
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.674794,8.303122,7.988958
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.452318,7.473215,6.9627665
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.697038,8.479788,8.088413
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.195529,7.839175,7.517352
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.596255,8.205989,7.901122
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.264845,8.301757,7.783301
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.263399,8.250074,7.7567365
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.697889,8.844255,8.271072
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.584585,7.636909,7.110747
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.878794,6.083248,5.981021
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.782981,7.246053,7.014517
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.349596,5.900818,5.625207
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.607205,7.660225,7.133715
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.615722,7.130758,6.87324
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.773038,6.436724,6.104881
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.594421,7.39775,6.9960855
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.074495,7.495677,7.285086
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.108693,6.887802,6.9982475
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.402097,6.922631,6.662364
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.931749,6.289897,6.110823
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.878794,6.304471,6.0916325
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.561887,8.493057,8.027472
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.514958,8.01539,7.765174
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.605648,5.433955,5.0198015
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.663556,4.869849,4.7667025
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.878794,6.554062,6.216428
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.863772,5.437297,5.1505345
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.074636,5.660226,5.367431
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.535995,6.40399,5.9699925
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.601304,6.010966,5.806135
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.836108,5.312668,5.074388
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.629658,5.588635,5.6091465
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.038856,4.048764,4.04381
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.386154,5.012767,4.6994605
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.14581,5.075951,5.1108805
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.323631,6.399802,6.3617165
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.704196,4.855788,4.779992
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.899039,5.542848,5.2209435
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.029073,7.345489,7.187281
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.550726,6.555755,6.5532405
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.714881,7.688433,7.201657
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.005357,8.119883,7.56262
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.989247,8.856762,8.4230045
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.907105,8.681302,8.2942035
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.753595,8.231144,7.4923695
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.26215,8.478735,7.8704425
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.921355,7.766144,7.3437495
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.541301,8.251186,7.8962435
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.435478,8.934421,8.6849495
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.623622,7.625425,7.1245235
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.391135,8.410676,7.9009055
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.861939,8.171756,8.0168475
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.849775,7.650157,7.249966
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.752183,7.715732,7.2339575
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.800676,8.514502,8.157589
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.539095,8.07585,7.8074725
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.680074,8.301464,7.990769
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.58117,7.361641,6.9714055
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.145538,7.843395,7.4944665
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.08425,8.853892,8.469071
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.269814,8.027764,7.648789
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.31452,8.021031,7.6677755
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.55078,8.03824,7.79451
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.879016,8.694817,8.2869165
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.845558,7.388908,7.117233
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.781805,8.417244,8.0995245
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.413897,8.016609,7.715253
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.7933,8.386677,8.0899885
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.74472,7.462797,7.1037585
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.311723,6.508337,6.41003
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.336054,6.835804,6.585929
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.531841,6.810352,6.6710965
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.584585,7.229595,6.90709
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.703489,5.998474,5.8509815
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.655695,6.78464,6.7201675
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.116338,8.014946,7.565642
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.266788,8.208964,7.737876
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.293357,7.717071,7.505214
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.517436,5.43293,5.475183
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.464733,6.436869,6.450801
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.136466,6.609775,6.3731205
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.320834,5.734236,5.527535
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.819059,6.168176,5.9936175
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.495317,6.880426,6.6878715
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.426768,6.541809,6.4842885
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.584585,6.8331,6.7088425
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.563291,6.382505,6.472898
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.511849,3.533508,4.0226785
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.147036,5.522589,5.3348125
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.253732,5.226919,5.2403255
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.22228,6.556068,6.389174
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.309886,5.842855,5.5763705
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.905353,6.158986,6.0321695
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.46803,6.233526,6.350778
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.365249,4.769894,4.5675715
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.206268,6.074794,6.140531
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.615723,5.607144,5.6114335
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.407097,6.336555,6.371826
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.731974,6.149868,6.440921
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.305615,5.600326,5.4529705
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.210845,6.012542,6.1116935
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.421338,5.636281,5.5288095
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.529554,5.126047,5.3278005
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.581467,5.481886,5.5316765
