"","sample","tissue","endometriosis","severity","p201156_s_at","p201140_s_at","RAB5C"
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.538328,11.266672,10.9025
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.761883,10.573375,10.167629
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.376807,11.877719,11.127263
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.888611,11.481503,10.685057
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.529133,11.163946,10.8465395
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.843776,11.970931,11.4073535
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.875241,11.592885,11.234063
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.779799,10.025902,9.4028505
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.34285,12.080505,11.7116775
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.235728,11.612925,10.9243265
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.727183,10.717964,10.2225735
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.115428,11.39067,10.753049
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.632973,12.058608,11.3457905
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.910433,10.816413,9.863423
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.568815,12.299379,11.934097
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.584847,10.92206,10.2534535
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.385104,10.767002,10.076053
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.114981,11.865708,11.4903445
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.719418,10.99056,10.354989
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.261131,11.507605,10.884368
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.694014,11.689239,11.1916265
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.441214,11.352315,10.8967645
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.38658,11.492006,10.939293
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.566917,12.009355,11.288136
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.948628,11.512987,11.2308075
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.806418,11.642421,11.2244195
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.150618,10.754171,10.4523945
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.643457,11.298531,10.470994
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.505217,9.925565,9.215391
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.45897,11.633107,11.0460385
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.281193,11.467793,10.874493
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.427141,10.621041,10.524091
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.087478,11.067399,10.5774385
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.096151,11.453778,11.2749645
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.306328,11.313378,10.809853
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.049843,11.160461,10.605152
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.923135,9.60704,9.2650875
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.598739,10.417631,10.008185
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.306503,11.039545,10.673024
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.374813,10.981416,10.6781145
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.138535,9.411489,8.775012
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.874849,10.091436,9.4831425
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.093309,10.160113,9.626711
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.516966,10.206958,9.861962
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.97193,9.967277,9.4696035
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.186109,10.141829,9.663969
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.315963,10.188082,9.7520225
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.200301,10.161098,9.6806995
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.096197,10.204592,9.6503945
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.411528,9.476676,8.944102
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.028128,10.75058,10.389354
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.263663,10.325168,9.7944155
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.907214,10.65001,9.778612
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.827718,9.793605,9.3106615
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.48603,10.220699,9.8533645
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.273364,10.667643,10.4705035
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.724119,10.914005,10.319062
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.962665,10.871119,10.416892
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.029183,11.633308,11.3312455
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.308662,11.940449,11.1245555
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.954915,11.733887,11.344401
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.668867,11.396395,11.032631
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.880233,11.479234,11.1797335
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.267231,11.329324,10.7982775
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.794707,11.35632,10.5755135
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.077219,12.109594,11.5934065
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.826938,10.827859,10.3273985
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.818336,11.009717,10.4140265
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.180009,11.53384,10.8569245
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.130163,11.087905,10.609034
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.225927,11.59127,10.9085985
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.591652,10.89215,10.241901
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.658281,11.340765,9.999523
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.054385,11.320508,10.6874465
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.097609,11.149875,10.623742
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.653679,10.845812,10.2497455
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.588932,11.946012,11.267472
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.99795,11.375178,10.686564
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.897392,11.343368,10.62038
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.781495,11.192394,10.4869445
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.178246,10.972536,10.575391
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.464379,10.773498,10.1189385
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.581396,12.031791,11.3065935
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.280456,11.801713,11.0410845
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.007699,11.06435,10.5360245
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.660598,10.909173,10.2848855
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.589632,8.668768,8.1292
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.907418,9.65811,8.782764
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.093618,8.824947,8.4592825
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.462508,8.668768,8.565638
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.355849,10.094927,9.225388
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.693405,9.313554,8.5034795
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.72261,9.264667,7.9936385
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.90368,8.915089,7.9093845
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.238782,9.903351,9.0710665
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.494055,9.938374,9.2162145
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.037552,9.172082,8.604817
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.288391,9.819796,9.0540935
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.349253,9.670046,9.0096495
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.273938,9.603772,8.938855
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.303141,9.733594,9.0183675
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.72886,9.716931,9.2228955
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.475351,9.167174,8.3212625
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.027042,10.376115,9.7015785
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.971791,9.386205,8.678998
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.586155,10.086264,9.3362095
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.462164,10.114071,9.2881175
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.219054,9.844183,9.0316185
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.165412,10.633447,9.8994295
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.393811,9.440539,8.917175
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.862389,9.410807,8.636598
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.509631,10.434135,9.971883
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.013448,9.15943,8.586439
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.289247,10.087789,9.688518
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.081878,9.566094,8.823986
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.819139,10.206516,9.5128275
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.793108,10.06134,9.427224
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.411848,10.392835,9.9023415
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.925676,10.130561,9.5281185
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.850687,10.238217,9.544452
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.280689,10.491366,9.8860275
