"","sample","tissue","endometriosis","severity","p209299_x_at","p217407_x_at","p214986_x_at","PPIL2"
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.939034,6.585299,6.926242,6.81685833333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.450962,7.124852,7.161197,7.24567033333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.010146,7.161747,7.310048,7.160647
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.351372,7.177775,7.565461,7.36486933333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.749405,7.426507,6.578331,6.918081
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.183823,7.349184,7.381866,7.30495766666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.823107,6.994089,7.236805,7.01800033333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.370161,7.231683,7.088853,7.23023233333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.270703,6.938773,7.204337,7.13793766666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.572991,7.548792,7.643214,7.58833233333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.804106,5.469799,5.67354,5.64914833333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.680501,6.998947,7.044656,6.90803466666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.631274,6.337538,6.69731,6.555374
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.537103,6.376424,6.508269,6.473932
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.377718,7.12862,7.572403,7.35958033333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.123997,6.73244,6.858256,6.90489766666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.163689,7.098506,6.975944,7.07937966666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.650678,6.441025,6.544552,6.54541833333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.202269,5.945163,6.210231,6.119221
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.428021,6.216697,6.564229,6.40298233333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.468263,7.175891,7.619963,7.42137233333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.220519,7.209528,7.040108,7.15671833333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.537103,6.101694,6.553655,6.397484
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.24394,5.830719,6.119286,6.06464833333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.265191,6.069018,6.263298,6.199169
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.244888,5.658805,5.801135,5.90160933333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.510148,6.414345,6.605908,6.51013366666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.29939,6.316745,6.146473,6.25420266666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.281913,6.282544,6.2287,6.26438566666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.202997,5.806545,6.252126,6.08722266666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.462196,6.36181,6.554191,6.459399
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.537103,5.826608,6.480301,6.28133733333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.181717,5.822464,6.065014,6.023065
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.189115,5.746592,6.110227,6.01531133333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.98269,6.301059,6.781482,6.68841033333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.238303,5.951602,6.451605,6.21383666666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.214738,5.748652,6.301334,6.08824133333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.800221,6.884534,7.159576,6.94811033333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.057491,6.774919,6.953853,6.92875433333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.743502,6.49188,6.564229,6.59987033333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.03016,6.599658,7.087659,6.90582566666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.815458,7.528495,8.027836,7.79059633333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.414686,7.448391,7.376892,7.413323
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.189055,6.876722,7.10392,7.05656566666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.212828,7.207982,7.431113,7.28397433333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.804276,7.746068,7.69147,7.74727133333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.211345,6.580442,7.498152,7.09664633333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.765648,7.574974,7.544926,7.628516
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.110943,6.650837,6.714449,6.82540966666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.439261,7.303487,7.353695,7.365481
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.072806,6.734079,7.109457,6.972114
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.336868,7.106084,7.001516,7.148156
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.080706,7.093705,7.103438,7.09261633333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.719436,7.652317,7.417278,7.59634366666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.453703,7.446658,7.662136,7.52083233333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.860552,6.848786,7.126038,6.94512533333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.915387,6.78804,6.993018,6.898815
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.375533,7.204253,7.484852,7.35487933333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.75231,7.682268,7.975551,7.80337633333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.380873,7.367577,7.348826,7.36575866666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.974902,6.786656,7.10816,6.95657266666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.375445,7.529595,7.226207,7.37708233333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.328638,7.445659,7.511894,7.42873033333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.300474,6.814696,7.368729,7.16129966666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.415291,7.357759,7.617983,7.46367766666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.022404,7.046923,6.896121,6.98848266666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.341552,7.207255,7.294654,7.28115366666667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.604497,7.142246,7.416286,7.38767633333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.265341,5.874424,6.410702,6.183489
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.398973,5.469799,4.88746,5.25207733333333
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.398973,5.555729,5.769296,5.574666
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.95111,6.717139,6.787489,6.81857933333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.398973,5.66848,5.584228,5.55056033333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.443503,6.603846,6.447449,6.498266
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.07725,6.305833,6.58547,6.322851
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.58114,6.584849,6.828593,6.66486066666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.208402,5.95427,6.08948,6.08405066666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.812748,5.469799,5.752742,5.67842966666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.653672,6.480715,6.700166,6.61151766666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.86264,5.955892,6.35248,6.057004
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.239499,5.926181,6.168768,6.11148266666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.027768,5.750913,5.701302,5.826661
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.450686,6.263822,6.603069,6.43919233333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.01518,5.576392,5.973414,5.85499533333333
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.325214,6.08847,6.076922,6.16353533333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.070632,5.847143,5.898213,5.93866266666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.54463,5.222731,5.79724,5.52153366666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.842452,5.029753,5.595447,5.48921733333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.716633,5.469799,5.791445,5.65929233333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.266951,5.947525,6.494982,6.236486
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.880896,5.595135,5.68091,5.71898033333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.864457,5.892684,5.918481,5.891874
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.856972,5.848456,6.006237,5.90388833333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.881757,5.406101,5.374231,5.55402966666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.843925,5.66354,6.238426,5.915297
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.188518,5.874422,6.112421,6.05845366666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.354669,5.684875,6.164746,6.06809666666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.698181,5.371698,5.707073,5.59231733333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.548202,5.422172,5.604133,5.52483566666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.846795,5.468639,5.924284,5.74657266666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.874764,5.536013,5.366437,5.59240466666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.398973,5.589249,5.77537,5.587864
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.0783,5.651356,6.117955,5.94920366666667
