"","sample","tissue","endometriosis","severity","p1557507_at","p228664_at","TRIM52-AS1"
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.83668,6.943425,5.8900525
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.900427,6.436681,6.168554
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.197003,7.478856,7.8379295
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.703324,7.439398,7.071361
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.759146,6.08482,5.921983
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.964651,4.672819,4.818735
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.66806,5.98629,5.327175
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.638557,7.64132,7.1399385
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.911753,6.115171,5.513462
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.373172,5.894928,5.63405
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.812793,6.701487,6.25714
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.391149,6.707451,6.5493
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.56088,6.385608,5.973244
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.531211,5.475443,5.003327
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.312792,6.948046,6.630419
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.167494,5.967064,6.067279
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.744915,6.01223,5.3785725
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.162602,3.197437,3.6800195
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.836641,3.05891,2.9477755
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.34181,2.600871,2.9713405
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.573354,3.197437,2.8853955
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.703183,3.197437,2.95031
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.105683,3.280694,3.6931885
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.467147,3.510381,3.488764
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.918272,4.660973,4.7896225
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.13807,3.731691,3.9348805
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.403057,4.961381,4.682219
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.809296,3.197437,3.5033665
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.702581,4.287698,3.9951395
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.118902,4.190086,4.154494
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.340669,3.897591,3.61913
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.617151,3.458957,3.538054
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.99347,3.312958,3.153214
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.347648,3.642178,3.994913
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.891501,3.808778,3.3501395
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.644138,4.204075,3.9241065
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.118902,3.231262,3.675082
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.531211,4.92736,4.7292855
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.118902,3.935156,4.027029
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.349528,4.133456,4.241492
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.081422,3.291695,3.6865585
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.794384,3.537389,3.6658865
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.49757,4.746688,3.622129
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.363354,3.457293,3.4103235
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.061376,4.87211,4.466743
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.754967,4.618974,4.1869705
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.497158,3.487477,2.9923175
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.26416,3.95778,4.11097
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.596634,4.073646,3.83514
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.531211,4.737662,4.6344365
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.264081,3.555433,3.909757
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.177321,4.68535,4.4313355
