"","sample","tissue","endometriosis","severity","p217266_at","p221475_s_at","RPL15"
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.916336,14.133223,12.0247795
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.430559,13.957988,11.6942735
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.559841,13.717102,11.6384715
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.665428,14.653027,12.6592275
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.938468,14.153226,12.045847
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.341435,14.4205,11.8809675
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.638971,14.534818,12.0868945
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.442837,14.208925,11.825881
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.761832,13.801732,11.281782
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.156472,13.971701,11.5640865
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.202088,14.024486,11.613287
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.5855,13.905976,11.745738
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.025651,13.948953,11.487302
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.879828,13.82496,11.352394
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.527917,14.03317,11.7805435
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.776898,13.974885,11.3758915
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.628365,14.33221,11.9802875
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.559841,14.18846,11.8741505
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.233196,14.220466,12.226831
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.930411,14.242863,12.086637
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.751004,14.203762,11.977383
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.54604,14.140176,11.843108
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.890681,14.042857,11.966769
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.897188,14.268069,12.0826285
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.614154,14.172445,11.8932995
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.889986,14.206531,12.0482585
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.628605,13.841777,11.735191
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.354487,14.425864,12.3901755
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.75058,14.044053,11.8973165
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.72648,14.216116,11.971298
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.845284,13.883341,11.3643125
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.02891,14.251034,12.139972
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.404811,14.334105,12.369458
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.559841,13.87369,11.7167655
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.485997,13.949397,11.217697
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.247961,13.92313,11.5855455
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.678951,13.803539,11.741245
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.947528,14.247411,12.0974695
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.432499,14.05661,11.7445545
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.463141,13.818249,11.640695
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.655417,14.190754,11.9230855
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.363634,13.609794,10.986714
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.440467,14.784287,12.612377
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.910474,13.584774,11.247624
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.810306,13.692174,11.25124
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.366363,13.551857,10.95911
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.879858,14.03315,11.456504
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.849622,14.193456,12.021539
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.498922,14.029733,11.7643275
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.61042,14.606426,12.108423
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.234963,14.342639,11.788801
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.430283,14.182484,11.8063835
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.030009,13.928554,11.4792815
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.138279,14.068894,11.6035865
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.699399,14.27017,11.9847845
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.013951,13.842214,11.4280825
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.069352,13.941883,11.5056175
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.776167,14.377517,12.076842
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.169184,14.216924,11.693054
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.428966,14.264569,11.8467675
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.491038,14.109586,11.800312
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.207244,14.478175,12.3427095
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.568725,14.092474,11.8305995
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.332228,14.242356,11.787292
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.600925,13.651998,11.6264615
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.94912,13.172833,11.0609765
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.675386,13.653543,11.6644645
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.454807,13.788763,12.121785
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.135675,13.886017,12.010846
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.841001,13.859723,11.850362
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.559841,13.813773,11.686807
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.841373,13.448042,11.1447075
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.026075,13.545794,11.2859345
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.218058,14.09284,11.655449
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.29481,13.599102,11.446956
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.554563,13.557951,11.556257
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.02951,13.754449,11.3919795
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.306307,13.553652,11.4299795
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.251633,13.554093,11.402863
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.296694,13.498247,11.3974705
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.446117,13.508292,11.4772045
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.047772,13.196931,11.1223515
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.559841,14.140176,11.8500085
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.657008,14.059692,11.85835
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.774545,14.138922,11.9567335
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.650698,13.879022,11.76486
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.186373,13.756253,11.471313
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.559841,13.621452,11.5906465
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.439717,13.616066,11.5278915
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.52648,13.844638,11.685559
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.061077,13.359392,11.2102345
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.559841,13.92412,11.7419805
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.393606,13.685335,11.5394705
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.89607,13.090901,10.9934855
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.559841,14.140435,11.850138
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.859433,13.497974,11.1787035
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.503511,13.930009,11.71676
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.436898,13.954111,11.6955045
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.671579,13.942241,11.80691
