"","sample","tissue","endometriosis","severity","p201042_at","p211573_x_at","TGM2"
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.890838,6.16101,9.525924
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.855035,2.881044,6.8680395
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.559034,2.871664,6.215349
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.374384,2.871664,6.623024
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.382527,2.859218,6.6208725
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.481237,2.871664,6.1764505
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.309168,2.871849,6.5905085
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.168529,2.569707,6.369118
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.914368,4.161204,7.537786
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.871453,2.872413,6.371933
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.272971,2.32777,5.8003705
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.790333,5.856839,9.323586
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.701204,2.992138,6.846671
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.357711,2.871664,6.6146875
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.513159,3.439009,6.976084
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.695327,4.146616,7.9209715
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.739298,2.878091,6.8086945
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.683284,5.985028,9.334156
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.191781,4.52937,7.8605755
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.43905,3.481452,7.460251
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.759182,5.993392,9.376287
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.88151,3.337377,6.6094435
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.19489,2.871664,6.033277
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.173012,6.686814,9.429913
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.699134,2.871664,6.785399
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.731037,2.871664,6.3013505
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.424082,2.871664,6.147873
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.333601,4.24277,7.7881855
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.562691,2.90868,6.7356855
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.894587,2.871664,5.3831255
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.979049,3.051015,6.515032
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.108741,2.244087,6.176414
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.190797,3.681728,7.4362625
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.870207,3.650242,7.7602245
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.453165,5.949551,9.201358
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.725502,2.349077,6.0372895
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.75156,3.330891,7.0412255
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.02369,5.581902,9.302796
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.960983,4.207967,8.084475
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.403114,2.871664,6.637389
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.353414,2.236067,5.2947405
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.486903,3.118375,7.302639
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.685417,3.03582,6.8606185
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.787626,2.399889,5.5937575
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.043793,2.32777,5.6857815
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.2613,2.32777,5.794535
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.442358,3.150466,6.796412
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.485354,2.349307,5.4173305
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.705556,2.236067,5.4708115
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.294505,2.32777,5.3111375
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.278332,2.283874,4.781103
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.810514,2.729571,6.7700425
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.151976,2.4576,5.804788
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.368416,3.878673,7.6235445
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.329002,2.871664,6.600333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.737413,2.32777,5.5325915
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.197566,2.532099,5.8648325
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.731806,2.388469,6.0601375
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.089788,5.472152,8.78097
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.905529,2.866022,6.8857755
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.207781,2.871664,6.5397225
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.32832,5.918233,9.1232765
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.749265,3.795619,7.772442
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.539415,5.555751,9.047583
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.595561,4.022912,7.3092365
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.06435,3.941564,7.002957
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.930475,2.679324,6.3048995
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.494771,2.871849,6.18331
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.475474,6.504389,9.4899315
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.731576,3.35596,7.543768
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.546761,2.871664,6.7092125
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.325815,4.369973,7.847894
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.199292,5.622015,9.4106535
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.152207,3.905241,8.028724
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.163201,2.871849,6.517525
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.316766,2.449357,6.3830615
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.213365,2.871664,6.5425145
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.106993,2.871664,6.4893285
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.502361,5.805882,9.6541215
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.155799,4.308415,7.732107
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.240823,2.871849,7.056336
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.194929,4.384912,8.2899205
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.082286,2.871849,6.4770675
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.674339,5.739977,8.207158
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.309185,2.871664,6.5904245
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.455914,4.442923,7.9494185
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.146802,3.056168,6.601485
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.776072,2.715051,6.2455615
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.30325,2.32777,5.81551
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.329048,4.799168,8.064108
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.563903,3.789488,6.6766955
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.357693,5.886449,8.622071
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.944475,7.181088,9.5627815
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.607817,2.872413,5.740115
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.249133,2.872413,5.560773
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.827524,2.871664,5.849594
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",10.530048,2.466338,6.498193
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.687473,2.894205,7.290839
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.754725,2.871849,6.313287
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.653895,2.32777,5.4908325
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.410246,2.872413,6.6413295
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.95414,2.871664,5.412902
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.715186,2.774979,6.2450825
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.732679,2.871664,6.8021715
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.069613,2.872413,7.471013
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.630928,2.32777,5.979349
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.727269,6.298829,9.013049
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.31481,2.32777,4.82129
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.463142,2.871664,5.667403
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.211264,2.871849,5.5415565
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.108399,2.32777,5.7180845
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.728603,2.890624,6.3096135
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.2923,2.32777,4.810035
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.819836,2.32777,5.573803
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.150463,6.242095,9.196279
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.933068,2.32777,5.130419
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.516475,2.356131,5.436303
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.914801,2.871664,6.3932325
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.431289,6.585964,9.0086265
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.771715,2.871849,6.321782
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.140695,5.300108,8.7204015
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.147075,2.872413,6.009744
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.61812,2.872413,5.7452665
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.571817,2.871664,5.7217405
