"","sample","tissue","endometriosis","severity","p201305_x_at","p201306_s_at","ANP32B"
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.50451,12.50909,12.0068
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",12.085795,12.926468,12.5061315
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.175266,12.070944,11.623105
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.342581,12.247662,11.7951215
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.651448,12.36696,12.009204
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.477463,12.049202,11.7633325
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.614617,12.604445,12.109531
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.261599,12.441687,11.851643
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.719351,12.500391,12.109871
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.227872,11.925931,11.5769015
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.493426,13.113337,12.8033815
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.101988,12.814073,12.4580305
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.315655,13.024089,12.669872
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.099145,12.670986,12.3850655
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.726198,12.220757,11.9734775
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.004677,12.119882,12.0622795
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.639837,12.666773,12.153305
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.631479,12.242798,11.9371385
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.71776,12.117868,11.917814
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.304017,12.982006,12.6430115
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.116005,13.075314,12.5956595
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.424201,12.306094,11.8651475
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.17532,12.902209,12.5387645
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.67787,12.34473,12.0113
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.21869,13.085811,12.6522505
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.176724,12.995675,12.5861995
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.113219,12.832046,12.4726325
