"","sample","tissue","endometriosis","severity","p210852_s_at","p214829_at","AASS"
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.847417,4.726336,4.7868765
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.202009,5.070787,5.136398
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.847417,5.286543,5.06698
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.270198,4.007315,4.1387565
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.465585,5.742992,4.6042885
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.212901,6.328313,6.270607
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.033603,4.699112,4.8663575
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.236046,4.542988,4.889517
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.792474,4.297656,4.045065
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.221849,4.679458,4.4506535
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.997513,5.320401,5.158957
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.606752,5.434086,5.520419
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.937543,4.687757,4.31265
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.729538,4.297656,4.013597
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.256211,4.330267,4.793239
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.240198,4.058522,4.14936
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.256211,3.851947,4.554079
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.877852,6.314443,6.5961475
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.256211,4.011136,4.6336735
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.54915,5.459015,6.0040825
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.783659,6.170431,6.977045
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.421298,4.339416,4.880357
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.886584,5.037306,5.461945
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.188139,4.320649,5.254394
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.781127,6.465962,6.6235445
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.259661,5.434086,5.3468735
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.84205,5.394311,6.1181805
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.025601,5.238937,5.632269
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.452346,4.355851,4.9040985
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.012538,5.434086,5.723312
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.587309,5.434086,6.0106975
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.211356,6.479376,6.845366
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.811363,6.131493,6.471428
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.681263,7.517263,7.599263
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.817024,6.70435,7.260687
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.027997,5.64959,6.3387935
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.929096,5.434086,6.181591
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.46642,7.902056,8.184238
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.402732,5.672338,6.037535
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.783699,7.665575,7.724637
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.232911,5.398218,5.8155645
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.982343,7.603241,7.292792
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.040389,5.434086,5.7372375
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.048982,5.824896,5.936939
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.912858,5.487573,6.2002155
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.771168,5.167726,5.969447
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.643076,4.726336,5.184706
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.956962,4.911535,5.4342485
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.943387,4.297656,4.6205215
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.319176,4.924881,5.1220285
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.522824,4.666048,5.094436
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.515318,2.937551,3.7264345
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.466972,5.036027,5.7514995
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.847417,5.434086,5.1407515
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.842944,4.175845,4.0093945
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.895853,6.921027,6.90844
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.256211,5.226648,5.2414295
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.502909,4.083063,4.292986
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.535637,5.579235,5.557436
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.025656,5.710418,5.868037
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.440781,7.955128,6.6979545
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.57785,4.297656,4.437753
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.942069,4.726336,4.8342025
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.25916,4.726336,4.992748
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.086982,5.434086,5.760534
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.706942,4.14638,3.926661
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.971482,5.911446,5.941464
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.050268,5.273994,5.662131
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.162537,2.236067,3.199302
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.626417,4.726336,4.6763765
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.91708,4.726336,4.821708
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.697314,3.846736,4.272025
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.127984,4.046047,4.5870155
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.369075,5.217511,5.293293
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.727311,4.440655,5.083983
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.606752,7.03521,6.320981
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.639231,6.44462,6.0419255
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.32128,7.033951,6.6776155
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.825027,7.216631,6.520829
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.89303,5.016238,4.954634
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.805103,4.317562,4.5613325
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.953896,4.726336,4.840116
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.556041,8.749154,8.1525975
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.9556,7.450345,7.2029725
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.912129,7.017687,6.964908
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.008361,7.194117,7.101239
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.440065,7.411169,6.925617
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.916796,7.810633,7.8637145
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.56318,6.22436,5.89377
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.014549,8.642843,8.328696
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.152016,7.321802,7.236909
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.16356,6.414904,6.289232
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.098598,6.49841,6.298504
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.442878,6.127403,6.2851405
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.201305,7.111983,6.656644
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.778581,6.396425,6.087503
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.754161,7.597124,7.1756425
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.013166,7.361046,7.187106
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.940945,7.673513,7.307229
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.249234,7.628777,7.9390055
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.814503,8.852967,8.833735
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.981194,7.779467,7.3803305
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.606752,5.752814,5.679783
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.275347,5.68691,5.9811285
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.43991,5.092288,5.766099
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.846417,5.873104,5.8597605
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.052953,8.223837,8.138395
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.590572,5.7892,6.189886
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.256211,5.774642,5.5154265
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.256211,5.891798,5.5740045
