"","sample","tissue","endometriosis","severity","p39705_at","p209352_s_at","SIN3B"
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.371314,9.613344,8.992329
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.324796,9.25649,8.790643
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.540085,9.169494,8.3547895
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.646907,9.442794,8.5448505
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.990714,9.329964,8.660339
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.827715,8.626031,8.226873
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.518563,7.700909,7.109736
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.69955,8.494903,7.5972265
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.067055,8.874061,7.970558
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.527018,8.090826,7.308922
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.718413,8.138614,7.4285135
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.705144,7.503417,7.1042805
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.859294,8.82994,7.844617
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.720439,9.392177,9.056308
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.545127,8.803146,8.1741365
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.306317,8.143546,7.7249315
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.981531,8.266573,7.624052
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.813211,8.838332,8.3257715
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.67886,7.21902,6.94894
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.979034,8.223639,7.6013365
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.980457,8.797708,8.3890825
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.981628,7.956759,7.4691935
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.603337,9.561441,9.082389
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.363077,8.195168,7.7791225
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.172483,6.673506,6.4229945
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.765562,7.510867,7.1382145
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.620075,7.499527,7.059801
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.095929,8.963371,8.52965
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.649317,7.492906,7.0711115
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.9488,8.041641,7.4952205
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.540796,8.486308,8.013552
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.657993,7.139925,6.898959
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.195954,8.215142,7.705548
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.739373,7.827304,7.2833385
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.817773,8.653445,8.235609
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.543657,8.689122,8.1163895
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.919777,7.798643,7.35921
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.13557,8.106472,7.621021
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.84483,7.391349,7.1180895
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.774221,7.520515,7.147368
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.900899,7.651222,7.2760605
