"","sample","tissue","endometriosis","severity","p244756_at","p238642_at","ANKRD13D"
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.253526,8.561881,7.4077035
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.839105,7.375328,6.6072165
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.250857,7.857499,7.054178
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.39026,7.934074,6.662167
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.450689,8.062759,7.256724
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.544609,8.530093,7.537351
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.266281,8.482543,7.374412
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.513032,8.293881,7.4034565
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.918413,8.15518,7.0367965
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.039315,7.591178,6.8152465
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.827541,8.266816,7.5471785
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.327288,9.091562,8.209425
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.760846,8.369953,7.5653995
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.204928,6.409646,5.307287
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.613173,7.868483,7.240828
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.190238,6.796873,5.9935555
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.082191,5.488142,5.2851665
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.573475,7.505075,6.539275
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.428977,7.906633,6.667805
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.944187,5.673885,5.309036
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.760426,7.59847,6.679448
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.943639,7.727366,6.3355025
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.07635,6.767896,5.922123
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.47038,8.649669,7.5600245
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.190238,6.691984,5.941111
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.921796,5.595586,4.758691
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.734005,5.339882,4.5369435
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.98192,6.209292,5.595606
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.78729,5.434716,4.611003
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.871882,5.987997,4.9299395
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.769709,6.390665,5.580187
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.655224,6.185478,5.420351
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.50115,5.303685,4.4024175
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.064066,5.811595,4.9378305
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.2206,5.026358,4.123479
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.448612,4.330063,3.8893375
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.577174,4.957231,4.2672025
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.830566,6.703455,5.7670105
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.908647,4.766478,4.3375625
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.908647,5.117082,4.5128645
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.786855,7.690182,6.2385185
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.712352,6.79417,5.753261
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.982775,6.545805,5.76429
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.805266,7.489435,6.6473505
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.717448,8.347658,7.532553
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.396825,7.827359,7.112092
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.266259,7.18614,6.2261995
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.902628,8.042444,6.972536
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.774851,7.663206,6.7190285
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.799436,9.296293,8.0478645
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.442613,8.369997,7.406305
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.190238,7.570678,6.380458
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.315823,8.642157,7.47899
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.875822,8.008786,6.942304
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.316331,7.496561,6.406446
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.763942,8.469628,7.116785
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.699982,9.293481,7.9967315
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.996402,8.544983,7.2706925
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.616766,7.692756,6.654761
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.716164,7.516584,6.616374
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.72899,6.23889,5.98394
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.417994,8.571113,7.9945535
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.264527,8.398191,7.331359
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.490403,7.192328,6.3413655
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.975645,5.605707,5.790676
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.95891,9.01212,7.985515
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.637487,7.206367,6.421927
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.858456,7.356741,6.6075985
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.441252,7.426732,6.433992
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.924914,7.377679,6.6512965
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.190238,6.926966,6.058602
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.098355,6.703455,5.400905
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.459017,5.141303,4.80016
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.894914,5.620395,5.2576545
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.93974,5.988099,5.4639195
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.529744,4.753417,4.6415805
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.172375,4.936835,5.054605
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.510811,5.779879,5.145345
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.010065,6.840954,5.9255095
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.515036,7.662279,6.5886575
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.750132,7.331934,6.041033
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.708151,7.344061,6.026106
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.191911,6.323576,5.2577435
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.450088,6.543484,5.496786
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.21886,7.258256,6.238558
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.190238,7.360328,6.275283
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.956402,7.301124,6.128763
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.387353,7.779694,6.5835235
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.433684,7.073464,5.753574
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.907374,5.229054,4.568214
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.812193,7.503205,6.157699
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.364566,6.894673,5.6296195
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.499892,6.53054,5.515216
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.952758,7.443311,6.1980345
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.52293,7.041199,5.7820645
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.639183,6.476177,5.55768
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.908647,6.339518,5.1240825
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.511879,6.703455,5.607667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.365052,6.932292,5.648672
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.414653,6.785852,5.6002525
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.236564,7.02845,6.132507
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.944706,6.814719,5.3797125
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.77985,6.96663,5.87324
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.921268,6.687267,5.3042675
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.89,7.023036,5.956518
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.457674,7.253333,5.8555035
