"","sample","tissue","endometriosis","severity","p1555997_s_at","p203425_s_at","p203424_s_at","IGFBP5"
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.461088,6.974122,11.056653,7.16395433333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.73264,5.431459,10.776521,6.31354
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.475659,5.583584,10.435944,6.16506233333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.150928,9.907783,13.162645,9.740452
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.25581,7.293592,11.076544,7.20864866666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.700014,4.291047,8.620597,5.203886
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.280362,4.904594,10.473398,6.21945133333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.76232,5.304404,11.515462,6.86072866666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.25581,3.705871,7.654207,4.87196266666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.97627,4.123692,9.361556,5.48717266666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.280362,4.584515,9.743074,5.869317
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.318199,4.522079,9.66215,5.83414266666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.248944,4.582722,7.876896,4.902854
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.050378,5.414021,10.845734,6.77004433333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.664405,3.959232,9.478801,5.36747933333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.280362,5.529278,9.384651,6.06476366666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.25581,4.302386,8.946294,5.50149666666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.280362,5.352797,9.404839,6.012666
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.094962,5.64988,10.766683,6.837175
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.96534,5.387905,11.006393,6.786546
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.068705,8.240877,12.416629,8.908737
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.310759,6.776788,11.230099,7.105882
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.870206,8.245533,12.802999,8.63957933333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.53441,8.716456,11.995923,8.74892966666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.199503,11.041535,13.895131,10.378723
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.001723,6.670713,10.00479,6.55907533333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.280362,7.828693,11.767731,7.62559533333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.673696,8.119065,12.076611,7.95645733333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,6.131369,9.827671,6.06503566666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,6.317264,9.004146,5.85249233333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.246213,8.335565,11.65972,8.08049933333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.283412,7.178879,11.812548,7.42494633333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.280362,7.459147,11.347784,7.362431
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.25581,6.817021,10.103856,6.72556233333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.280362,7.052611,11.286921,7.20663133333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.280362,5.736229,10.256215,6.42426866666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.708133,7.238626,11.752068,7.56627566666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.296493,8.758882,11.326191,7.79385533333333
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.006624,8.832823,12.772021,8.537156
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.25581,6.153737,10.396475,6.60200733333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,5.967901,9.205751,5.80323966666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.804948,9.985037,13.234623,9.341536
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.280362,6.718361,11.443631,7.14745133333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.280362,6.923091,11.177568,7.127007
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.280362,7.512164,9.077548,6.623358
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.25581,6.020429,9.038945,6.10506133333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.280362,6.572256,11.647141,7.16658633333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.994895,6.54735,8.564672,6.035639
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.519821,8.243164,12.313204,8.02539633333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.520414,8.882671,12.488528,8.63053766666667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.250564,6.185288,10.193213,6.54302166666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.280362,5.729419,3.82775,4.279177
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.280362,6.452024,5.593791,5.10872566666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.018965,7.111234,6.805293,6.31183066666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.914969,6.400265,4.936515,5.08391633333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.25581,5.304404,5.555255,4.70515633333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.648014,8.49867,7.902341,7.349675
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.440726,7.000975,6.817973,5.75322466666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.849016,6.979508,11.234375,8.02096633333333
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.34742,7.617726,11.497657,8.15426766666667
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",3.280362,5.18828,10.132812,6.20048466666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.810891,3.776077,8.478157,5.02170833333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.270899,5.082704,9.260488,5.87136366666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.826522,7.1674,10.87889,7.62427066666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.705871,6.154793,4.03224366666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.170383,4.816522,7.831884,5.27292966666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,4.10044,5.267321,3.86794266666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.998448,7.251823,12.239526,8.16326566666667
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.343954,4.784595,9.855133,5.66122733333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.398817,5.456789,10.939457,6.59835433333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.852371,8.8746,12.56666,9.097877
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.402413,6.543649,10.483025,6.80969566666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.236067,3.699685,7.624567,4.52010633333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.236067,3.81585,7.657001,4.56963933333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.25581,5.311438,10.917572,6.49494
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.290507,5.304404,9.128423,5.907778
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.236067,3.705871,5.992954,3.97829733333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.06765,4.960362,9.602372,5.87679466666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.256846,5.2076,9.665321,6.04325566666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.745291,5.949367,10.163865,6.61950766666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.181095,6.063149,9.453147,6.565797
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.132107,5.231387,10.206981,6.19015833333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.236067,3.88448,6.560973,4.22717333333333
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.25581,5.307868,9.580843,6.04817366666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.102119,7.246938,11.293779,7.88094533333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.111874,7.111575,11.340861,7.52143666666667
