"","sample","tissue","endometriosis","severity","p222673_x_at","p225361_x_at","FAM122B"
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.655237,6.255377,6.455307
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.348448,6.902168,7.125308
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.41799,6.567742,6.992866
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.998905,8.455698,8.7273015
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.5971,7.346123,7.4716115
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.616395,7.661094,7.6387445
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.308252,6.98656,7.147406
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.185137,7.838629,8.011883
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.281384,5.246168,5.763776
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.339707,5.649847,5.994777
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.410209,9.301931,9.35607
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.540234,7.303985,7.4221095
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.349839,7.550525,7.950182
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.342967,8.243277,8.293122
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.87736,8.300204,8.588782
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.417312,5.702245,6.0597785
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.441937,9.007432,9.2246845
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.417312,6.497078,6.457195
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.017996,6.179327,6.5986615
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.596807,7.819751,8.208279
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.205872,6.86566,7.035766
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.211609,8.960734,9.0861715
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.226263,7.685607,7.955935
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.941176,6.553716,7.247446
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.122085,6.497078,6.8095815
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.19112,6.497078,6.844099
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.2793,6.87906,7.07918
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.650639,6.023538,6.3370885
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.875278,7.833511,7.8543945
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.807899,9.649412,9.7286555
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.451109,9.390678,9.4208935
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.278121,8.965899,9.12201
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.714473,8.310549,8.512511
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.223144,8.314021,8.2685825
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.622062,8.53675,8.579406
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.099237,7.918933,8.009085
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.238737,7.58836,7.9135485
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.460074,8.082218,8.271146
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.512127,8.125978,8.3190525
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.750663,8.404355,8.577509
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.293822,9.118664,9.206243
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.352995,8.606466,8.4797305
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.527148,8.264798,8.395973
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.436493,10.344147,10.39032
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.380585,9.289372,9.3349785
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.885066,10.703145,10.7941055
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.507078,9.332587,9.4198325
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.823603,9.552758,9.6881805
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.840592,9.659419,9.7500055
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.052898,9.986264,10.019581
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.912033,9.715632,9.8138325
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.971498,9.774276,9.872887
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.568629,10.352501,10.460565
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.608913,8.448106,8.5285095
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.304072,9.098255,9.2011635
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.239303,8.797676,9.0184895
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.153837,10.14419,10.1490135
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.309463,10.040896,10.1751795
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.523559,8.163273,8.343416
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.770297,8.377929,8.574113
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.745651,9.493784,9.6197175
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.109604,7.670402,7.890003
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.194775,7.89074,8.0427575
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.84447,7.408993,7.6267315
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.166676,8.833263,8.9999695
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.003596,7.993187,7.9983915
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.629225,7.643887,7.636556
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.495719,6.497078,6.9963985
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.089748,6.862239,6.9759935
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.287649,7.730689,8.009169
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.129015,6.790457,6.959736
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.903829,8.013268,7.9585485
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.371586,7.505609,7.4385975
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.261361,7.428325,7.344843
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.998188,7.112963,7.5555755
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.209747,7.552402,7.8810745
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.883243,8.621868,8.7525555
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.432784,9.161681,9.2972325
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.19153,8.057439,8.1244845
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.667072,8.396264,8.531668
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.76774,7.05296,7.41035
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.252713,7.605304,7.9290085
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.841195,8.251102,8.5461485
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.70683,7.038492,7.372661
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.795374,9.460275,9.6278245
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.047138,7.724437,7.8857875
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.129791,8.090329,8.11006
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.239723,7.955309,8.097516
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.860857,8.603994,8.7324255
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.169004,8.605704,8.887354
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.572571,8.426259,8.499415
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.077608,8.281546,8.679577
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.713631,8.319255,8.516443
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.310423,10.512593,10.411508
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.407004,9.482917,9.4449605
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.831275,9.752892,9.7920835
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",10.154462,9.925528,10.039995
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.730016,9.823397,9.7767065
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.100126,9.014954,9.05754
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.877589,9.778229,9.827909
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.910982,9.925843,9.9184125
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.842008,9.583911,9.7129595
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.637671,9.796975,9.717323
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.734746,9.605769,9.6702575
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.298696,9.391283,9.3449895
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.690152,10.644296,10.667224
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.310605,9.261043,9.285824
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.029124,9.755039,9.8920815
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.795379,9.211015,9.503197
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.855026,10.781908,10.818467
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.298884,10.31867,10.308777
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.541335,9.482397,9.511866
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.41487,9.340385,9.3776275
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.689008,9.540392,9.6147
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.112738,8.965855,9.0392965
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.304829,9.432748,9.3687885
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.666455,10.699458,10.6829565
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.725224,10.650609,10.6879165
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.874,9.236517,9.0552585
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.533388,10.308024,10.420706
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.274996,8.80135,9.038173
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.09029,9.867279,9.9787845
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.817278,10.613124,10.715201
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.763533,10.476041,10.619787
