"","sample","tissue","endometriosis","severity","p202090_s_at","p223613_at","UQCR11"
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.299881,6.409277,9.854579
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.263316,7.718246,10.990781
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.339975,7.890996,11.1154855
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.78499,7.313648,10.549319
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.634573,7.092069,10.363321
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.356842,7.34607,10.851456
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.398382,6.410667,9.9045245
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.042353,7.589106,10.8157295
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.457201,7.451047,10.954124
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.523748,7.917293,11.2205205
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.660329,7.501545,10.580937
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.219568,7.966921,11.0932445
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.722133,8.433534,11.5778335
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.131824,7.354688,10.743256
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.674644,8.134556,11.4046
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.176304,8.360464,11.268384
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.426203,7.446882,10.4365425
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.397971,7.550757,10.474364
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.586592,6.143337,9.8649645
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.069581,7.718709,10.894145
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.341239,7.222536,10.2818875
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.21682,6.734648,9.975734
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.042387,7.242959,10.642673
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.948797,7.839777,10.894287
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.163976,6.865709,10.0148425
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.212543,7.346901,10.279722
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.196657,6.865709,10.031183
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.941898,6.555682,9.24879
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.342484,7.758035,10.5502595
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.544811,7.616939,10.580875
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.153598,6.688245,9.9209215
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.116361,6.528724,9.8225425
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.887278,5.764782,9.32603
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.155923,6.090785,9.123354
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.896324,5.981816,9.43907
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.636775,5.734785,9.18578
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.838983,6.015703,9.427343
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.938426,6.52182,9.730123
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.145513,6.183896,9.6647045
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.951124,6.406759,9.6789415
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.047258,6.874086,9.960672
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.666656,6.865709,9.7661825
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.057647,6.500165,9.778906
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.00632,6.573225,9.7897725
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.264019,6.508492,9.8862555
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.677965,6.778306,9.7281355
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.949111,5.971398,9.4602545
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.086756,6.915968,10.501362
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.793205,7.525424,10.6593145
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.081115,7.992693,11.036904
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.831008,7.690997,10.7610025
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.70652,7.042646,10.374583
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.828865,8.009181,10.919023
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.34393,6.865709,10.1048195
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.43286,8.00854,11.2207
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.507879,7.557195,10.532537
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.688447,7.046434,10.3674405
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.175173,7.47839,10.8267815
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.275562,6.760407,10.0179845
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.921008,7.1896,10.555304
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.887117,7.431639,10.659378
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.041002,6.97155,10.506276
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.157372,6.865709,10.5115405
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.655757,6.874256,10.2650065
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.664943,7.225563,9.945253
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.808614,6.886248,10.347431
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.133336,8.195012,11.164174
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.0456,7.754624,10.900112
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.55682,6.689172,10.122996
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.75847,6.282898,10.020684
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.308117,6.987286,10.1477015
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.452574,6.865709,10.1591415
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.370404,7.315824,9.843114
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.32232,7.202515,10.7624175
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.444823,7.170546,10.3076845
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.298638,7.209386,9.754012
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.439842,6.395158,9.4175
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.197911,6.666027,9.431969
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.971309,6.555763,9.263536
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.440819,6.865709,9.653264
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.05998,5.494676,8.777328
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.188418,6.907691,9.5480545
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.488745,7.102532,9.7956385
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",11.745986,6.351134,9.04856
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.932005,5.612504,8.7722545
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",12.646298,5.666317,9.1563075
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.574133,5.620375,9.097254
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.031277,5.695425,8.863351
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.292432,5.175026,8.733729
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.959694,5.292381,8.6260375
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.399484,5.90134,9.150412
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.687651,6.012498,9.3500745
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.072917,5.309535,8.691226
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.677974,5.369314,8.523644
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.727988,5.930889,9.3294385
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.558719,5.440316,8.9995175
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.57835,6.072613,9.3254815
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.490786,5.448665,8.9697255
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.4556,5.533593,8.9945965
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.382473,5.747362,9.0649175
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.904189,4.718305,8.311247
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.612594,5.447129,9.0298615
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.366193,5.566128,8.9661605
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.770006,5.708286,9.239146
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.156085,5.592731,8.874408
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.196813,4.322747,7.75978
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.388546,5.55181,8.970178
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.449528,5.809316,9.129422
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.679552,5.934673,9.3071125
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.623377,5.816038,9.2197075
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.850205,6.180544,9.5153745
