"","sample","tissue","endometriosis","severity","p208765_s_at","p232004_at","HNRNPR"
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.09905,4.556829,5.8279395
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.725226,4.474458,6.099842
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.700809,4.530463,5.615636
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.44717,4.834704,5.640937
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.287837,5.602125,5.944981
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.763773,4.246836,5.0053045
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.394392,6.09623,7.245311
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.68622,5.885966,6.286093
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.034462,4.821982,4.928222
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.896323,4.564501,5.230412
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.140546,5.808216,6.474381
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.572498,4.413566,4.993032
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.101828,4.60142,5.351624
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.053113,7.873434,8.9632735
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.869202,4.476739,6.1729705
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.652601,4.176293,5.414447
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.063356,7.117854,8.090605
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.568903,5.559088,6.0639955
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.96914,4.228653,5.0988965
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.086265,6.447402,6.7668335
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.000453,5.908721,6.454587
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.399471,4.374917,5.387194
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.803086,6.732484,6.767785
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.681272,4.204472,5.442872
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.09905,5.994176,6.546613
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.197409,3.187246,4.1923275
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.499445,5.326026,5.9127355
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.666771,5.106666,5.8867185
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.969368,4.652986,5.811177
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.242102,4.506782,5.874442
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.39374,3.900392,5.147066
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.782376,5.722404,5.75239
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.580433,5.038706,6.3095695
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.217949,6.648063,6.933006
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.730034,7.693565,8.2117995
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.697074,6.376107,7.0365905
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.333231,6.217591,7.275411
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.600935,6.522905,7.56192
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.396813,6.976962,7.6868875
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.747618,7.008314,7.877966
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.168049,6.149183,7.158616
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.355987,6.400874,7.3784305
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.18269,7.173525,7.6781075
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.975987,8.0597,9.0178435
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.934242,6.662113,7.2981775
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.894841,7.001775,7.948308
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.998068,7.335309,8.6666885
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.23126,6.939592,8.585426
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.97328,7.401034,8.687157
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.062901,7.850119,8.95651
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.972508,7.18594,8.579224
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.207337,7.059932,8.6336345
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.12705,6.93983,8.53344
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.552309,7.30723,8.9297695
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.633677,7.637938,8.6358075
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.04783,6.800681,8.4242555
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.02779,6.5758,8.301795
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.053193,7.487101,8.770147
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.373377,7.042105,8.707741
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.93999,7.198847,8.5694185
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.236965,7.300881,8.768923
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.67541,4.902208,6.288809
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.19425,6.889207,8.0417285
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.719724,6.637388,7.678556
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.784488,5.768144,6.776316
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.09905,5.947056,6.523053
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.482131,5.506118,6.4941245
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.591287,6.734359,7.662823
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.084377,6.124187,7.104282
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.093414,6.598411,7.8459125
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.124939,5.559088,5.8420135
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.09905,6.426083,6.7625665
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.198757,7.308232,7.7534945
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.707701,5.585558,6.1466295
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.154921,7.20502,7.6799705
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.324898,6.183916,6.754407
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.888255,4.857899,5.873077
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.548842,5.002771,6.2758065
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.13869,5.559088,5.848889
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.589944,6.512965,7.5514545
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.910153,7.086284,7.9982185
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.09905,6.014783,6.5569165
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.852487,5.551566,6.2020265
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.591296,6.529125,7.0602105
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.636144,6.262614,6.949379
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.783755,6.814931,7.299343
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.652269,6.502681,6.577475
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.065482,6.773631,7.4195565
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.969273,6.791047,7.38016
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.085611,5.095476,6.0905435
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.655255,7.028641,7.841948
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.057987,7.394633,8.22631
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.480737,5.699478,8.0901075
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.974632,6.255516,8.615074
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.201312,5.601004,8.401158
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.696954,6.163572,8.430263
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.514943,6.083901,8.799422
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.09814,5.901947,8.5000435
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.204009,6.075956,8.6399825
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.838561,8.103314,7.9709375
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.133525,7.780294,7.9569095
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.813753,7.880941,8.847347
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.632626,7.420168,8.026397
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.224515,7.785187,8.504851
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.60518,7.703515,8.6543475
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.32166,7.069484,7.695572
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.71476,6.78317,7.248965
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.494325,5.260828,6.8775765
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.240998,6.650988,7.445993
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.790907,7.591943,8.191425
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.534559,7.265315,8.899937
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.009261,6.84665,8.4279555
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.061717,7.043139,8.552428
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.23652,7.338967,8.2877435
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.025911,7.074582,8.0502465
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.322501,6.866911,8.094706
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.754517,7.538901,8.146709
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.965325,4.468187,6.716756
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.966195,7.348412,8.1573035
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.667118,6.538259,8.1026885
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.718985,7.27302,7.9960025
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.155364,7.69436,7.924862
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.877658,6.495508,8.186583
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.067394,5.942692,7.505043
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.740341,7.13883,8.4395855
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.833661,7.050043,8.441852
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.468491,6.900267,8.184379
