"","sample","tissue","endometriosis","severity","p208309_s_at","p210017_at","MALT1"
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.138704,5.244194,4.191449
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.138704,3.978891,3.5587975
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.578469,3.546348,3.0624085
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.876726,4.259165,3.5679455
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.578469,3.53473,3.0565995
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.484064,5.866464,4.675264
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.057384,7.367718,6.712551
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.900013,3.538761,3.219387
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.541945,6.500722,5.5213335
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.090155,6.657355,5.873755
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.541945,6.879817,5.710881
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.281771,4.914456,4.5981135
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.030214,6.487825,5.7590195
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.460091,6.29848,5.3792855
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.156123,7.809682,6.9829025
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.249955,7.719645,6.9848
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.159172,5.139499,4.1493355
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.588114,6.493855,5.5409845
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.967334,7.606648,6.786991
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.441322,7.334582,6.887952
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.079612,7.601567,6.3405895
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.85562,8.493633,8.1746265
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.21469,8.137268,7.175979
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.371676,7.466425,6.4190505
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.964916,7.591843,6.7783795
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.169978,8.245208,7.707593
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.37204,8.027412,7.199726
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.614119,7.129662,6.3718905
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.004854,7.479464,6.242159
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.809135,7.804312,7.3067235
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.652496,7.762582,6.707539
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.092283,7.487194,6.7897385
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.773577,7.308231,6.540904
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.388878,6.538131,4.9635045
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.034737,6.793134,6.4139355
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.788786,6.412308,5.600547
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.114168,5.103626,4.108897
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.643585,3.543326,3.0934555
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.503752,5.021013,4.2623825
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.677751,6.421342,5.5495465
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.22735,5.179499,4.2034245
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.607707,7.416534,6.5121205
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.578469,3.142362,2.8604155
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.217205,6.493855,5.85553
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.967386,6.382416,5.174901
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.138704,4.677656,3.90818
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.756906,6.232572,5.994739
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.17767,5.800913,4.4892915
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.138704,5.207791,4.1732475
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.61469,6.388917,5.0018035
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.057476,6.493855,4.7756655
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.872428,5.598114,4.735271
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.523213,6.405572,5.4643925
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.262627,6.449921,5.356274
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.138704,4.44932,3.794012
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.163534,5.876372,4.519953
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.028904,6.19457,5.111737
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.823114,5.262456,4.542785
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.531458,6.493855,5.0126565
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.684796,6.26491,4.974853
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.636317,6.183373,5.409845
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.776113,3.617357,3.196735
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.002835,6.627006,5.3149205
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.687003,6.683985,5.685494
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.433146,6.962985,5.6980655
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.580394,7.261821,5.9211075
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.50871,6.543893,5.5263015
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.541945,6.672261,5.607103
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.541945,5.939347,5.240646
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.541945,6.227818,5.3848815
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.296843,5.88069,5.0887665
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.463868,8.283211,6.8735395
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.541945,7.639445,6.090695
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.491946,7.750042,6.620994
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.078132,9.638417,8.8582745
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.669716,7.800855,6.7352855
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.088386,9.087101,8.0877435
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.499007,8.486317,7.992662
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.996331,7.468854,6.2325925
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.830185,6.905751,5.867968
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.541945,7.414834,5.9783895
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.300488,9.054705,8.6775965
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.606542,7.781097,6.6938195
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.976659,7.431894,6.2042765
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.541945,7.388123,5.965034
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.437123,7.868328,6.6527255
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.554551,8.661821,8.108186
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.443506,8.264201,7.3538535
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.824365,7.910092,7.3672285
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.780925,7.346236,6.0635805
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.525904,8.11445,7.320177
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.834872,7.177342,6.006107
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.184987,7.044196,6.1145915
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.006935,8.283924,8.1454295
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.59,7.576608,6.583304
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.472218,7.564199,6.5182085
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.274129,7.29847,6.2862995
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.794323,6.999993,5.897158
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.40121,6.6853,5.543255
