"","sample","tissue","endometriosis","severity","p212048_s_at","p238760_at","YARS"
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.181278,6.779441,7.9803595
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.039412,6.44738,7.243396
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.866581,6.206382,7.5364815
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.517492,4.834625,7.1760585
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.765184,5.234665,6.9999245
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.097116,7.372201,8.2346585
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.742267,6.505466,8.1238665
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.540163,6.206081,7.873122
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.755154,6.735701,7.7454275
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.425935,6.520066,7.4730005
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.427795,4.740175,7.083985
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.304615,5.630909,7.467762
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.933946,6.859128,7.896537
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.782573,5.6129,7.6977365
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.163042,6.596333,7.8796875
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.872237,6.330708,7.6014725
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.765339,6.93293,8.3491345
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.042676,6.95311,8.497893
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.887335,5.535673,7.211504
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.526878,6.353528,7.940203
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.385016,5.94682,7.665918
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.278918,6.392545,7.8357315
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.9115,7.019362,7.965431
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.509204,6.630864,8.070034
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.927355,6.040857,7.484106
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.549117,5.462836,7.0059765
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.879532,5.639921,7.2597265
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.049485,6.642986,7.8462355
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.008443,6.349785,7.679114
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.3771,6.730195,8.0536475
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.787831,5.563076,7.6754535
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.990431,4.740175,6.865303
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.02416,6.079331,7.5517455
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.796089,5.737201,7.766645
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.159758,5.340127,7.7499425
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.602394,4.813173,7.2077835
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.202697,5.895871,7.549284
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.154424,5.470325,7.8123745
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.823162,6.164941,7.9940515
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.515013,5.968168,7.7415905
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.569577,5.507456,7.5385165
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.320545,6.443882,7.8822135
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.962311,5.453158,7.7077345
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.467638,3.902496,7.185067
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.20092,3.465375,6.8331475
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.166997,4.495684,7.3313405
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.887471,3.104153,6.495812
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.637532,3.104153,6.3708425
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.913606,4.740175,7.3268905
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.11014,4.740175,7.4251575
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.039024,3.166019,6.6025215
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.066278,3.454434,6.760356
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.300014,2.835035,6.5675245
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.037122,3.422453,6.7297875
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.290785,3.674102,6.9824435
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.362275,4.497423,7.429849
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.478371,2.723254,6.6008125
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.241505,3.119541,6.680523
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.156152,5.752796,7.954474
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.91132,4.631682,7.271501
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.883655,4.740175,7.311915
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.890184,6.130168,8.010176
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.100007,5.573125,7.336566
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.448547,5.417577,7.433062
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.71038,5.325633,7.5180065
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.620036,5.751732,7.685884
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.620557,5.970517,7.795537
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.782402,6.890554,7.836478
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.830716,5.935537,7.8831265
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.080531,5.559776,7.8201535
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.078262,5.714482,7.396372
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.812346,5.876747,7.8445465
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.168317,6.743483,8.4559
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.90469,5.66034,7.282515
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.933282,7.352921,8.1431015
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.041587,6.438724,8.2401555
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.88746,6.172147,8.0298035
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.223355,6.683309,8.453332
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.141971,6.642308,8.3921395
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.70409,6.225089,7.9645895
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.601147,5.713527,7.657337
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.750171,6.415619,8.082895
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.943546,6.9984,8.470973
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.073372,6.438395,8.2558835
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.196511,6.392098,8.2943045
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.084818,5.507088,7.795953
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.544809,5.552372,7.5485905
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.540445,5.563487,7.551966
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.682366,5.804746,7.743556
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.974899,5.687028,7.3309635
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.887914,4.696633,6.7922735
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.924952,4.740175,6.8325635
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.027205,6.099594,7.5633995
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.552523,5.873297,7.21291
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.346155,6.496732,7.9214435
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.88642,6.258596,8.072508
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.931824,5.263835,7.0978295
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.625788,5.40495,7.515369
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.690596,5.49295,7.591773
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.707825,5.011628,7.3597265
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.578604,5.422603,7.5006035
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.431962,4.937789,7.1848755
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.574559,5.576085,7.575322
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.705427,5.55944,7.6324335
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.737876,5.681237,7.7095565
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.493937,5.74607,7.6200035
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.06146,5.214277,7.6378685
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.961734,3.408461,6.6850975
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.428485,4.83775,7.1331175
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.512313,5.093882,7.3030975
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.375831,4.867555,7.121693
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.460828,5.56016,7.510494
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.097561,5.458719,7.27814
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.191515,6.03055,7.6110325
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.028239,4.030619,6.529429
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.483377,5.204947,7.344162
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.108898,5.40764,7.758269
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.783096,5.290991,7.5370435
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.325666,6.960891,8.6432785
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.859525,4.740175,7.29985
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.307539,4.740175,7.023857
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.878852,5.144416,7.511634
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.657463,5.250709,7.454086
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.75164,5.707452,7.729546
