"","sample","tissue","endometriosis","severity","p202514_at","p202516_s_at","p202515_at","p217208_s_at","DLG1"
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.796419,3.892027,9.25013,4.376748,6.078831
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.779279,3.606055,8.490866,5.434853,6.07776325
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.082937,3.56336,8.851021,2.859241,5.58913975
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.355002,3.99223,9.003748,5.304707,6.41392175
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.874311,3.606055,9.051394,3.263374,5.6987835
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.443426,5.860196,10.111341,6.014297,7.607315
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.783823,3.682619,9.112719,5.662401,6.3103905
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.360799,4.985191,9.125734,3.660069,6.28294825
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.78792,5.294089,10.079456,4.150223,7.077922
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.399962,5.4607,9.960346,3.543652,6.841165
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.498457,5.228587,9.918156,4.263659,6.97721475
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.761136,5.160529,9.597689,3.431523,6.73771925
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.443377,5.359948,10.134474,3.798202,6.93400025
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.766378,6.192462,9.947266,3.891276,7.1993455
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.612022,5.930611,10.101587,4.895181,7.38485025
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.022433,6.217389,10.116839,3.839418,7.29901975
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.319315,4.6006,9.974041,3.29616,6.547529
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.519014,5.421765,9.724272,3.660069,6.83128
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.098303,5.009685,9.024885,5.859099,6.997993
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.51931,5.31132,9.877385,3.660069,6.842021
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.911779,2.520746,9.464721,3.683873,5.64527975
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.392705,5.387948,10.072321,3.713428,6.8916005
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.726826,5.54414,9.730672,3.862624,6.9660655
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.028871,3.635518,8.275814,3.660069,5.400068
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.719645,4.334462,9.837425,3.454979,6.33662775
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.660974,4.478202,9.462633,3.815175,6.354246
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.476538,3.606055,8.136221,4.946129,5.79123575
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.205781,2.556544,8.376485,4.693955,5.20819125
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.657533,2.801496,8.064024,5.500496,5.50588725
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.541404,4.672944,9.48686,6.121207,6.95560375
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.532113,3.474533,8.665175,6.259952,6.23294325
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.004492,3.6523,9.112719,5.984157,6.438417
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.226764,2.468902,9.112719,5.254608,5.51574825
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.278541,2.516235,8.031157,5.095475,5.230352
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.890505,3.902687,8.819488,5.386599,6.24981975
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.676009,3.344635,8.503585,4.380788,5.47625425
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.846628,3.019803,9.112719,5.822764,6.2004785
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.853478,2.759973,8.270779,4.790099,5.41858225
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.571292,2.629803,8.356004,5.201511,5.4396525
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.236247,2.496881,9.023561,5.192222,5.48722775
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.478852,2.516235,8.931208,3.498613,5.106227
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.040653,3.608913,9.039246,5.711064,6.349969
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.796333,4.478339,9.628458,6.773477,7.16915175
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.834208,3.407728,8.772148,4.947822,5.9904765
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.257626,2.511723,8.550605,3.919535,5.05987225
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.223563,3.102417,8.965274,5.424036,5.9288225
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.433525,2.887188,8.954628,5.541642,5.95424575
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.402191,2.858044,9.07346,3.734101,5.516949
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.840077,2.516235,9.158459,6.819894,6.08366625
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.143645,3.534193,9.327928,5.082485,6.27206275
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.778141,2.895509,9.067151,5.332137,6.0182345
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.093105,3.533617,8.81983,3.272898,5.4298625
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.936553,2.765378,9.112719,6.276848,6.2728745
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.498316,4.010934,9.222599,5.481667,6.553379
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.871123,5.129708,9.74663,4.274649,6.7555275
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.219021,5.558059,9.816517,6.362017,7.4889035
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.741428,4.951146,9.682405,5.274868,6.91246175
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.442155,4.153498,9.804603,4.037679,6.60948375
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.092078,6.559555,10.501631,6.054917,8.05204525
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.834889,5.02814,10.052957,4.904772,6.9551895
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.461491,4.293831,10.000302,4.081848,6.459368
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.557476,3.669466,9.864656,3.839418,6.232754
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.067323,3.980592,9.857633,4.522542,6.6070225
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.720049,5.496213,10.316299,6.341398,7.71848975
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.513967,4.74004,10.147791,4.127249,6.88226175
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.508202,5.202938,9.994248,5.365974,7.2678405
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.036914,5.494294,9.681237,6.630932,7.46084425
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.343437,5.168882,9.996704,5.229794,7.18470425
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.836704,4.890503,9.59681,3.660069,6.4960215
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.003755,3.922392,9.319424,3.839418,6.27124725
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.244919,4.839523,10.153464,5.336134,7.14351
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.230334,4.924995,9.742072,5.371323,7.067181
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.59607,5.958026,10.023958,5.619999,7.54951325
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.279772,5.021102,10.035076,6.625755,7.49042625
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.217911,4.295132,9.637988,6.398737,7.137442
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.4288,5.430998,10.107531,4.23032,7.04941225
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.895282,3.935701,9.599777,5.099471,6.63255775
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.841858,5.566061,10.421392,5.553829,7.595785
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.318886,4.906555,9.798218,5.18412,7.05194475
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.621454,4.845486,9.205289,4.966427,6.659664
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.595315,5.303011,10.349748,5.491151,7.43480625
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.520693,5.500466,9.825547,6.26021,7.526729
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.694543,5.256732,10.457599,5.874756,7.5709075
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.503454,5.23077,9.736105,5.174949,7.1613195
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.475435,5.463214,9.924547,5.808612,7.417952
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.918122,4.405196,9.022343,5.07752,6.60579525
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.343031,5.437562,10.024229,5.670527,7.36883725
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.379638,5.249015,9.774628,6.372691,7.443993
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.313112,4.879329,9.991433,5.525806,7.17742
