"","sample","tissue","endometriosis","severity","p222761_at","p233255_s_at","BIVM"
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.465228,3.089364,4.277296
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.622113,5.085939,5.854026
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.980686,2.477665,4.2291755
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.079141,3.993648,5.0363945
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.262179,4.303824,4.7830015
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.07101,4.21414,5.142575
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.777485,3.971401,4.374443
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.259305,2.295303,3.777304
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.863181,6.84502,7.3541005
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.147668,4.150954,5.149311
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.882843,4.07691,4.9798765
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.302656,6.215801,6.7592285
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.283885,4.07691,5.1803975
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.262179,2.477665,3.869922
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.804214,4.158468,5.481341
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.937846,2.477665,3.2077555
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.681452,2.295303,3.9883775
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.229081,5.084435,5.656758
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.207413,4.066138,4.6367755
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.05982,5.084435,6.0721275
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.692751,2.924286,4.3085185
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.878454,3.281909,4.0801815
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.142637,4.07691,4.6097735
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.974487,2.477665,3.726076
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.844948,3.940554,4.392751
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.740411,5.084435,4.912423
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.310158,3.845948,5.078053
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.864558,4.639101,5.2518295
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.527223,4.203972,5.8655975
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.812696,5.97416,6.893428
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.687212,5.063486,5.875349
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.135842,6.277911,6.7068765
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.777401,7.571398,7.6743995
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.799579,6.431367,6.615473
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.151978,4.8668,5.509389
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.07409,6.11,6.592045
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.319847,5.48832,6.4040835
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.26421,4.723003,5.9936065
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.260628,7.969584,8.115106
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.281185,5.321151,6.301168
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.783147,5.729419,6.256283
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.884593,7.847218,8.3659055
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.912473,8.148219,8.530346
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.698233,8.249333,8.473783
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.131432,7.856232,7.993832
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.297362,7.655064,7.976213
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.848294,8.359345,8.6038195
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.800221,8.522866,8.6615435
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.828886,8.382691,8.6057885
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.585656,7.927222,8.256439
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.739742,8.04403,8.391886
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.364827,8.167118,8.2659725
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.513021,8.211514,8.3622675
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.128562,6.468445,7.2985035
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.869981,8.205548,8.5377645
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.607955,8.044267,8.326111
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.626321,5.084435,5.355378
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.857713,6.166868,6.5122905
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.636835,6.732972,7.1849035
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.958911,5.418663,5.688787
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.878906,4.093259,4.9860825
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.850864,4.72279,5.286827
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.447727,6.141135,6.794431
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.629102,4.73627,5.182686
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.919265,5.454513,5.686889
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.861728,2.403025,4.1323765
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.937846,3.034948,3.486397
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.870551,5.084435,5.977493
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.00738,3.686695,4.3470375
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.014771,5.084435,6.049603
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.355305,5.52837,5.9418375
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.314439,4.07691,4.6956745
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.262179,2.479714,3.8709465
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.886399,4.07691,4.9816545
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.000131,5.790958,6.3955445
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.292186,6.483198,6.887692
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.442043,5.408448,5.9252455
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.918713,4.102417,5.010565
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.119653,4.950412,5.5350325
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.467718,5.587,6.027359
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.005225,4.998504,6.0018645
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.971215,3.129452,4.0503335
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.202935,5.887767,6.545351
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.103594,4.531814,5.317704
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.712795,4.362168,5.5374815
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.12951,5.26122,6.195365
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.525257,6.221623,6.87344
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.113643,6.310018,6.7118305
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.166196,5.962002,6.564099
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.766475,5.550358,6.6584165
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.553135,5.335432,6.4442835
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.946577,5.822611,6.884594
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.114979,5.682146,6.8985625
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.030419,5.523829,6.777124
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.016556,7.34713,8.181843
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.287643,7.543332,8.4154875
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.023524,7.404893,8.2142085
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.709252,7.154181,7.9317165
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.54379,7.145842,7.844816
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.270814,6.884345,7.5775795
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.252465,7.001225,7.626845
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.674287,7.177904,7.9260955
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.582889,7.403493,7.993191
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.305864,8.11505,8.710457
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.389289,6.117014,6.7531515
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.662596,7.81433,8.238463
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.944897,7.169298,8.0570975
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.801568,7.2846,8.043084
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.827503,7.18797,8.0077365
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.339329,6.525052,7.4321905
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.75482,7.617959,8.1863895
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.929608,6.270953,7.1002805
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.680457,6.778548,7.2295025
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.660692,7.218399,7.9395455
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.686977,7.672287,8.179632
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.988236,7.449183,8.2187095
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.306419,5.554417,5.930418
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.599635,7.477765,8.0387
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.857222,6.969136,7.413179
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.028978,7.509422,8.2692
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.684755,7.581761,8.133258
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.580128,7.878734,8.229431
