"","sample","tissue","endometriosis","severity","p212197_x_at","p214771_x_at","p225896_at","p231255_at","MPRIP"
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.706474,9.758022,5.514487,7.293298,8.06807025
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.051602,9.004814,4.527809,7.521198,7.52635575
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.475361,9.462386,4.24598,7.240616,7.60608575
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.63963,9.748033,5.632214,7.526624,8.13662525
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.771399,9.706986,5.061157,6.486611,7.75653825
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.972589,10.287411,5.055342,6.589128,7.9761175
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.465631,11.592889,6.749862,6.254995,9.01584425
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.498277,9.352252,6.707883,5.606579,7.79124775
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.443993,10.620167,6.32183,6.254995,8.41024625
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.256702,10.543171,6.649625,6.072276,8.3804435
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.144107,10.190969,6.602986,5.178478,8.029135
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.904686,9.927835,5.310608,6.254995,7.849531
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.901363,10.030277,5.852101,6.717926,8.12541675
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.428134,10.644381,5.824992,6.099363,8.2492175
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.684586,10.791774,6.398063,6.094972,8.49234875
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.360453,9.498755,7.084249,5.611384,7.88871025
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.454943,9.550896,6.770885,5.73657,7.8783235
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.403441,11.652131,7.130895,6.254995,9.1103655
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.717687,11.109796,5.934339,6.254995,8.50420425
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.184496,10.294922,6.496289,5.343931,8.0799095
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.10966,10.101699,6.680232,5.140083,8.0079185
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.665573,10.72896,7.486646,5.265776,8.53673875
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.533202,9.635358,7.422641,4.980884,7.89302125
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.932669,9.175502,6.837141,5.439931,7.59631075
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.139976,10.457864,7.133711,4.373415,8.0262415
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.630821,10.630943,7.313332,4.342655,8.22943775
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.89021,9.958855,7.041993,5.312342,8.05085
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.289362,9.411264,6.880087,5.704793,7.8213765
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.019167,9.862602,6.157969,5.606579,7.91157925
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.229204,9.412667,7.030905,5.358537,7.75782825
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.8959,10.012318,6.768103,5.603875,8.070049
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.228243,10.070523,7.367105,5.277395,8.2358165
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.344681,10.423184,6.912048,5.458647,8.28464
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.932165,9.972987,7.001062,5.381128,8.0718355
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.563783,10.770731,5.658019,6.120843,8.278344
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.456136,9.760057,6.457795,5.714172,7.84704
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.15206,10.342137,6.443247,6.204259,8.28542575
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.337997,10.570589,4.941199,6.7739,8.15592125
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.398329,10.456319,5.955329,6.913741,8.4309295
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.405941,10.58828,5.823437,6.850892,8.4171375
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.314136,10.461586,6.244915,6.254995,8.318908
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.947529,11.106669,5.926215,6.254995,8.558852
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.794481,10.15339,5.683056,6.254995,7.9714805
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.730812,9.594356,5.586287,6.559462,7.86772925
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.812329,10.87838,5.673846,6.636412,8.50024175
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.887011,10.150914,6.803847,6.254995,8.27419175
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.033023,9.367058,5.873112,6.687879,7.740268
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.468947,10.675003,6.016326,6.254995,8.35381775
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.114368,10.301947,4.898649,6.753951,8.01722875
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.939673,10.228298,4.943116,6.486627,7.8994285
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.096315,8.730484,6.089717,5.606579,7.38077375
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.481212,9.81251,4.508764,7.599117,8.10040075
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.52951,10.73486,6.37098,5.957248,8.3981495
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.595924,10.72565,6.222046,5.948853,8.37311825
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.615915,10.73458,6.186197,6.248734,8.4463565
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.01169,10.996971,5.153891,7.033698,8.5490625
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.704268,9.895308,5.935589,6.558645,8.0234525
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.386856,10.709157,5.807749,6.187866,8.272907
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.934599,11.06977,6.387266,6.254995,8.6616575
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.464843,10.690202,5.475792,6.254995,8.221458
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.408135,10.501403,6.106527,6.254995,8.317765
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.335371,10.650447,5.382307,6.698111,8.266559
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.584028,10.642807,5.158812,6.699997,8.271411
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.628968,9.64276,5.80063,6.254995,7.83183825
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.947806,10.020082,5.573478,5.813327,7.83867325
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.718582,9.737335,6.463611,6.512813,8.10808525
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.65088,9.874419,6.059762,6.839015,8.106019
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.77639,10.048802,5.702173,6.518789,8.0115385
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.120307,10.264739,5.571032,6.642935,8.14975325
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.859221,9.873721,6.371077,6.254995,8.0897535
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.665761,10.844642,7.834224,7.132882,9.11937725
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.90893,10.929953,6.58998,6.526249,8.738778
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",10.917963,11.035303,7.990048,5.710443,8.91343925
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.690485,9.999752,7.942133,5.100586,8.183239
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.959836,10.236592,7.485417,5.395823,8.269417
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.471568,9.678298,7.012523,5.606579,7.942242
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.159831,10.453303,7.523582,5.568627,8.42633575
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.337299,9.355943,6.851753,5.606579,7.7878935
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.279275,9.648166,7.180881,4.687795,7.69902925
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.052321,10.266546,7.212384,5.526244,8.26437375
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.984622,10.132555,6.330173,5.560239,8.00189725
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.767349,10.875134,7.984963,5.180003,8.70186225
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.620413,10.876414,8.210994,5.660066,8.84197175
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.682521,9.88292,7.787963,5.154535,8.12698475
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.140959,10.273756,8.121718,5.010738,8.38679275
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.607947,9.919872,7.660143,4.690555,7.96962925
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.649467,9.866118,7.36176,4.379959,7.814326
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.527474,9.751789,7.476412,4.918683,7.9185895
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.452906,9.745451,7.240474,5.522343,7.9902935
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.68009,10.049142,6.72704,5.749978,8.0515625
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.862606,10.332,6.965798,6.148558,8.3272405
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.362558,9.691013,7.494654,5.301763,7.962497
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.352644,10.587941,6.922934,5.059744,8.23081575
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.74579,10.013753,7.244484,5.271492,8.06887975
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.833178,11.046927,7.852088,6.035127,8.94183
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.368411,10.619853,7.616105,5.614923,8.554823
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.261419,10.551271,6.786801,5.614003,8.3033735
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.979473,10.195699,7.868141,5.101475,8.286197
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.043201,10.315403,7.640707,5.462502,8.36545325
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.419857,10.616635,7.118596,5.620768,8.443964
