"","sample","tissue","endometriosis","severity","p209338_at","p207627_s_at","p227637_at","TFCP2"
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.353158,6.552475,8.715571,7.54040133333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.512713,6.147535,8.416816,7.35902133333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.850873,7.154133,8.435498,7.81350133333333
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.667182,6.514815,8.738078,7.640025
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.497725,4.929265,7.785006,6.40399866666667
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.356074,6.398402,8.32099,7.35848866666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.013049,6.351901,8.624556,7.32983533333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.938869,5.143678,8.278923,6.45382333333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.719213,3.75628,6.978326,5.48460633333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.07897,4.299376,7.403167,5.927171
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.827467,5.842649,8.266153,6.97875633333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.454192,4.861922,7.320733,5.878949
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.589858,5.540974,8.001502,6.710778
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.094676,2.772475,7.248397,5.038516
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.929262,4.220296,6.95422,5.367926
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.433218,5.519555,7.790395,6.581056
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.490544,2.832036,6.39702,4.90653333333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.947406,4.876222,8.157925,6.32718433333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.104216,4.823537,7.621679,5.84981066666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.094676,3.759468,7.379862,5.41133533333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.094676,2.893599,7.633021,5.20709866666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.175335,2.832036,7.894254,5.633875
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.267449,5.592746,8.292258,6.71748433333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.734824,5.840229,8.087089,6.88738066666667
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.296022,4.97569,7.863398,6.37837
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.094676,4.209038,7.475795,5.59316966666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.778519,3.487867,7.356746,5.541044
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.250185,4.893012,7.605608,6.24960166666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.735953,5.968312,8.24812,6.98412833333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.094676,4.171829,7.164805,5.47710333333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.618487,4.823537,8.430702,6.624242
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.706157,4.823537,7.727977,6.08589033333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.150578,3.900023,7.823757,5.95811933333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.361215,5.203957,8.226387,6.59718633333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.632997,6.345412,8.24812,7.408843
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.185097,6.679118,9.40525,7.423155
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.412705,6.848772,9.11504,7.458839
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.545019,6.37175,8.889797,7.26885533333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.335879,6.358879,8.651629,7.11546233333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.384255,6.887537,9.407248,7.89301333333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.909997,6.827845,8.678222,7.47202133333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.095706,6.460258,9.38245,7.646138
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",5.779264,4.993141,9.459664,6.744023
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.370665,5.601207,9.093534,7.021802
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.023855,6.291969,8.459243,7.25835566666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.498639,6.572829,8.995915,7.68912766666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.593353,5.803757,8.316465,6.904525
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.703638,5.735016,8.188791,6.875815
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.18274,5.726429,8.67042,6.859863
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.078292,6.359149,8.417188,7.28487633333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.059018,6.468767,8.14308,7.22362166666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.393028,6.740217,9.497389,7.876878
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.381648,4.850439,8.24812,6.49340233333333
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.433864,6.897805,8.848175,7.72661466666667
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.504097,6.638005,9.11183,7.75131066666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.161546,6.689392,8.890669,7.58053566666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.498173,6.850339,8.878508,7.74234
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.939325,6.059041,8.662781,7.22038233333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.941783,6.61798,8.963066,7.50760966666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.932212,5.666057,8.195686,6.93131833333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.236447,6.05426,8.042259,6.77765533333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.059866,6.183461,8.600577,7.28130133333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.390709,7.093223,9.060611,7.848181
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.618326,6.423843,9.012161,7.68477666666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.225753,4.475871,7.536251,5.74595833333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.520464,6.252002,8.706029,7.15949833333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.341936,6.108947,8.24812,6.89966766666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.155321,6.292161,8.977041,7.474841
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.392697,6.577001,8.614425,7.528041
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.548457,6.525528,9.452855,7.50894666666667
