"","sample","tissue","endometriosis","severity","p240304_s_at","p219580_s_at","p222904_s_at","TMC5"
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.43224,6.202791,4.037595,5.89087533333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.691891,3.564575,2.831369,3.695945
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.22685,7.127952,4.638511,6.997771
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.438863,5.211403,2.74954,5.13326866666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.98691,6.061009,5.597876,6.215265
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.917908,7.313108,3.267379,6.499465
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.308155,8.558373,6.776495,8.54767433333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.740835,5.60739,3.631421,5.659882
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.706203,3.726011,2.627564,3.68659266666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.342813,4.455452,3.423627,3.40729733333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.923931,7.708747,6.368386,8.00035466666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.310061,6.300279,3.044286,5.88487533333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.98692,3.564575,2.835101,3.46219866666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.661299,3.564575,2.873967,3.36661366666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.538973,3.726011,3.329548,4.53151066666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.73193,5.734013,3.619772,5.69523833333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.366052,4.751239,2.835101,4.65079733333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.651661,2.631806,2.631617,2.63836133333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.361827,3.726011,2.613089,3.900309
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.917177,4.235505,2.613089,3.58859033333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.821837,7.925966,6.625932,7.791245
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.983796,7.854709,6.836214,7.55823966666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.530452,3.170336,2.859725,3.18683766666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.213419,3.564575,2.919624,4.23253933333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.215495,5.672468,4.287197,5.72505333333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.801069,7.846924,6.127578,7.591857
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.307137,8.463663,6.382395,8.38439833333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.845272,4.439751,2.836449,3.70715733333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.085676,3.568589,2.836449,3.16357133333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.155193,3.751401,2.835101,3.91389833333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.414781,4.273347,3.574987,4.087705
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.11876,4.742679,3.329548,4.39699566666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.065742,3.726011,2.871555,3.554436
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.559577,7.346449,7.455414,7.45381333333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.891468,4.457904,3.505197,4.28485633333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.235157,3.57012,2.836449,3.21390866666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.363458,4.05616,2.872848,3.430822
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.460525,3.784415,2.858041,3.034327
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.727641,6.316988,5.635251,6.22662666666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.928617,4.528219,3.001674,4.15283666666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.752897,9.44273,8.767421,9.321016
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.259112,7.550619,7.113413,7.30771466666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.939809,6.042271,3.145609,5.37589633333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.755338,5.021535,3.420282,4.39905166666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.399966,4.752474,3.335758,4.496066
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.387016,6.670857,6.067526,7.04179966666667
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.328093,8.758877,7.612083,8.566351
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.647394,2.632781,2.63085,2.63700833333333
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.019683,8.087018,6.303996,7.80356566666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.619715,3.368095,2.835101,3.27430366666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.007058,7.774684,5.49129,7.424344
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.857675,2.818083,2.835101,3.17028633333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.797604,3.726011,2.626582,3.383399
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.957824,7.764612,5.769079,7.16383833333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.688899,4.135629,2.835101,4.886543
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.166601,7.883881,6.453541,7.83467433333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.184385,8.720452,6.894763,8.59986666666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.917405,7.386729,4.758615,7.02091633333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.382773,6.143489,3.996974,5.84107866666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.005482,6.13945,4.753329,6.63275366666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.217629,9.072424,5.659329,8.31646066666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.834771,3.450658,2.835101,3.37351
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.859344,4.148788,2.836449,3.281527
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.395125,3.726011,2.796264,3.63913333333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.026975,5.055515,3.165719,4.08273633333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.176799,8.061969,5.908576,7.71578133333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.117873,3.564575,3.15193,3.94479266666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.384578,8.597158,4.634493,7.538743
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.955095,8.993799,7.261659,8.736851
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,2.631806,2.67751,2.51512766666667
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.993049,4.286008,3.329548,5.20286833333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.174537,3.726011,2.640239,3.51359566666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.647435,6.789786,4.705155,6.04745866666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.099187,4.794033,2.835101,4.576107
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.95859,4.585333,2.948024,4.49731566666667
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.979389,3.710213,2.83657,3.17539066666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.071403,8.647533,7.573274,9.09740333333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.340186,8.885772,7.325847,8.85060166666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.760657,9.105299,7.724545,9.19683366666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.569781,8.861385,8.218839,9.21666833333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.250142,3.726011,2.788733,3.92162866666667
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.054806,3.738026,2.835101,3.87597766666667
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.493359,4.492018,2.835101,4.606826
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",3.332146,3.017228,2.613089,2.98748766666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.734194,4.210063,3.096407,3.68022133333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.316193,3.76098,2.8012,3.62612433333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.81389,5.131394,3.789226,4.57817
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.309818,6.392083,4.192338,5.631413
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.814894,4.194363,3.329548,4.44626833333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.329436,8.350834,7.88914,8.18980333333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.720375,8.870884,7.867449,8.486236
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.692135,9.472278,8.496963,9.22045866666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.843045,3.856305,2.630494,3.109948
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.430815,9.754764,9.270886,9.81882166666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.916936,4.0487,3.070065,4.01190033333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.759397,3.757863,2.685756,3.40100533333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.980594,3.710995,2.857189,3.84959266666667
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.779392,3.721934,2.70882,3.07004866666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.587855,7.879405,6.749261,7.73884033333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.069558,5.039742,4.476131,4.86181033333333
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.754198,5.591526,4.209589,5.51843766666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.962433,9.178395,8.135038,9.09195533333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.750333,6.97526,6.126457,6.95068333333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.540121,3.986519,2.889965,3.47220166666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.099438,3.999965,3.121662,3.40702166666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.651226,9.554615,9.156206,9.45401566666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.337377,4.319152,3.106281,3.92093666666667
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.048252,8.472131,7.141943,8.22077533333333
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.698518,4.316748,3.249467,3.754911
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.845272,3.726011,2.880778,3.48402033333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.776265,4.66938,3.000096,4.14858033333333
