"","sample","tissue","endometriosis","severity","p209750_at","p225768_at","NR1D2"
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.405823,6.468567,4.937195
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.405823,8.695606,6.0507145
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.812206,9.104527,7.4583665
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.900631,9.736488,7.8185595
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.45632,8.726748,6.091534
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.371653,9.564544,6.9680985
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.415755,9.431639,7.423697
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.056513,10.09061,8.5735615
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.494325,9.656232,8.0752785
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.619392,10.078629,8.8490105
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.660261,11.060024,9.8601425
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.25076,10.364195,8.8074775
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.122293,10.09934,8.1108165
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.793397,9.562471,7.677934
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.029094,9.513191,8.2711425
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.160768,9.431826,7.796297
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.301899,10.051789,8.676844
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.196058,9.492249,8.8441535
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.81218,10.949648,8.880914
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.32435,9.619604,8.971977
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.928623,9.33707,8.1328465
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.249398,10.090045,9.1697215
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.708018,9.26182,7.484919
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.37228,9.062268,7.217274
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.430494,9.720758,8.075626
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.719292,7.536622,6.127957
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.653102,9.727718,7.69041
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.85776,8.674419,6.7660895
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.979081,9.474706,6.7268935
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.117589,8.876618,6.4971035
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.286619,7.467946,5.3772825
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.767577,9.350681,8.059129
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.238988,8.184718,6.211853
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.617366,9.049136,7.333251
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.09225,8.533898,7.313074
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.154539,8.800414,6.4774765
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.411022,7.169521,5.7902715
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.608169,8.89101,7.7495895
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.198217,9.08951,7.6438635
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.527617,6.711449,5.619533
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.840177,8.362988,6.1015825
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.483332,9.11792,6.800626
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.469144,8.179579,5.8243615
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.442603,8.399503,6.421053
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.558929,9.109462,6.8341955
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.686929,8.655949,7.171439
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.477015,8.790323,6.133669
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.673786,9.311806,7.492796
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.677072,9.00417,6.340621
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.361589,8.426887,5.894238
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.524964,7.818734,6.171849
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.946937,9.994736,7.9708365
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.019671,8.832083,6.925877
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.324251,8.740596,9.0324235
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.03704,9.307713,9.1723765
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.593878,9.785653,9.6897655
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.777334,8.931817,8.8545755
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.44237,9.00309,9.22273
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.230466,8.968964,9.099715
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.6337,9.528898,9.581299
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.686767,10.130461,7.408614
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.096326,10.131064,7.613695
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.327422,9.438756,8.883089
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.588734,10.41318,7.500957
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.33841,10.850048,8.094229
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.208683,9.495553,8.852118
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.13811,11.151313,8.1447115
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.687622,10.405255,7.5464385
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.149056,9.85457,7.501813
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.786331,9.758714,6.7725225
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.489815,9.835,6.6624075
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.58922,9.489787,8.5395035
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.776001,9.422852,8.0994265
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.974837,9.770664,8.8727505
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.956406,9.838201,7.3973035
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.096577,10.814262,9.4554195
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.252767,10.260156,7.2564615
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.008707,9.435373,6.72204
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.876197,8.015779,6.445988
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.678804,9.944059,7.8114315
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.927411,9.684413,8.305912
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.160826,10.556598,7.858712
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.901931,10.527741,8.214836
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.783062,9.848174,8.815618
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.182227,8.337612,7.2599195
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.306476,9.707907,7.5071915
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.733304,9.396852,8.565078
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.50027,9.198432,8.349351
