"","sample","tissue","endometriosis","severity","p218238_at","p218239_s_at","GTPBP4"
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.280099,7.470619,5.875359
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.626171,8.404685,8.015428
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.137479,8.824301,8.48089
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.280837,8.480849,7.880843
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.002292,7.628199,6.8152455
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.660297,7.907285,7.283791
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.053397,8.066137,7.559767
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.839397,7.73648,7.2879385
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.881914,7.470245,6.6760795
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.531874,8.490637,8.0112555
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.309489,8.120199,7.714844
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.596071,7.210055,6.903063
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.491426,8.171216,7.331321
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.559231,8.228293,7.893762
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.515419,8.884983,8.200201
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.260079,8.587323,8.423701
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.527114,9.038326,8.78272
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.259032,8.983796,8.621414
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.644031,8.673192,8.6586115
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.590258,8.806579,8.6984185
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.692885,8.874443,8.783664
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.234638,8.944501,8.0895695
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.912737,9.402824,8.6577805
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.591203,9.802197,9.1967
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.346565,9.6041,8.9753325
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.787752,10.157925,9.4728385
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.104293,9.450502,8.7773975
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.299489,9.474196,8.8868425
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.259502,9.740854,9.000178
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.904159,9.779897,8.842028
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.924671,9.615006,8.7698385
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.49928,9.881223,9.1902515
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.435599,9.491259,8.963429
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.172803,9.62914,8.9009715
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.113389,9.40104,8.7572145
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.26474,9.559067,8.9119035
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.95749,9.285948,8.621719
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.169864,9.719654,8.944759
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.620491,10.002449,9.31147
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.705405,9.169063,8.437234
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.08326,9.765107,8.9241835
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.578167,9.632613,9.10539
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.737137,10.090013,9.413575
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.150586,10.33501,9.742798
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.297336,9.454697,8.8760165
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.9176,9.137573,8.5275865
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.672438,9.836049,9.2542435
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.739324,10.01734,9.378332
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.510253,9.815646,9.1629495
