"","sample","tissue","endometriosis","severity","p241741_at","p225324_at","CRLS1"
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.523809,8.670653,6.597231
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.024954,9.410986,7.71797
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.184681,8.222742,6.2037115
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.456611,8.547516,6.5020635
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.205814,9.023735,6.1147745
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.846655,9.009392,7.4280235
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.537857,8.976268,7.2570625
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.392146,9.397106,6.894626
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.480032,7.276869,5.8784505
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.399424,8.469432,6.434428
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.898977,9.70006,7.2995185
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.273646,9.437991,7.3558185
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.470649,10.101195,7.785922
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.988256,9.836395,7.9123255
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.041514,9.218152,7.129833
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.666307,9.638958,7.6526325
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.509614,9.421125,7.4653695
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.746192,9.821826,7.284009
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.613395,9.00586,7.3096275
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.179789,10.578137,7.878963
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.782949,9.904579,7.343764
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.408218,10.0244,7.716309
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.099776,7.957877,7.0288265
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.428489,9.597091,7.51279
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.200776,10.018261,7.6095185
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.124469,8.339406,5.7319375
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.252141,8.939454,6.5957975
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.456611,8.641089,6.54885
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.746187,8.660915,6.203551
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.045351,7.096245,5.570798
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.368323,8.097751,6.233037
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.771619,9.093308,6.4324635
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.980815,8.305146,5.6429805
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.371203,7.34254,5.8568715
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.767697,8.231535,5.999616
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.99981,8.119879,6.0598445
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.399424,8.921464,6.660444
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.983924,8.291552,6.137738
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.132781,8.638868,6.3858245
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.911283,7.872849,5.892066
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.368323,7.913039,6.140681
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.368323,7.347885,5.858104
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.399424,7.447897,5.9236605
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.368323,8.687489,6.527906
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.573273,9.158885,6.866079
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.399424,8.376141,6.3877825
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.704195,7.850826,5.7775105
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.624452,8.179375,6.4019135
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.368323,8.748225,6.558274
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.155132,8.874328,6.51473
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.24941,7.650549,5.9499795
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.879007,8.73981,6.3094085
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.399424,8.726447,6.5629355
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.519773,7.963235,5.741504
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.456611,7.97358,6.2150955
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.768438,9.03531,6.401874
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.523508,8.89847,7.210989
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.795863,8.657118,7.2264905
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.59006,8.589322,7.089691
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.042217,8.47488,6.7585485
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.053093,8.438214,6.7456535
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.767697,7.38414,5.5759185
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.821722,8.618657,6.7201895
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.911414,9.213341,7.0623775
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.416553,8.998565,7.207559
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.752359,9.104083,7.428221
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.642738,9.324932,6.983835
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.663811,9.154123,7.408967
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.469888,8.406503,6.9381955
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.146158,9.65744,7.401799
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.47215,9.246431,7.8592905
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.841778,9.276507,7.5591425
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.573353,8.867583,7.220468
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.876579,9.143228,7.5099035
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.144249,9.824594,7.4844215
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.4368,8.863023,7.6499115
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.170242,9.515238,7.84274
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.368323,9.345953,6.857138
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.753624,9.036672,7.395148
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.49381,8.265588,6.879699
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.459635,8.790449,6.625042
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.605559,9.34698,6.9762695
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.233938,9.033764,7.133851
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.71671,9.73976,7.228235
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.044088,9.139189,7.0916385
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.770674,8.95495,6.862812
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.205827,9.635987,7.420907
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.628788,8.977498,7.303143
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.198827,9.478683,7.338755
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.920685,9.362549,7.141617
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.493415,9.446004,7.4697095
