"","sample","tissue","endometriosis","severity","p1556097_at","p217080_s_at","HOMER2"
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.084283,9.448807,8.766545
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.224338,6.146592,5.685465
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.865464,6.633262,6.249363
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.561215,6.83764,6.1994275
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.969463,6.306055,6.137759
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.278517,9.910353,9.094435
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.696778,8.887141,7.7919595
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.511216,8.88803,7.199623
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.684601,6.121136,4.9028685
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.053551,6.702037,6.877794
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.416594,7.605113,7.5108535
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.727623,7.690112,7.2088675
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.704677,8.924895,8.814786
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.070104,8.187231,8.1286675
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.430226,6.689084,6.059655
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.810795,9.215476,9.0131355
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.861948,10.255589,9.5587685
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.409042,10.204601,9.3068215
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.636107,6.097298,5.3667025
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.693014,8.20959,7.451302
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.25017,6.935831,6.5930005
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.058464,9.958523,9.5084935
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.499819,7.054151,6.776985
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.047245,6.602754,5.8249995
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.14158,5.883148,6.512364
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.686137,8.048607,8.367372
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.111673,7.67305,8.3923615
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.042542,5.604008,6.323275
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.355089,9.43698,9.8960345
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.979237,7.661758,8.3204975
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.08517,7.297485,7.6913275
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.413178,8.690882,8.55203
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.646214,10.207156,10.426685
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.188951,6.323814,7.2563825
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.999384,8.741086,8.370235
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.206614,5.998144,6.102379
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.432439,10.800377,9.616408
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.927778,7.577589,7.7526835
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.942873,6.741664,6.8422685
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.136996,8.181313,7.6591545
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.096842,12.30074,11.198791
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.068145,7.88235,7.4752475
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.288201,8.475949,7.882075
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.840549,6.808805,6.324677
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.359823,5.901646,5.6307345
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.163883,7.19172,6.6778015
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.176094,8.073921,7.1250075
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.493501,12.479901,10.986701
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.90479,5.706238,5.805514
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.780571,5.771313,5.275942
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.328469,9.720125,9.024297
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.48473,10.037949,9.2613395
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.417422,6.877926,6.147674
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.821644,6.659349,6.2404965
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.978057,7.28186,6.6299585
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.176094,8.831713,7.5039035
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.821644,9.118756,7.4702
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.465987,8.586438,8.0262125
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.473946,8.198433,7.8361895
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.006842,7.092977,6.5499095
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.191487,8.1989,7.1951935
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.991304,10.089794,9.540549
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.342291,9.020054,8.1811725
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.914637,7.871196,6.8929165
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.052028,7.109266,6.580647
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.176094,8.033773,7.1049335
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.821644,7.810149,6.8158965
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.451141,7.944262,7.1977015
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.430066,10.476428,9.453247
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.593246,9.926297,9.2597715
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.179325,6.663631,6.421478
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.089796,11.137945,10.6138705
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.652178,7.940613,7.2963955
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.237062,8.175402,7.706232
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.176094,7.401592,6.788843
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.83395,8.413686,7.623818
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.746327,7.811367,6.778847
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.048065,8.179533,8.113799
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.051856,8.943397,9.4976265
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.358528,9.208544,9.283536
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.248253,11.63213,11.4401915
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.459391,5.730314,6.0948525
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.190214,10.933776,10.561995
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.938074,7.642807,7.7904405
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.785709,8.7886,8.7871545
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.034841,6.368591,6.201716
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.483802,7.375319,7.9295605
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.495291,6.421421,6.458356
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.739449,8.089653,8.414551
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.245103,8.21964,8.2323715
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.839852,6.878873,7.3593625
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.599924,10.081471,10.3406975
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.452111,5.268285,5.360198
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.640291,10.510618,10.5754545
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.583702,8.180504,8.382103
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.55125,5.031786,4.791518
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.128491,11.060596,11.0945435
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.279492,7.421815,7.3506535
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.224555,7.028605,7.12658
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.149833,5.904146,6.0269895
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.966295,7.373491,7.669893
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.337315,5.347312,4.8423135
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.495718,6.656093,6.5759055
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.557973,7.105848,7.3319105
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.637584,7.63533,8.136457
