"","sample","tissue","endometriosis","severity","p215521_at","p226508_at","p238693_at","PHC3"
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.535984,10.144419,5.984357,6.55492
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.402743,10.229864,5.733874,6.45549366666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.486088,10.27371,5.606578,6.45545866666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.750186,10.058036,5.865532,6.557918
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.457889,10.015288,5.893288,6.45548833333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.95468,10.160322,5.613645,6.24288233333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.457889,9.69298,6.525175,6.55868133333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.457889,10.002143,5.517008,6.32568
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.457889,10.105596,6.118005,6.56049666666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.457889,9.438864,4.678816,5.858523
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.457889,10.012026,6.408079,6.625998
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.457889,9.824518,6.665027,6.64914466666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.457889,9.558541,4.738341,5.918257
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.582464,9.484587,4.88677,5.984607
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.213043,9.572765,4.607132,6.13098
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.197551,9.13409,3.570771,5.96747066666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.232261,9.281163,4.152103,6.55517566666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.681317,8.96542,4.601982,6.08290633333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.950755,9.821405,4.601982,6.45804733333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.037477,8.897612,3.102013,6.01236733333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.933434,8.843021,4.067908,5.948121
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.624841,9.981835,4.520427,6.70903433333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.799737,8.5014,3.936788,6.07930833333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.343958,9.850106,4.96245,6.718838
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.608046,9.315117,4.601982,6.17504833333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.253282,9.592162,4.601982,6.48247533333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.968041,9.630462,4.608303,6.40226866666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.698891,9.248027,4.544736,6.497218
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.922889,9.286707,4.520427,6.57667433333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.038443,8.855176,4.601982,5.831867
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.967849,9.409836,4.520427,6.29937066666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.195976,9.698522,4.81896,6.57115266666667
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.296097,9.577955,4.601982,6.49201133333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.230462,8.717757,4.601982,6.18340033333333
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.745564,9.098366,4.520427,6.12145233333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.415185,9.458928,4.371953,6.41535533333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.804292,9.418907,4.541288,6.58816233333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.478484,9.462517,4.520427,6.48714266666667
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.159417,9.420453,4.601982,6.39395066666667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.127508,9.114886,4.520427,6.25427366666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.457889,8.954692,4.365073,5.59255133333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.16708,9.722979,4.595175,6.82841133333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.609412,9.567302,3.955377,6.37736366666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.577564,9.560835,4.864492,6.334297
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.772548,9.479632,4.601982,6.28472066666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.755961,9.834385,4.572002,6.38744933333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.901133,9.647221,4.601982,6.38344533333333
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.116093,9.492727,4.601982,6.40360066666667
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.41736,8.447925,4.75015,6.205145
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.535984,8.665395,4.601982,5.60112033333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",4.555674,10.930385,5.511026,6.99902833333333
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.981054,10.853434,5.061333,6.63194033333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.281169,10.641757,5.49171,6.80487866666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.484349,10.176944,5.365032,6.34210833333333
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.930897,10.474064,6.068515,6.824492
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.114719,10.431444,5.84195,6.79603766666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.572617,10.405816,5.422338,6.800257
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.292468,10.285084,5.663438,6.74699666666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.577564,10.250154,5.682571,6.836763
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.255777,10.467263,4.960887,6.561309
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.532933,9.936908,4.885988,6.11860966666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.457889,10.045342,6.218988,6.574073
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.245227,10.503018,4.901202,6.54981566666667
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.968717,10.35133,6.106798,6.80894833333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.085989,10.519094,5.150469,6.585184
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.591285,10.476577,5.221383,6.42974833333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.159501,10.382656,5.359456,6.633871
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.031301,10.20405,7.069456,7.10160233333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.221872,9.983274,5.575454,6.59353333333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.981878,10.552398,5.389987,6.641421
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.047728,10.009058,5.576029,6.54427166666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.25806,10.610565,6.825859,7.23149466666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.18544,9.768398,4.235187,6.06300833333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.601033,10.145059,5.21738,6.32115733333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.891563,10.175248,4.925435,6.33074866666667
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.03279,10.40193,5.443413,6.62604433333333
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.627344,10.296287,5.512929,6.47885333333333
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.457889,10.204629,5.518119,6.39354566666667
