"","sample","tissue","endometriosis","severity","p1569053_at","p203410_at","AP3M2"
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.071722,3.960626,4.016174
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.528757,4.137875,3.833316
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.476645,4.947779,4.212212
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.83023,4.081053,3.9556415
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.531753,4.471504,4.0016285
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.413902,4.717369,4.0656355
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.528757,4.265578,3.8971675
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.18033,4.142269,3.6612995
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.568449,4.717369,4.142909
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.561117,3.192168,3.3766425
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.968232,3.761876,3.365054
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.531758,4.819491,4.1756245
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.957338,3.761876,3.359607
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.430287,4.576622,4.0034545
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.430287,4.565468,3.9978775
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.136923,4.648985,3.892954
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.528757,3.761876,3.6453165
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.363055,4.209573,3.786314
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.430287,2.885675,3.157981
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.784586,4.717369,4.2509775
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.578108,4.717369,4.1477385
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.964314,4.242441,4.1033775
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.528757,5.1906,4.3596785
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.430352,5.548222,4.489287
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.430287,4.717369,4.073828
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.528757,5.29629,4.4125235
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.903397,5.586916,5.2451565
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.142814,4.503798,4.323306
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.878756,4.733896,4.306326
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.430287,5.161561,4.295924
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.675928,5.088519,4.3822235
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.300715,4.664825,3.98277
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.918017,5.323288,4.6206525
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.439735,4.811291,4.125513
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.430287,5.134838,4.2825625
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.842767,6.811546,5.3271565
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.968232,6.753858,4.861045
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.578706,6.45979,5.519248
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.213736,5.438594,4.326165
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.970274,5.362842,4.166558
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.53042,7.027801,5.7791105
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.540988,6.339123,4.9400555
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.869529,6.449352,5.1594405
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.637264,6.263447,4.9503555
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.244229,6.542936,4.8935825
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.024604,5.621939,4.3232715
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.000661,6.090364,4.5455125
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.430287,6.01465,4.7224685
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.235737,6.530247,4.882992
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.562342,6.588858,5.0756
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.430287,4.278338,3.8543125
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.182704,5.14323,4.162967
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.156292,6.056089,5.1061905
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.528757,3.761876,3.6453165
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.430287,4.627028,4.0286575
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.128767,3.790393,3.45958
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.667466,5.374389,4.5209275
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.732609,4.717369,4.224989
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.430287,3.761876,3.5960815
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.528757,3.761876,3.6453165
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.528757,3.746968,3.6378625
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.230418,4.380376,3.805397
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.123902,4.376755,3.7503285
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.558113,4.293606,3.9258595
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.64878,4.481767,4.0652735
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.606203,4.142269,3.874236
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.335747,4.418682,4.3772145
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.430287,4.281821,3.856054
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.541704,5.155755,4.8487295
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.42343,4.800822,4.612126
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.528757,4.761745,4.145251
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.215354,3.891961,3.5536575
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.091847,4.485897,4.288872
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.409707,3.99012,3.6999135
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.528757,5.212409,4.370583
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.430287,3.643945,3.537116
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.25966,5.675674,4.967667
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.430287,4.227419,3.828853
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.617149,4.882571,4.24986
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.430287,3.87741,3.6538485
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.721823,5.114681,4.418252
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.933516,4.811291,4.8724035
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.628491,4.811291,4.719891
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.796965,5.379716,4.5883405
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.970242,4.919256,4.944749
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.528757,5.369567,4.449162
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.439691,5.259384,5.3495375
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.682969,5.619374,5.1511715
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",3.349918,6.103617,4.7267675
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.555313,6.388214,5.4717635
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.184984,6.156382,5.170683
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.357778,5.237516,4.797647
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.521993,5.173807,4.8479
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.586984,5.270018,4.428501
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.280055,5.462476,5.3712655
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.971228,5.605356,5.288292
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.435665,5.308014,4.8718395
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.226801,5.934694,5.5807475
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.675637,5.005943,4.34079
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.100247,6.139441,4.619844
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.208054,6.27599,5.742022
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.548184,6.003135,5.2756595
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.923159,6.221179,5.572169
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.921869,5.760044,4.8409565
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.460218,5.015218,4.737718
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.212625,5.306489,4.759557
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.52187,4.813699,4.1677845
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.181344,5.165837,4.6735905
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.591823,5.993625,5.292724
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.478899,5.861151,5.170025
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.956395,4.811291,4.883843
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.173941,5.9351,5.5545205
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.722431,4.862278,4.2923545
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.248122,6.345066,5.296594
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.596107,6.351612,5.4738595
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.220637,6.078483,5.64956
