"","sample","tissue","endometriosis","severity","p205829_at","p228595_at","HSD17B1"
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.457165,10.419414,8.9382895
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.540717,10.438622,8.9896695
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.541871,9.13243,7.8371505
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.396864,10.303877,9.3503705
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.263,11.135665,8.6993325
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.925529,9.550258,8.2378935
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.198647,10.727741,8.963194
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.246773,9.838331,8.542552
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.867494,8.895509,6.8815015
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.769398,10.540223,8.6548105
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.004957,10.303384,9.1541705
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.837868,11.311641,9.5747545
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.649491,10.440978,8.5452345
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.768023,10.339327,9.053675
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.208961,11.165856,10.1874085
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.78513,10.6693,9.227215
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.709373,11.177933,10.443653
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.880486,10.851153,8.8658195
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.058174,9.951803,8.5049885
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.322058,10.065995,8.6940265
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.794839,8.369946,7.0823925
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.672962,10.583171,8.6280665
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.806918,9.978323,8.3926205
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.738908,9.131958,7.935433
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.521324,9.98139,8.751357
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.404685,9.852302,8.6284935
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.872268,9.663773,8.7680205
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.656204,9.624613,8.1404085
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.126505,8.913036,7.0197705
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.691244,8.589415,7.1403295
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.145925,9.853634,7.4997795
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.028407,10.335356,8.6818815
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.558834,7.924049,5.7414415
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.809546,8.235933,6.5227395
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.589394,8.009717,6.2995555
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.441185,8.199222,5.8202035
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.407035,8.270484,6.8387595
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.183663,7.876748,6.0302055
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.817508,7.974921,6.3962145
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.408353,7.629927,6.51914
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.556379,8.20118,6.3787795
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.017764,8.21592,6.616842
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.917354,8.024532,6.470943
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.405822,8.416674,6.411248
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.386895,8.721335,7.054115
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.103044,8.117123,6.6100835
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.001805,8.276921,6.639363
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.423456,9.378299,7.9008775
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.887285,8.964809,7.426047
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.141607,9.900411,8.521009
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.099282,10.247782,8.673532
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.656845,10.854636,8.7557405
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.272743,10.317953,9.295348
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.015651,9.753558,7.8846045
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.504631,10.547108,9.0258695
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.004149,9.804831,7.90449
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.180987,10.554869,8.867928
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.537657,10.756252,8.6469545
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.103044,9.516067,7.3095555
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.132822,10.369294,8.751058
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.131545,9.818787,7.475166
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.698704,9.884963,8.7918335
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.073242,10.080218,8.57673
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.153438,10.180177,8.6668075
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.691096,10.458626,8.574861
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.20425,9.800601,8.0024255
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.799074,9.497226,7.14815
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.418674,10.060646,8.73966
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.268853,10.943235,9.106044
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.727122,9.796455,8.2617885
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.240206,9.763553,8.0018795
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.721753,10.122126,8.4219395
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.161302,9.907152,8.034227
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.494913,9.829493,7.662203
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.721437,10.152531,7.436984
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.296313,10.362946,8.3296295
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.356619,9.763641,8.06013
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.095006,9.886057,7.9905315
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.816328,7.410917,5.6136225
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.087772,6.834976,5.461374
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.662545,6.662813,5.162679
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.643483,7.31766,5.4805715
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.757852,7.054612,5.406232
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.695964,7.150225,5.4230945
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.643483,7.684121,5.663802
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",3.696865,7.678511,5.687688
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.740711,7.577744,6.1592275
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",4.23519,7.742627,5.9889085
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.647353,7.677027,6.16219
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.643483,7.238566,5.4410245
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.974757,7.54903,5.7618935
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.643483,7.773463,5.708473
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.951664,8.265117,6.1083905
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.592226,7.775515,6.1838705
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.340036,7.580679,5.9603575
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.105249,7.690169,5.897709
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.040896,7.381843,5.7113695
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.472183,7.399995,5.936089
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.780552,7.508376,5.644464
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.081663,7.673095,5.877379
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.643483,7.354199,5.498841
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.925702,7.504674,5.715188
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.643483,6.564242,5.1038625
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.038324,7.215158,6.126741
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.044721,7.378445,5.711583
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.25462,7.768879,6.0117495
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.643483,7.479749,5.561616
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.838838,7.209118,5.523978
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.889753,7.649388,5.2695705
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.787671,7.578939,5.683305
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.179718,7.755713,5.9677155
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.643483,7.58536,5.6144215
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.745831,7.581196,6.1635135
