"","sample","tissue","endometriosis","severity","p1487_at","p203193_at","ESRRA"
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.351747,4.974093,6.16292
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.692583,5.853358,7.2729705
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.654263,6.444268,7.5492655
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.51272,5.339065,6.4258925
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.325722,6.228901,7.7773115
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.311439,6.221536,7.7664875
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.43982,4.662672,6.051246
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.44996,5.404356,7.427158
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.56719,5.681995,7.1245925
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.681225,5.284812,6.4830185
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.456935,4.98272,6.7198275
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.283135,6.819962,8.0515485
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.520356,5.591748,7.056052
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.438716,6.538282,7.988499
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.096429,5.529262,6.8128455
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.638526,4.98272,6.310623
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.327646,6.363828,7.845737
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.311505,5.677722,6.9946135
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.587605,5.824296,7.2059505
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.982555,6.352296,7.6674255
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.126551,6.12667,7.6266105
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.534552,6.676934,8.105743
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.990622,6.812641,7.9016315
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.73219,6.693395,8.2127925
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.619333,5.734806,7.1770695
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.468753,5.246916,6.3578345
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.372331,4.984877,6.178604
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.114966,4.832278,5.973622
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.565779,5.977109,7.271444
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.505412,5.757481,7.1314465
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.494237,5.094431,6.294334
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.317041,5.25875,6.7878955
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.686835,5.624794,7.1558145
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.295143,5.467878,6.8815105
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.829411,4.968506,6.3989585
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.156155,4.691172,5.9236635
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.757648,4.238253,5.4979505
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.425327,5.280778,6.3530525
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.79777,4.86768,6.332725
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.21523,4.301158,5.758194
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.821606,4.561976,5.691791
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.307956,4.547285,5.9276205
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.809493,4.662672,5.7360825
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.030743,4.684482,5.8576125
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.5564,4.656394,5.606397
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.993662,4.596729,5.7951955
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.009523,4.662672,5.8360975
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.995581,4.761341,5.878461
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.214764,4.662672,5.938718
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.450275,4.662672,6.0564735
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.995823,4.751938,5.8738805
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.595236,4.98272,6.288978
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.843046,4.56544,5.704243
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.70777,4.652224,5.679997
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.024119,5.077654,6.5508865
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.384332,4.98272,6.183526
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.520399,5.570173,7.045286
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.940633,6.002343,7.471488
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.760001,5.734369,7.247185
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.153853,6.206328,7.6800905
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.888464,5.13114,6.509802
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.284218,4.98272,6.633469
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.168602,5.493721,6.8311615
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.588344,6.409245,7.4987945
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.339493,6.335741,7.837617
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.027127,4.891084,6.4591055
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.108766,6.361111,7.7349385
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.062829,5.267909,6.665369
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.638494,5.518263,7.0783785
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.460857,5.530004,6.9954305
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.329557,6.1344,7.2319785
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.465193,5.748575,7.106884
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.141126,5.214592,6.677859
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.303328,4.98272,6.143024
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.394831,5.526464,6.9606475
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.005569,6.284218,7.6448935
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.693111,5.812722,7.2529165
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.805216,5.302753,6.5539845
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.999856,5.42404,6.711948
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.287285,5.686351,6.986818
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.419794,4.662672,6.041233
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.220262,5.355195,6.7877285
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.114973,5.830884,6.9729285
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.944735,4.98272,6.4637275
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.560191,4.869539,6.214865
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.337902,4.98272,6.160311
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.016593,5.158838,6.0877155
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.106583,4.83579,5.9711865
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.426819,5.061184,6.2440015
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.487332,4.582629,5.5349805
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.783908,4.652224,5.718066
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.156936,4.778018,5.467477
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.406387,3.63984,5.0231135
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.802618,4.4794,5.641009
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.370168,3.838983,5.1045755
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.05468,4.662672,5.858676
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.90697,3.907613,5.4072915
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.496761,3.546908,5.0218345
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.526986,4.333769,5.4303775
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.386227,4.676883,6.031555
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.551424,4.896909,6.2241665
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.582377,4.421576,5.5019765
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.683514,4.079012,5.381263
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.034429,4.414088,5.2242585
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.260659,4.273093,5.266876
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.012581,4.425222,5.2189015
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.89223,4.166688,5.529459
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.33241,3.666408,4.999409
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.665098,4.113863,5.3894805
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.867409,4.160706,5.0140575
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.566544,4.662672,5.614608
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.933538,4.145952,5.539745
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.341261,4.227053,5.284157
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.376472,4.087954,5.232213
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.445496,4.91911,6.182303
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.820566,3.581602,4.701084
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.697011,4.524242,5.6106265
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.138408,4.478594,5.308501
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.057441,3.906983,4.982212
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.601994,4.058516,5.330255
