"","sample","tissue","endometriosis","severity","p213839_at","p221042_s_at","p225757_s_at","p225759_x_at","CLMN"
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.745766,5.364357,5.461663,6.065501,5.65932175
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.026499,3.9263,3.857408,2.807297,3.404376
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.31299,4.640374,3.905441,3.482959,4.585441
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.537761,5.189865,5.134061,4.034778,4.97411625
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.609051,4.305005,3.857408,2.679752,3.862804
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.507988,5.809219,4.043877,3.556711,4.97944875
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.985495,4.844714,3.857408,3.794273,4.6204725
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.35604,3.965465,3.750061,2.795889,3.71686375
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.19703,5.365241,5.434973,3.565461,5.14067625
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.996562,5.582679,4.749899,5.035719,5.34121475
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.42258,6.230959,4.635216,4.296659,5.3963535
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.701731,3.818013,3.971706,2.684138,3.543897
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.261923,3.818071,3.857408,3.29543,4.308208
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.771792,6.153504,6.231605,5.24776,6.35116525
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.600701,5.658471,3.857408,3.29183,4.8521025
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.83947,8.17613,5.788948,4.888408,6.923239
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.883108,4.844714,3.971706,2.778345,4.61946825
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.916583,5.294902,3.857408,2.906726,4.74390475
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.845065,4.86527,3.857408,2.892942,4.61517125
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.12486,6.555258,3.971706,2.988835,5.16016475
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.478995,6.44841,5.183224,3.4201,5.63268225
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.982358,5.169497,3.795429,2.81098,4.439566
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.525526,5.045477,3.913149,3.242197,4.68158725
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.150536,5.988599,4.454411,3.122509,5.17901375
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.451589,6.736108,5.691579,5.17139,6.5126665
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.991502,5.309534,5.581365,3.94495,5.45683775
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.31299,5.350824,3.971706,3.497789,4.78332725
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.538527,5.482985,3.486024,3.77909,5.0716565
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.216731,6.435115,4.225658,4.390391,5.81697375
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.58032,5.919731,4.106332,4.843946,5.86258225
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.019918,4.670477,3.155642,3.904124,4.68754025
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.950864,5.953417,4.269706,4.584013,5.9395
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.500202,5.7154,4.075643,4.156102,5.61183675
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.607185,5.011116,3.815348,3.890058,5.08092675
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.08173,6.979797,5.790258,5.079983,6.732942
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.969963,5.569198,3.888178,3.643862,5.26780025
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.384224,6.638324,4.080204,5.066104,6.042214
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.353721,5.206833,3.857408,3.97869,5.099163
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.567152,5.770374,3.711752,4.525018,5.143574
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.644261,7.151081,6.508375,4.771377,6.7687735
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.88256,6.538752,4.181773,5.031589,5.9086685
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.760065,5.977055,3.857408,4.569114,5.5409105
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.414844,4.81925,3.785011,3.050395,4.267375
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.04319,6.530536,5.571537,3.766389,5.977913
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.201363,5.996149,3.991764,4.398874,5.3970375
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.705141,4.605588,3.971706,2.500244,4.19566975
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.886626,5.596399,3.971706,4.983614,5.10958625
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.785171,4.695976,3.687777,2.684138,3.9632655
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.961548,5.324467,3.785291,2.552931,4.40605925
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.51354,5.034303,3.857408,3.122509,4.13194
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.855819,6.838989,5.697982,3.867039,5.81495725
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.31299,3.850887,3.857408,2.684138,4.17635575
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.884558,3.996203,3.661936,2.287239,3.457484
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.847269,4.825155,4.87364,3.565461,5.02788125
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.851819,4.378267,3.884951,3.173979,4.322254
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.25933,4.32076,3.661936,2.771016,3.7532605
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.244719,4.319667,3.661936,2.684138,3.977615
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.837558,4.190983,4.249061,2.684138,4.240435
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.973385,6.692089,6.433429,4.933457,6.00809
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.871668,7.116897,5.385409,5.373905,5.93696975
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.069417,6.368285,4.964804,4.481904,5.7211025
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.610276,5.821114,4.876922,4.322576,5.407722
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.03722,5.195265,3.750061,3.122509,4.52626375
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.112307,5.596352,4.994829,4.627509,5.33274925
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.349159,4.928556,4.450633,4.239015,4.99184075
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.31299,6.146397,4.497999,3.565461,5.13071175
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.529917,6.170922,4.456605,4.617351,5.44369875
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.759403,3.996203,3.857408,2.789379,3.85059825
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.44014,6.340812,4.840237,4.815892,5.60927025
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.863193,4.844714,3.857408,2.873409,4.109681
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.176461,4.600211,3.857408,3.458635,4.52317875
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.37895,7.429549,6.150877,4.594124,6.138375
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.083868,7.511904,5.551043,4.674054,6.45521725
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.416693,3.069449,2.236067,2.500244,3.55561325
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.745179,4.115523,3.781659,2.684138,4.58162475
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.246854,3.988435,3.661936,2.853597,4.4377055
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.288862,3.656394,3.667715,2.684138,4.32427725
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.981916,4.415848,3.706697,4.237885,5.0855865
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.408374,3.545443,3.750061,2.684138,4.347004
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.753883,4.025,3.174866,2.961897,4.2289115
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.572492,4.791823,3.971706,4.176936,5.37823925
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.434843,5.701052,3.721099,5.373332,6.0575815
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.736146,6.242651,6.057227,4.41164,6.361916
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.156083,6.151911,3.971706,4.356301,5.90900025
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.826793,5.026022,3.588878,3.702259,5.035988
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.662668,7.009433,5.964681,3.839793,6.36914375
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.844436,5.586804,3.879567,4.138059,5.6122165
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.378722,4.826834,3.678136,3.761754,5.1613615
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.098751,4.555343,3.541997,3.553721,4.687453
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.496419,5.842132,3.971706,5.149548,6.11495125
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.584516,4.028862,3.541997,2.652946,4.20208025
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.834961,6.935608,5.130181,5.187243,6.52199825
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.68083,6.127766,4.867817,3.565461,5.8104685
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.302788,6.670781,5.921456,5.442865,6.8344725
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.793377,7.866596,6.503201,6.438482,7.900414
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.000302,5.350847,3.857408,3.338652,4.88680225
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.575275,6.113161,4.994026,4.33022,6.2531705
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.557208,6.224393,4.044815,5.51618,6.085649
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.666628,4.844714,3.541997,2.500244,4.38839575
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.062508,5.894023,4.077785,4.473342,5.8769145
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.373073,6.266791,4.921919,3.826598,5.84709525
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.082578,6.0031,3.905912,5.200312,5.7979755
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.52579,4.387413,3.661936,2.86583,4.61024225
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.555798,6.733201,5.577886,4.814622,6.42037675
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.651631,5.772785,4.359722,2.78826,5.1430995
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.872647,6.071274,4.361382,3.690158,5.49886525
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.494448,6.494667,5.469692,4.260322,6.17978225
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.788587,6.460429,4.100597,4.404592,5.93855125
