"","sample","tissue","endometriosis","severity","p1568736_s_at","p235527_at","DLGAP1"
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.219373,6.828409,7.523891
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.456698,4.714115,3.5854065
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.394445,2.904239,3.149342
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.636526,4.315071,4.9757985
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.376863,7.013178,7.1950205
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.302802,4.668178,5.48549
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.987254,2.416391,2.7018225
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.987254,3.01137,2.999312
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.998031,4.668178,5.3331045
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.336557,5.505628,6.9210925
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.355734,3.745416,3.550575
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.117886,2.416391,2.7671385
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.9383,5.691958,6.315129
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.318266,2.425294,2.37178
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.407593,3.881762,3.1446775
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.244125,3.61228,2.9282025
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.043417,4.638823,3.84112
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.243146,3.258795,2.7509705
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.75751,6.61968,6.688595
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.516905,6.884615,7.70076
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.447651,5.021197,5.734424
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.669898,4.8243,5.247099
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.267852,6.232304,6.250078
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.391552,7.531747,8.4616495
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.397198,5.417497,5.4073475
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.369816,5.664394,6.017105
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.273809,2.973513,2.623661
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.336236,2.726762,2.531499
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.612096,4.668178,3.640137
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.243146,5.987207,4.1151765
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.48433,5.272453,3.8783915
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.760128,5.637783,4.1989555
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.545931,9.780463,8.663197
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.306866,5.165454,3.73616
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.248975,5.003872,3.6264235
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.763779,5.994503,4.379141
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.899545,8.797978,7.8487615
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.243146,5.32073,3.781938
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.78733,8.83963,5.81348
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.243146,4.996563,3.6198545
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.073568,9.095937,8.5847525
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.243146,5.250218,3.746682
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.236067,5.020393,3.62823
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.666759,7.245347,6.956053
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.5439,7.10718,6.32554
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.324219,3.745476,3.0348475
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.688265,6.75342,7.2208425
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.243146,2.502346,2.372746
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.460326,5.582668,6.521497
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.263521,2.571427,2.417474
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.409906,3.258795,2.8343505
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.895627,6.303987,7.099807
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.743135,4.39127,3.5672025
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.050221,3.308587,3.179404
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.674389,5.982941,6.828665
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.935991,6.3325,7.1342455
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.298849,3.510623,3.904736
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.570655,4.968632,5.7696435
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.643707,4.668178,6.1559425
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.955483,3.510623,3.233053
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.743135,3.619362,3.1812485
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.336523,5.020393,3.678458
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.462785,4.212388,3.3375865
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.413161,5.034532,6.2238465
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.341586,3.258795,2.8001905
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.253943,6.203592,7.2287675
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.673948,5.020393,5.3471705
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.751684,3.190488,2.971086
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.243146,4.635008,3.439077
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.987254,4.437744,3.712499
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.987254,3.604148,3.295701
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.440279,2.642932,2.5416055
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.203819,5.511325,5.857572
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.79305,5.020393,5.4067215
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.122173,9.542796,8.8324845
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.649224,8.339353,7.9942885
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.561206,7.073343,6.8172745
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.196229,6.417006,5.8066175
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.336523,4.668178,3.5023505
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.243146,3.258795,2.7509705
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.248499,2.965237,2.606868
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.883083,5.921331,6.402207
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.141404,7.094631,7.6180175
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",2.743135,4.784849,3.763992
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.740319,9.444438,9.5923785
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.573214,5.671616,5.122415
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.02208,9.372974,9.197527
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.648251,5.570722,4.1094865
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.129133,9.089369,9.609251
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.985691,9.219827,9.602759
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.639355,5.020393,3.829874
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.375451,5.96044,5.6679455
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.743135,6.77261,4.7578725
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.417262,5.291053,3.8541575
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.821571,5.139915,3.980743
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.243146,6.33724,4.290193
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.683276,4.856244,5.26976
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.371433,9.893018,10.1322255
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.050221,7.290858,5.1705395
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.647652,8.305522,8.476587
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.686378,9.303032,8.994705
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.243146,4.981931,3.6125385
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.37457,5.481221,4.4278955
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.77284,5.954372,5.863606
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.743443,4.435495,3.589469
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.638254,8.606486,9.12237
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.243146,3.763138,3.003142
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.243146,5.020393,3.6317695
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.4108,5.020393,3.7155965
