"","sample","tissue","endometriosis","severity","p48808_at","p202533_s_at","p202532_s_at","p202534_x_at","DHFR"
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.363784,4.779509,6.225177,6.787667,5.78903425
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.752919,6.855505,6.950832,9.456205,7.50386525
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.336037,4.779509,8.012919,8.764742,7.22330175
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.527232,4.934488,7.781811,9.447845,7.672844
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.784925,5.656475,8.683911,9.773709,8.224755
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.85969,4.396156,6.342081,7.477395,6.2688305
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.064963,6.527513,6.389898,8.053798,7.009043
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.167222,3.990842,6.225177,6.733084,5.27908125
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.877986,4.748659,6.531977,8.080039,6.55966525
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.234379,5.107925,6.816924,9.148659,7.07697175
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.670887,4.67112,5.621697,5.216942,5.0451615
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.136821,5.984313,8.389518,10.120516,8.407792
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.521129,6.53537,7.081111,8.402248,7.3849645
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.695416,4.779509,6.988143,8.750435,7.05337575
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.882901,4.84454,6.70144,8.544001,6.7432205
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.202657,6.172528,7.92543,9.329137,7.907438
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.187829,3.677746,6.225177,8.449431,6.38504575
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.337353,3.140554,5.784972,7.559836,5.70567875
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.602731,3.262196,6.263287,7.883197,6.00285275
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.51484,4.779509,6.751191,8.434036,6.869894
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.634526,5.501079,8.031583,10.468523,8.40892775
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.846812,3.659578,7.093102,9.714987,7.32861975
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.185976,5.71697,8.312726,10.716341,8.73300325
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.422814,3.53774,7.793814,8.770617,6.88124625
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.969218,3.030688,7.944638,9.226395,7.04273475
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.816977,5.132199,9.206334,10.598578,8.688522
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.993111,3.918587,8.012054,9.016587,7.23508475
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.995786,4.134212,8.568754,9.776882,7.8689085
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.796492,4.071123,7.780461,9.214945,7.46575525
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.162338,4.779509,8.403936,9.550066,7.72396225
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.809886,3.718612,7.963049,8.830779,7.0805815
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.440346,4.07584,8.398195,9.201519,7.528975
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.178742,4.71254,9.324084,10.346328,8.3904235
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.162201,2.236067,5.755377,7.781612,5.73381425
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.704722,6.712772,10.154968,11.211768,9.6960575
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.683411,4.487738,9.013854,10.306454,8.37286425
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.252782,5.188251,9.941971,11.080448,9.115863
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.42317,6.154459,10.658664,11.501484,9.68444425
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.870346,3.988703,7.984124,9.487061,7.5825585
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.99598,4.127837,8.018994,8.941112,7.27098075
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.497231,3.75584,8.324059,9.484803,7.51548325
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.324256,4.992987,7.839604,9.223518,7.59509125
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.233626,4.317149,8.085708,9.435936,7.51810475
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.084185,6.725241,9.978236,11.562642,9.837576
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.701278,6.21434,9.803609,10.882621,9.150462
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.179187,2.362182,6.452048,6.857944,5.46284025
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.412218,6.094613,9.832101,11.067111,9.35151075
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.382449,4.237121,7.696393,8.862909,7.294718
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.686722,6.415328,10.12849,11.353558,9.6460245
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.631932,6.489765,9.634077,11.255412,9.5027965
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.452449,6.083895,10.044963,11.077637,9.414736
