"","sample","tissue","endometriosis","severity","p217992_s_at","p222483_at","EFHD2"
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.216016,8.41995,9.817983
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.309102,6.379262,7.344182
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.687408,8.373763,9.5305855
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.220087,8.071169,9.145628
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.478873,7.815088,8.6469805
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.000626,8.450622,9.225624
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.982116,9.194272,10.088194
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.017716,7.185533,8.6016245
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.864662,9.282342,10.073502
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.986231,8.671147,9.328689
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.206822,8.140196,9.173509
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.836334,8.517496,9.676915
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.801148,7.915277,8.8582125
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.755069,8.909677,9.832373
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.303176,9.597239,10.4502075
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.349575,8.998629,9.674102
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.650304,9.330576,9.99044
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.706807,8.526618,9.6167125
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.100697,9.587089,10.343893
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.648268,8.992726,9.820497
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.375814,7.804782,9.090298
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.99084,7.784642,8.887741
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.619234,6.811039,7.7151365
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.399274,7.646499,9.0228865
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.012155,7.655989,8.834072
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.373252,7.674631,8.5239415
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.473905,7.547367,8.510636
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.327898,8.234423,9.2811605
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.447749,8.420518,9.4341335
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.920877,7.247592,8.5842345
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.016993,8.163454,8.5902235
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.763857,6.259588,7.5117225
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.816931,6.794709,8.30582
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.248365,7.594611,8.921488
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.681851,6.284488,6.9831695
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.32203,6.584342,6.953186
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.062421,4.716406,5.8894135
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.070385,6.728813,7.399599
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.605845,6.338327,6.972086
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.73477,5.001424,5.868097
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.308,5.529574,6.418787
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.203855,5.201514,6.2026845
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.12934,6.397531,7.2634355
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.322285,5.570603,6.446444
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.184515,6.079969,7.132242
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.382879,6.966772,7.6748255
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.83624,7.193357,7.5147985
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.80618,5.90177,6.853975
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.022104,6.266209,7.1441565
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.053743,7.309324,8.6815335
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.013492,6.963672,7.988582
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.313822,7.139567,8.2266945
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.636466,8.265024,9.450745
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.670967,7.685244,9.1781055
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.965074,8.693924,9.829499
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.023644,7.782129,8.9028865
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.205323,7.25327,8.7292965
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.596302,8.189061,9.3926815
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.48715,8.50263,9.49489
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.227428,9.251344,10.239386
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.61849,7.309196,8.463843
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.407941,9.039092,9.7235165
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.428974,7.869245,9.1491095
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.235128,8.605201,9.4201645
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.093204,7.940763,9.0169835
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.785703,8.287563,9.036633
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.78061,8.431216,9.105913
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.511072,6.761991,8.1365315
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.855164,6.918688,8.386926
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.631355,8.333716,8.9825355
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.617144,8.08454,9.350842
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.357926,7.794633,9.0762795
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.088728,7.60348,8.846104
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.786638,7.562184,8.674411
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.052758,9.251852,10.152305
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.642795,7.182166,8.4124805
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.918883,8.229619,9.574251
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.618726,8.061084,9.339905
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.425357,6.574876,8.0001165
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.528274,6.838842,8.183558
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.224195,4.2081,5.7161475
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.864941,6.185758,7.0253495
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.009434,6.089865,7.0496495
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.956627,5.222589,6.589608
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.140609,5.141215,6.140912
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.789961,6.522586,7.1562735
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.737823,5.07965,6.4087365
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.666986,4.35503,6.511008
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.33012,4.532168,6.431144
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.356379,4.10057,5.7284745
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.889266,6.474233,7.6817495
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.579695,4.759534,6.6696145
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.852897,5.936424,6.8946605
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.43271,7.133231,8.2829705
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.03388,5.444238,6.739059
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.165961,5.381634,6.7737975
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.476792,3.774429,5.6256105
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.135784,6.478787,7.8072855
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.731438,5.832832,6.282135
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.731438,4.447416,5.589427
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.273812,4.591808,5.93281
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.698443,3.953575,5.826009
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.893345,7.248726,8.0710355
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.977229,5.529063,6.753146
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.464384,4.154894,6.809639
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.095788,6.136281,7.1160345
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.798489,5.096798,6.4476435
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.697076,5.20773,6.452403
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.160681,4.525777,6.343229
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.458714,7.98821,8.723462
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.572491,4.449312,6.0109015
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.722054,6.060454,6.891254
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.723952,5.279471,6.5017115
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.376587,5.831272,6.6039295
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.450941,5.624973,6.537957
