"","sample","tissue","endometriosis","severity","p206363_at","p229327_s_at","MAF"
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.961421,4.880005,6.920713
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.060237,4.126628,7.0934325
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.93161,5.205008,6.568309
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.289207,5.455765,6.872486
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.134647,4.236664,6.6856555
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.229034,3.799665,6.0143495
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.122333,5.361847,6.74209
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.995576,4.117303,7.0564395
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.812435,4.341563,6.576999
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.684416,6.154876,6.919646
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.232129,7.658479,8.945304
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.736052,6.562291,8.1491715
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.026796,4.37752,6.202158
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.942834,5.654559,7.7986965
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.634492,3.666645,6.1505685
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.556732,4.816276,6.186504
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.379398,4.337197,6.8582975
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.189445,5.203715,7.19658
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.955263,5.626089,7.290676
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.132589,5.955811,8.0442
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.712951,4.297075,7.005013
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.441986,4.664648,7.053317
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.790179,4.515017,6.152598
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.834982,5.205008,7.019995
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.62249,4.175951,6.3992205
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.476972,2.236067,4.8565195
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.927118,5.86376,7.895439
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.705159,4.981253,7.343206
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.314353,3.641152,5.4777525
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.49141,5.646474,7.568942
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.017681,5.352034,6.6848575
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.726132,4.449775,6.5879535
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.530225,6.442438,7.9863315
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.914688,7.607621,8.2611545
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.750901,4.124372,5.9376365
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.552138,4.572428,6.562283
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.655374,7.678765,8.6670695
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.829525,6.988169,7.908847
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.914971,4.508462,6.7117165
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.822008,5.088145,5.9550765
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.550811,5.510287,7.530549
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.924179,5.600761,7.76247
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.284143,9.016162,8.1501525
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.874412,8.410156,8.142284
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.822741,7.246509,7.534625
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.211885,8.060711,8.636298
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.371006,6.00141,6.186208
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.505085,7.869139,7.687112
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.395457,7.268707,7.332082
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.239665,6.70532,6.4724925
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.694171,6.75222,7.2231955
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.621891,8.481484,8.0516875
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.221288,7.688946,7.955117
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.517551,8.070081,8.293816
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.295248,5.745805,6.0205265
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.961313,7.277058,7.6191855
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.166755,7.988089,8.077422
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.64411,8.519867,9.5819885
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.120758,5.369006,6.244882
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.925114,4.916731,6.9209225
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.569289,6.12811,7.8486995
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.602408,4.124372,6.86339
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.05057,7.165496,8.608033
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.951848,5.277271,7.1145595
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.512684,5.958704,7.735694
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.228609,2.849863,5.039236
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.024989,4.124372,6.5746805
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.357539,5.270292,7.3139155
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.127863,6.805646,7.4667545
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.987277,5.205008,6.5961425
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.105486,5.159111,7.1322985
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.302596,7.117826,8.710211
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.379988,6.878076,8.129032
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.497789,5.62866,6.5632245
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.69049,2.238377,4.9644335
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.00803,5.205008,6.606519
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.185241,6.367436,7.2763385
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.670538,6.674408,8.172473
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.387234,3.998474,6.692854
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.264698,5.382526,6.823612
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.120442,5.205008,7.162725
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.903571,5.076591,6.990081
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.314129,5.858688,7.0864085
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.390029,5.02353,6.7067795
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.469647,4.149726,6.8096865
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.548273,4.117303,6.332788
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.812733,4.144029,5.978381
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.701767,5.016703,6.359235
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.027084,7.427633,7.2273585
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.069629,5.351629,4.710629
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.435835,5.801124,6.1184795
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.318637,7.986457,7.152547
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.076099,5.270292,5.1731955
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.939614,7.972173,6.4558935
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.854834,4.491222,5.173028
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.644195,4.139119,5.391657
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.720288,6.414612,7.56745
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.920184,6.819132,6.869658
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.102758,4.124372,4.613565
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.030984,6.129711,7.0803475
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.952322,7.248999,6.6006605
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.953294,5.205008,6.079151
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.209687,4.124372,5.6670295
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.486175,6.566951,7.026563
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.071256,6.13687,6.604063
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.697663,6.686454,6.6920585
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.032193,8.111523,7.571858
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.249674,8.23058,7.740127
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.231057,6.992043,7.11155
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.047301,5.205008,5.6261545
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.806407,7.534295,7.670351
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.155355,5.270292,5.7128235
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.493599,4.208181,4.35089
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.730297,9.1832,8.9567485
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.121766,5.205008,5.163387
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.782184,7.087924,6.935054
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.646513,5.432106,6.0393095
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.59112,5.205008,5.398064
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.551353,7.453851,7.502602
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.498721,9.20023,8.8494755
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.874061,7.264859,7.56946
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.795068,7.383987,7.0895275
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.832299,6.600782,6.7165405
