"","sample","tissue","endometriosis","severity","p202551_s_at","p228496_s_at","CRIM1"
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.860523,4.144468,4.5024955
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.355699,3.490421,4.42306
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.448468,5.591954,6.020211
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.836356,3.548341,4.1923485
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.342158,3.490421,3.9162895
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.21414,8.72909,8.971615
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.496631,6.93927,6.7179505
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.981804,5.563621,5.7727125
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.400207,7.729258,7.5647325
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.012351,6.529239,6.270795
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.686348,3.490421,4.5883845
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.53149,6.887014,6.709252
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.241784,6.377206,6.309495
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.012351,6.610248,6.3112995
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.882539,7.527072,7.2048055
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.727756,5.563621,5.6456885
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.012351,6.810111,6.411231
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.581385,3.490421,4.035903
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.266651,6.762998,6.5148245
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.097066,6.420645,6.2588555
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.543446,3.954971,4.7492085
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.976495,3.200944,4.0887195
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.097066,5.563621,5.8303435
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.039743,5.892821,5.966282
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.727756,5.499986,5.613871
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.097066,6.712851,6.4049585
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.132885,8.207127,7.670006
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.965571,5.563621,5.764596
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.413739,7.147655,6.780697
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.132832,8.38935,8.261091
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.097066,6.986789,6.5419275
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.149284,6.5292,6.339242
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.585796,6.55573,6.570763
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.779029,7.588569,7.183799
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.197794,8.643406,8.4206
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.67298,7.285759,7.4793695
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.757165,6.119646,6.4384055
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.148817,6.659242,6.4040295
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.546208,9.034132,8.79017
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.883026,7.956062,7.919544
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.267241,7.818384,8.0428125
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.974592,8.426084,8.700338
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.046703,8.515412,8.7810575
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.554939,7.683647,8.119293
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.477974,7.733867,8.1059205
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.935012,7.603791,7.7694015
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.003249,8.605535,8.804392
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.383658,8.55548,8.469569
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.29429,8.221054,8.757672
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.818123,8.345823,8.581973
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.398411,7.012473,7.205442
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.354367,7.587348,7.9708575
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.660854,8.42526,8.543057
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.573365,7.209647,6.891506
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.540408,7.978917,7.7596625
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.542203,7.084634,6.8134185
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.097066,7.335359,6.7162125
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.483797,5.400422,5.4421095
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.727756,6.215178,5.971467
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.644451,7.461549,7.053
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.955546,5.281956,5.618751
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.103278,7.405645,7.2544615
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.222262,6.197728,6.209995
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.428265,6.845225,6.636745
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.194579,7.97899,8.0867845
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.134087,7.088256,6.6111715
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.021185,6.981214,7.0011995
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.012351,6.971352,6.4918515
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.097066,6.719608,6.408337
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.984285,4.793959,5.389122
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.10921,5.860236,5.484723
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.012351,6.170471,6.091411
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.877631,6.674726,6.7761785
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.097066,7.147051,6.6220585
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.543446,4.109311,4.8263785
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.681505,7.409748,7.0456265
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.097066,5.902415,5.9997405
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.012351,6.074877,6.043614
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.064415,4.714003,5.389209
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.027078,6.530069,6.2785735
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.654602,6.825227,6.7399145
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.727756,4.56759,5.147673
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.158604,7.252381,7.2054925
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.929817,7.952067,7.940942
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.025588,9.844423,9.9350055
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.375752,9.869034,10.122393
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.935257,9.119266,9.5272615
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.619184,9.09711,8.858147
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.998041,8.76037,8.8792055
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.379787,7.09109,7.7354385
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.680324,7.960863,8.3205935
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.775015,7.208697,7.991856
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.46242,7.520933,7.9916765
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.75007,7.504562,7.627316
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.067292,7.951057,8.5091745
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.33443,8.147978,8.741204
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.922075,7.81505,7.8685625
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.865053,7.907159,8.386106
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.005153,7.492405,7.748779
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.081817,7.65987,7.8708435
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.786082,7.3793,7.582691
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.825473,8.221023,9.023248
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.046375,7.771004,7.9086895
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.691956,7.523738,7.607847
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.109846,7.863969,7.9869075
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.641698,7.267732,7.454715
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.968267,8.656449,8.812358
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.440888,8.244648,8.842768
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.212759,7.780594,8.4966765
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.73171,8.499753,8.6157315
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.656335,8.09214,8.3742375
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.110565,7.809916,7.9602405
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.902313,7.158386,7.5303495
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.901315,8.765928,9.3336215
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.695618,7.575595,7.6356065
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.775632,8.548655,8.6621435
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.037155,8.047517,8.042336
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.900603,7.812006,7.8563045
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.050316,7.666888,7.858602
