"","sample","tissue","endometriosis","severity","p218582_at","p226394_at","MARCH5"
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.965019,5.853625,5.909322
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.617148,6.242074,6.929611
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.581655,6.448591,6.515123
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.022923,5.159518,5.0912205
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.597063,7.698831,7.147947
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.820058,4.55296,6.186509
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.120801,6.05385,5.5873255
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.48301,7.327211,6.9051105
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.290691,5.969353,6.130022
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.656529,6.674254,6.6653915
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.837231,5.2782,5.5577155
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.716103,6.151405,6.433754
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.258813,5.008543,5.633678
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.105748,5.651803,5.8787755
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.817703,5.283691,5.550697
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.322411,3.705965,5.014188
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.372849,5.885502,6.1291755
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.801288,6.501955,7.1516215
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.057459,6.652434,6.8549465
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.571125,7.492811,7.531968
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.86483,6.379389,6.6221095
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.251905,6.111793,6.681849
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.336216,7.171063,7.7536395
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.655742,6.18884,6.922291
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.506371,5.381027,6.443699
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.481251,6.089555,6.785403
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.627359,6.509704,7.0685315
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.822384,7.764289,7.7933365
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.217844,7.697444,7.957644
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.749389,6.490777,6.620083
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.612726,6.298608,6.955667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.484725,8.208136,8.3464305
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.286529,8.488084,8.3873065
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.081062,8.347908,8.214485
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.077963,8.403244,8.7406035
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.194833,7.677464,7.9361485
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.13083,7.889195,8.0100125
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.807136,8.445227,8.6261815
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.85389,8.55358,8.703735
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.77849,7.439044,7.608767
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.490491,8.485834,8.4881625
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.564753,6.871753,7.718253
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.936944,7.946891,8.4419175
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.879673,6.703189,6.791431
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.745996,8.709235,8.7276155
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.735676,8.448155,8.5919155
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.057569,5.76879,6.4131795
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.087481,6.035496,7.0614885
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.792479,7.371195,7.581837
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.037716,5.811951,6.4248335
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.145955,6.122119,6.134037
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.580907,5.755656,6.1682815
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.697294,7.455052,7.576173
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.847329,5.912564,6.8799465
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.613769,5.930287,6.772028
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.850766,6.73965,6.295208
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.646003,6.220914,6.9334585
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.32965,6.283208,6.806429
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.100977,4.951912,5.5264445
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.799984,6.705793,7.2528885
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.833352,5.986064,6.409708
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.715033,5.617961,6.166497
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.909288,5.265838,5.087563
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.179403,5.970992,5.5751975
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.608787,6.96068,7.2847335
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.917949,7.368146,7.6430475
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.908134,6.641554,6.774844
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.315097,5.641541,5.978319
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.554959,6.077239,6.316099
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.194562,6.256944,6.725753
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.984248,6.766637,7.3754425
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.381355,6.676582,6.5289685
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.374634,7.351037,7.3628355
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.654708,6.273125,6.9639165
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.937647,5.510059,6.223853
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.012285,5.707549,6.359917
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.724794,6.53674,7.130767
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.969834,6.422465,6.6961495
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.827976,5.529462,6.678719
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.62225,4.867837,6.2450435
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.057907,5.359887,6.708897
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.704257,6.478221,7.591239
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.047131,6.087312,7.0672215
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.173576,6.191239,6.6824075
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.897331,7.41839,7.1578605
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.069221,7.069682,7.0694515
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.709611,6.930242,7.3199265
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.410764,6.954835,7.1827995
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.797743,7.794566,7.7961545
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.540103,6.974533,7.257318
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.44695,7.568452,8.007701
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.550978,7.303047,7.4270125
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.667519,7.263396,7.4654575
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.23805,7.847272,7.542661
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.199197,7.516431,7.857814
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.331535,8.28104,8.3062875
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.648609,7.794653,7.721631
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.695563,7.468962,7.5822625
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.014425,8.108353,8.061389
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.949353,6.553098,7.2512255
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.752271,6.869889,7.31108
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.179426,6.581295,7.3803605
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.045303,6.944076,7.4946895
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.845727,6.072352,6.9590395
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.110404,7.511508,7.810956
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.949686,7.938602,7.944144
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.839218,7.421543,8.1303805
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.800116,7.71696,7.758538
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.542627,6.644884,7.0937555
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.976776,7.87722,7.926998
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.07857,7.926472,8.002521
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.846644,8.104064,7.975354
