"","sample","tissue","endometriosis","severity","p1558254_s_at","p214931_s_at","p230091_at","SRPK2"
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.823276,4.468514,3.064578,4.45212266666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.200408,4.560217,3.401747,4.38745733333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.697275,5.398552,6.601527,6.56578466666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.869285,5.312463,6.409158,6.530302
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.609216,5.05277,5.963943,6.208643
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.820696,6.221599,6.155334,6.732543
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.552163,6.701161,7.018339,7.42388766666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.073127,6.228623,6.140985,6.814245
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.924781,5.309337,5.865879,6.36666566666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.060274,6.285832,6.435209,6.927105
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.062439,6.192348,6.477117,6.91063466666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.161672,6.363019,6.584546,7.03641233333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.887115,5.80813,5.881807,6.525684
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.694881,4.805983,5.902728,6.13453066666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.842758,4.468514,5.808151,5.70647433333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.865661,5.212074,6.358208,6.47864766666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.972643,5.804463,6.664957,6.814021
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.555169,4.176918,3.927433,4.21984
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.41384,5.886611,4.786392,6.02894766666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.356416,4.518072,4.584499,5.15299566666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.433631,4.892707,3.094316,3.80688466666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.799625,4.468514,3.804256,4.02413166666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.072475,4.468514,3.175345,3.90544466666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.276257,4.641892,3.939218,4.95245566666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.527173,4.610717,3.325295,4.154395
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.075311,5.448182,3.837963,5.45381866666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.8177,4.310714,3.804256,3.64422333333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.347623,4.468514,3.820427,4.212188
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.126137,4.281593,4.781693,5.063141
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.244161,4.407419,3.979179,4.210253
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.309833,4.384074,3.801556,4.49848766666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.268885,4.468514,3.804256,4.18055166666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.637656,4.468514,3.99616,4.36744333333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.317572,4.285979,3.833182,3.81224433333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.317572,4.1309,3.644204,3.69755866666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.744477,4.176713,3.789431,4.570207
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.987695,4.474218,4.17327,4.87839433333333
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.376013,4.105793,3.804256,4.42868733333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.930109,4.468514,3.888271,3.762298
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.395474,4.468514,4.288492,4.71749333333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.641732,4.468514,4.092044,4.40076333333333
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.062947,4.480468,4.093518,4.54564433333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.942501,4.468514,3.877077,3.76269733333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.594885,4.261654,4.491684,4.782741
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.560452,4.204625,3.642256,4.13577766666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.989825,4.468514,3.401747,3.953362
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.298459,4.510643,3.678571,4.495891
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.420193,4.680079,4.958808,5.35302666666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.094207,5.525793,5.776044,6.13201466666667
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.70771,5.123481,6.059604,6.29693166666667
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.537234,5.218754,5.029344,5.59511066666667
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.939509,6.39683,4.131643,5.82266066666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.973333,5.930628,4.583042,5.829001
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.47911,5.860385,3.782665,5.37405333333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.210624,4.748298,3.992507,4.65047633333333
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",7.211924,4.468514,6.113654,5.931364
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.846618,4.320994,5.787873,5.65182833333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.073339,4.390473,5.763578,5.74246333333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.629746,5.985275,7.15099,7.255337
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.471212,4.468514,5.547654,5.82912666666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.064156,4.979488,6.751436,6.59836
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.276686,4.468514,5.847423,5.86420766666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.292115,4.543653,5.973825,5.936531
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.39336,4.628541,5.86066,5.96085366666667
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.531055,4.468514,5.871059,5.956876
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.919676,4.421091,5.415195,5.58532066666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.903529,6.040331,6.615305,6.853055
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.128619,4.665978,5.794581,5.86305933333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.451275,4.771902,6.36596,6.196379
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.583866,4.476072,6.43596,6.16529933333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.07415,4.335517,6.082905,5.83085733333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.547893,5.644721,6.383666,6.85876
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.9268,4.468514,5.465941,5.62041833333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.446857,4.468514,5.43816,5.78451033333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.108778,4.468514,6.439379,6.33889033333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.683696,4.994088,6.047162,6.24164866666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.641694,4.864456,5.986582,6.164244
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.259774,4.721742,5.111351,5.69762233333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.761931,4.619053,5.826263,6.06908233333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.017112,5.062272,5.555156,5.87818
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.339291,4.529733,6.027356,5.96546
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.358566,4.595,5.937107,5.96355766666667
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.422728,4.982191,5.889779,6.09823266666667
