"","sample","tissue","endometriosis","severity","p201935_s_at","p201936_s_at","EIF4G3"
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.33948,5.35472,5.8471
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.723825,5.118407,4.421116
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.319326,3.683021,3.5011735
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.097607,4.251824,4.6747155
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.660742,5.057395,5.3590685
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.950437,3.124692,3.0375645
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.723825,3.164619,3.444222
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.51698,7.389581,7.9532805
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.333075,5.543559,5.938317
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.964251,4.519121,4.741686
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.377534,6.013861,6.6956975
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.937831,4.859041,5.398436
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.808236,3.710421,4.2593285
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.520309,5.532063,6.026186
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.946187,4.131084,4.5386355
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.357928,3.568896,3.463412
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.988136,5.35472,5.671428
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.723825,3.914972,3.8193985
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.222509,5.730588,5.9765485
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.723825,3.4004,3.5621125
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.308131,4.414094,4.8611125
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.28742,4.691148,4.989284
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.780747,4.957786,4.8692665
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.971812,3.978958,4.475385
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.345941,4.201757,4.773849
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.086943,3.164619,3.625781
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.472588,4.139081,4.8058345
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.308131,5.218413,5.263272
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.007379,6.778032,6.8927055
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.202187,4.06606,5.1341235
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.421402,6.416119,6.9187605
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.612182,6.297479,6.9548305
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.611389,4.592887,5.102138
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.330368,5.135264,5.732816
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.352474,6.125415,6.7389445
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.645968,6.478382,7.062175
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.654562,7.304135,7.4793485
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.548362,6.409471,6.9789165
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.18978,5.35472,5.77225
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.189853,5.739146,6.4644995
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.998711,7.995121,8.496916
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.905631,7.991241,8.448436
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.074175,8.392863,8.733519
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.874141,7.611778,8.2429595
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.617349,7.987599,8.302474
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.193594,7.441601,8.3175975
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.051907,7.486015,8.268961
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.985067,7.562071,8.273569
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.024118,7.607593,8.3158555
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.752889,7.886302,8.3195955
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.890211,7.58152,8.2358655
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.924584,7.439991,8.1822875
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.270343,7.712833,8.491588
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.965992,7.355174,8.160583
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.671975,7.846076,8.2590255
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.338796,5.971583,6.6551895
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.090937,6.747773,7.419355
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.102354,6.769178,7.435766
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.016852,4.983045,5.4999485
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.817965,4.339844,4.5789045
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.713826,3.95468,4.834253
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.29835,6.226847,6.7625985
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.713139,4.351644,5.0323915
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.566336,5.35472,5.960528
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.308131,6.018089,5.66311
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.081068,5.061115,5.5710915
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.484057,6.416119,6.950088
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.059741,4.783109,5.421425
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.178226,5.670367,6.4242965
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.089238,5.35472,5.721979
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.843289,5.35472,5.5990045
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.848723,4.675512,5.2621175
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.290365,3.4004,4.3453825
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.273871,6.241375,6.757623
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.319513,6.139982,6.7297475
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.769389,5.388433,6.078911
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.308131,5.193259,5.250695
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.066715,5.295889,5.681302
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.114792,5.715927,6.4153595
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.983253,4.348458,5.1658555
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.597804,5.35472,5.476262
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.680389,6.235947,6.458168
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.917955,5.534718,6.2263365
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.508173,5.620775,6.064474
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.656122,5.481365,6.0687435
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.932465,5.701022,6.3167435
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.181272,7.620176,8.400724
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.199647,7.665533,8.43259
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.256184,7.124329,8.1902565
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.884273,7.19436,8.0393165
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.493338,7.14848,8.320909
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.161711,6.482754,7.8222325
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.528864,6.555489,8.0421765
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.07083,7.891554,7.981192
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.583775,7.600604,8.0921895
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.32104,7.423899,8.3724695
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.469951,8.05339,8.2616705
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.707317,8.157885,8.432601
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.174653,7.550861,8.362757
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.57499,7.957172,8.266081
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.450892,7.558587,8.0047395
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.542578,7.604219,8.0733985
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.818052,7.729377,8.2737145
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.202801,7.753938,8.4783695
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.693547,7.952267,8.822907
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.683909,8.181339,8.932624
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.415286,7.962412,8.688849
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.384027,7.97785,8.1809385
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.574427,7.671582,8.6230045
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.183299,7.419276,8.3012875
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.280109,7.469529,7.874819
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.387572,7.623044,8.505308
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.020265,8.032629,8.526447
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.55621,7.67255,8.61438
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.902765,8.205615,8.55419
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.540799,6.899383,7.220091
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.478267,7.711757,8.595012
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.375964,7.733491,8.5547275
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.381536,7.949751,8.6656435
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.014214,7.603956,8.309085
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.471508,7.776744,8.624126
